,propeller_1 rpm [1/min],propeller_1 shaft_power_in [kW],propeller_1 torque_in [N*m],propeller_1 efficiency [-],propeller_1 advance_ratio [-],motor_1 efficiency [-],motor_1 torque_out [N*m],motor_1 ac_current_rms_in [A],motor_1 ac_voltage_rms_in [V],inverter_1 modulation_index [-],inverter_1 efficiency [-],inverter_1 dc_current_in [A],inverter_1 diode_temperature [degK],inverter_1 IGBT_temperature [degK],inverter_1 casing_temperature [degK],inverter_1 losses_inverter [W],inverter_1 switching_losses_IGBT [W],inverter_1 switching_losses_diode [W],inverter_1 conduction_losses_IGBT [W],inverter_1 conduction_losses_diode [W],dc_bus_1 dc_voltage [V],harness_1 dc_current [A],harness_1 cable_temperature [degK],harness_1 conduction_losses [W],dc_bus_2 dc_voltage [V],dc_dc_converter_1 efficiency [-],dc_dc_converter_1 duty_cycle [-],dc_dc_converter_1 dc_current_in [A],dc_dc_converter_1 dc_current_out [A],battery_pack_1 c_rate [1/h],battery_pack_1 state_of_charge [percent],battery_pack_1 open_circuit_voltage [V],battery_pack_1 internal_resistance [ohm],battery_pack_1 voltage_out [V],thrust [N],altitude [m],time_step [s],true_airspeed [m/s],exterior_temperature [degK]
0,4000.0,13.986708123814186,33.39080603232895,0.03547976912756034,0.11047482701026008,0.7919396943541455,33.39080603232895,44.56687566666238,396.2882642310911,0.9707196980693789,0.8703658616574103,40.58434618213783,307.44951523520393,308.0320406403619,296.91838645864084,2630.515937592255,249.07378915730277,185.02187830630422,3.6112960969080636,0.7123593715274553,499.9919340001018,40.58434618218097,288.15,0.32735333217312035,500.0,0.9828839320787591,0.5081680571668631,42.66256367583413,40.58434618213783,0.07110427279305688,100.0,4.036936698125965,0.00296477143,483.9264647754492,48.23117252470303,0.0,300.0,10.28888888888889,288.15
1,4000.0,214.97300095317468,513.2102359949472,0.558462329375748,0.4676548187538315,0.9770695858938522,513.2102359949472,684.9842665163712,321.20169472289757,0.7869218671209738,0.9722141691546589,452.693891392209,331.59998741962056,337.75928208072946,309.1103538853088,6288.106165592647,592.3277606459209,377.7087679928586,59.04727272591652,18.933892900745168,499.9100224948757,452.6938913923364,288.16703367960923,40.73226693249121,500.0,0.9769671575559137,0.5114075031420843,485.00361084861515,452.693891392209,0.8083393514143585,99.4074643933912,4.029467957906382,0.003011445409110052,477.6939073595984,2756.4317379299255,0.0,23.880597014925375,43.55425211994018,288.15
2,4000.0,213.0049544251239,508.51187099733534,0.5596473768499536,0.4695479280747857,0.9769750149809336,508.51187099733534,678.713335276124,321.2327869586612,0.7869968644698229,0.9721303507368534,448.6309718426464,331.3637009106255,337.44402344113297,308.9849275167286,6250.478255018579,588.6376556633575,375.9441444093489,58.421265041897016,18.743310721826624,499.9107698040048,448.63097184257947,288.3355591908979,40.03142954702374,500.0,0.9770461696463033,0.5118461803356193,481.4563740019917,448.6309718426464,0.8024272900033195,98.87125255165695,4.022795564168432,0.0030529722538022693,476.85597589523456,2725.957634896517,84.08275862068966,24.365482233502537,43.73056370136504,287.6034620689655
3,4000.0,211.04679186718232,503.8371022402273,0.5608333378772022,0.4714523237052674,0.9768781518704909,503.8371022402273,672.4738980559887,321.2646390446777,0.7870737237403833,0.9720453007851406,444.5889979195797,331.1286028852199,337.13083473707775,308.8602538486407,6213.076154592209,584.9725407245475,374.185985390623,57.80021656800647,18.55394974885784,499.9115167503983,444.5889979195792,288.4964199318039,39.3386792730978,500.0,0.9771248967091896,0.5122850660620281,477.91897497569397,444.5889979195797,0.79653162495949,98.32815455503881,4.016120636251142,0.003094349913374861,476.0190821948721,2695.688145552751,168.16551724137932,24.87046632124352,43.90792641441724,287.056924137931
4,4000.0,209.09849755460203,499.1858921835526,0.5620201692922236,0.4733680946128298,0.9767789617329896,499.1858921835526,666.2659047510456,321.29726288791096,0.7871524741049265,0.9719589990173729,440.5679289692102,330.894691255731,336.8197057220807,308.7363298957741,6175.898968732223,581.3322889365091,372.4343130066758,57.184089103013136,18.365803742505637,499.9122633281211,440.5679289691344,288.64942197169694,38.653963824319185,500.0,0.9772033322269991,0.5127242264012263,474.3915659270421,440.5679289692102,0.7906526098784036,97.77787363969546,4.00944224712965,0.003135579945902691,475.1830989330532,2665.6227352235774,252.24827586206897,25.396825396825406,44.08634854494155,286.51038620689656
5,4000.0,207.1600557368264,494.5582032256271,0.5632078267551665,0.4752953306378981,0.9766774089615166,494.5582032256271,660.089305174139,321.33067067149807,0.7872331454092063,0.9718714247085061,436.5677243429746,330.6619639371073,336.510626210869,308.61315268876876,6138.945806630632,577.7167740553131,370.68914904538946,56.57284482657669,18.178866511159576,499.91300953311526,436.5677243431159,288.7943611333334,37.97723016741724,500.0,0.9772814694919542,0.5131637310110522,470.8743021035341,436.5677243429746,0.7847905035058902,97.22009402073363,4.002759420143348,0.003176663886688184,474.3478928545545,2635.7608675422834,336.33103448275864,25.94594594594595,44.265838460076246,285.96384827586206
6,4000.0,205.23145063709902,489.95399770221934,0.5643962647204559,0.4772341225040242,0.9765734571507657,489.95399770221934,653.944049054631,321.36487486251053,0.7873157681912617,0.971782556678974,432.5883433964757,330.4304188467754,336.2035860789175,308.4907192740316,6102.215782209487,574.125870483167,368.95051501299383,55.96644629492541,17.99313191049481,499.9137553633311,432.58834339650474,288.9310222272787,37.30842450342427,500.0,0.977359301592147,0.5136036533999233,467.3673421341846,432.5883433964757,0.778945570223641,96.65447924343208,3.9960711250937955,0.0032176032412084238,473.51332431171176,2606.1020044519423,420.4137931034483,26.519337016574568,44.44640460920812,285.41731034482757
7,4000.0,203.3126664521323,485.3732378857593,0.5655854364046635,0.47918456182827934,0.9764670690753539,485.3732378857593,647.8300860373454,321.39988821997474,0.7874003737008303,0.9716923732827029,428.62974548852964,330.20005390450535,335.89857526199904,308.3690267135968,6065.708014079042,570.5594532656178,367.21843213457635,55.364856436602224,17.80859384304395,499.9145008188722,428.6297454885919,289.0591782111163,36.64749224628026,500.0,0.9774368213960776,0.514044071228546,463.8708483553503,428.62974548852964,0.7731180805922505,96.08067035192296,3.989376273922643,0.0032583994769156727,472.67924675216716,2576.6456062075677,504.49655172413793,27.118644067796623,44.62805552494042,284.8707724137931
8,4000.0,201.40368735166152,480.81588598427356,0.5667752937534276,0.48114674113179245,0.9763582066674295,480.81588598427356,641.7473656811463,321.4357238031647,0.7874869939194058,0.9716008523947456,424.69188997996923,329.9708670322635,335.59558375572055,308.2480720849804,6029.42162549412,567.017398088546,365.4929213544889,54.768038548224126,17.625246257760942,499.91524590215585,424.69188997992813,289.1785892641843,35.994377996977654,500.0,0.9775140215354589,0.5144850666446158,460.3849871754705,424.69188997996923,0.7673083119591174,95.4982838505352,3.9826737159119863,0.003299054013699595,471.84550615028525,2547.391131377103,588.5793103448276,27.745664739884404,44.81079982407427,284.3242344827586
9,4000.0,199.50449747813317,476.281904140642,0.5679657874072744,0.4831207538504293,0.9762468309935645,476.281904140642,635.6958374579464,321.4723949801728,0.7875756615809486,0.9715079713985302,420.77473623272016,329.74285615408235,335.2946016150832,308.12785248104433,5993.355744313314,563.4995812754132,363.77400333687257,54.17595629033218,17.443083149601197,499.91599061809035,420.7747362327919,289.28900176719225,35.34902551411385,500.0,0.9775908943860214,0.5149267266551469,456.9099294849956,420.77473623272016,0.7615165491416593,94.90690942898674,3.975962232339604,0.003339568212784045,471.0119403742985,2518.338036843913,672.6620689655173,28.402366863905343,44.99464620860332,283.7776965517241
