,time,altitude,ground_distance,mass,x_cg,true_airspeed,equivalent_airspeed,mach,d_vx_dt,density,exterior_temperature,gamma,alpha,delta_m,cl_wing,cl_htp,cl_aircraft,cd_aircraft,delta_Cl,delta_Cd,delta_Cm,thrust (N),thrust_rate,engine_setting,tsfc (kg/s/N),fuel_flow (kg/s),energy_consumed (W*h),time step (s),name
0,0.0,0.0,0.0,1747.3649929730034,3.4781796093621873,45.095018967519685,45.095018967519685,0.13251732754297688,0.013196003982830119,1.2249908312368587,288.15,7.769099500402418,7.129767083324313,-11.484307009824946,0.8250582178394448,-0.03903636427707047,0.7860218535623743,0.05811780030417581,0.0,0.0,0.0,3589.6868184042264,1.0,2.0,0.0,0.0,1232.263446490388,13.892908827785817,sizing:main_route:climb
1,13.892908827785817,84.08275862068966,622.1120941328924,1747.3649929730034,3.4781796093621873,45.27756771354459,45.095018967519685,0.13318013196938705,0.013083874568660996,1.2151329807340776,287.6034620689655,7.625745835390726,7.136159278723825,-11.492990968300148,0.8255736484580007,-0.03904978316997082,0.78652386528803,0.05816474291096217,0.0,0.0,0.0,3547.71555777053,0.9906208796941604,2.0,0.0,0.0,1236.5751339497856,14.096916299559474,sizing:main_route:climb
2,27.98982512734529,168.16551724137932,1256.1288515121391,1747.3649929730034,3.4781796093621873,45.46120477582714,45.095018967519685,0.13384752171968844,0.01297008779878491,1.2053359343731262,287.056924137931,7.483410718506759,7.142452028012456,-11.501539826728587,0.8260810603025299,-0.03906299329942954,0.7870180670031004,0.05821098432014751,0.0,0.0,0.0,3506.0146685221243,0.9812776029016924,2.0,0.0,0.0,1241.1326037676122,14.3070044709389,sizing:main_route:climb
3,42.29682959828419,252.24827586206897,1902.416833471936,1747.3649929730034,3.4781796093621873,45.64593873333058,45.095018967519685,0.1345195373364289,0.012854622798123251,1.19559943180514,286.51038620689656,7.342089343972386,7.148646605810176,-11.509955316713594,0.8265805561512043,-0.03907599734120784,0.7875045588099965,0.058256532537572,0.0,0.0,0.0,3464.5834547239638,0.9719701554956944,2.0,0.0,0.0,1245.9437612866527,14.523449319213313,sizing:main_route:climb
4,56.820278917497504,336.33103448275864,2561.3594022039615,1747.3649929730034,3.4781796093621873,45.83177824918745,45.095018967519685,0.1351962197989173,0.012737458410581657,1.1859232133030329,285.96384827586206,7.201776957202876,7.1547442733627395,-11.518239151689308,0.8270722377037751,-0.039088797942991096,0.787983439760784,0.058301395514951594,0.0,0.0,0.0,3423.4212183009836,0.9626985231850598,2.0,0.0,0.0,1251.0173215893908,14.74654377880185,sizing:main_route:climb
5,71.56682269629935,420.4137931034483,3233.357754001876,1747.3649929730034,3.4781796093621873,46.018732071688426,45.095018967519685,0.13587761052877578,0.012618573194095026,1.1763070197611936,285.41731034482757,7.062468853693463,7.160746278703754,-11.526393027140815,0.8275562055946397,-0.03910139772472879,0.788454807869911,0.05834558114987194,0.0,0.0,0.0,3382.527259038758,0.9534626915130217,2.0,0.0,0.0,1256.3628260910127,14.976599063962553,sizing:main_route:climb
6,86.54342176026191,504.49655172413793,3918.8320331226446,1747.3649929730034,3.4781796093621873,46.20680903528448,45.095018967519685,0.13656375139557267,0.012497945416841167,1.1667505926951842,284.8707724137931,6.9241603779303675,7.166653856812968,-11.534418620819215,0.8280325594056062,-0.03911379927896694,0.7889187601266392,0.05838909728578456,0.0,0.0,0.0,3341.900874586236,0.9442626458564043,2.0,0.0,0.0,1261.9906687659945,15.213946117274176,sizing:main_route:climb
7,101.75736787753608,588.5793103448276,4618.222533930379,1747.3649929730034,3.4781796093621873,46.39601806160304,45.095018967519685,0.1372546847225389,0.01237555305207716,1.1572536742414317,284.3242344827586,6.786846922325644,7.172468229771107,-11.542317592951964,0.8285013976783784,-0.039126005171173234,0.7893753925072051,0.05843195171200652,0.0,0.0,0.0,3301.5413604561077,0.9350983714240648,2.0,0.0,0.0,1267.9121314847293,15.45893719806763,sizing:main_route:climb
8,117.21630507560371,672.6620689655173,5331.9909998524645,1747.3649929730034,3.4781796093621873,46.58636816047781,45.095018967519685,0.13795045329236763,0.012251373774612948,1.1478160071569286,283.7776965517241,6.650523926175265,7.1781906069111265,-11.550091586448344,0.8289628179267512,-0.03913801794005438,0.7898247999866969,0.05847415216372201,0.0,0.0,0.0,3261.448010028088,0.9259698532563232,2.0,0.0,0.0,1274.139428234685,15.711947626841237,sizing:main_route:climb
9,132.92825270244495,756.744827586207,6060.622028655007,1747.3649929730034,3.4781796093621873,46.77786843099307,45.095018967519685,0.13865110035310005,0.012125384955491463,1.1384373348189234,283.23115862068965,6.515186874639762,7.183822184966207,-11.55774222710052,0.8294169166485454,-0.03914984009786682,0.7902670765506786,0.05851570632198766,0.0,0.0,0.0,3221.6201145490895,0.9168770762233233,2.0,0.0,0.0,1280.6857582414784,15.97337770382697,sizing:main_route:climb
10,148.90163040627192,840.8275862068966,6804.624594651898,1747.3649929730034,3.4781796093621873,46.97052806254205,45.095018967519685,0.1393566696240978,0.011997563658289585,1.1291174012246201,282.68462068965516,6.380831297746954,7.189364148214394,-11.565271123780063,0.8298637893372691,-0.039161474130720506,0.7907023152065487,0.05855662181373987,0.0,0.0,0.0,3182.0569631362705,0.9078200250243887,2.0,0.0,0.0,1287.5653682293078,16.24365482233503,sizing:main_route:climb
