SPEED,LOSSES
16.75977653631253, 8.695652173913004
1000, 109.31677018633582
1435.754189944134, 198.75776397515529
2011.1731843575417, 318.0124223602488
2385.4748603351954, 403.72670807453414
3011.1731843575417, 563.9751552795033
3128.491620111731, 604.9689440993789
3737.430167597765, 798.7577639751553
4005.586592178771, 891.9254658385098
4335.195530726257, 1003.7267080745341
4882.68156424581, 1204.9689440993789
5011.173184357542, 1253.4161490683236
5363.128491620111, 1398.7577639751553
5826.8156424581, 1603.7267080745341
5999.999999999999, 1678.2608695652175
