SPEED,LOSSES
85.83690987124464, 75.75757575757598
489.27038626609465, 363.63636363636397
1000, 712.121212121212
1360.5150214592277, 1000
1497.8540772532187, 1121.2121212121237
2000, 1666.6666666666679
2270.3862660944205, 2030.3030303030318
2506.4377682403438, 2318.18181818182
2918.454935622318, 3015.151515151516
3004.2918454935625, 3212.121212121212
3300.4291845493563, 4015.151515151516
3510.7296137339054, 4606.060606060608
3613.733905579399, 5000
3841.2017167381973, 6015.151515151516
4012.8755364806866, 6787.87878787879
