SOC,VOLTAGE
100, 4.0216216216216205
96.43724696356274, 3.9945945945945938
93.76518218623481, 3.9675675675675666
91.25506072874494, 3.94054054054054
88.90688259109311, 3.921621621621621
86.63967611336032, 3.9081081081081073
84.21052631578947, 3.88108108108108
82.18623481781376, 3.8594594594594587
79.99999999999999, 3.8405405405405397
77.97570850202428, 3.821621621621621
75.70850202429149, 3.799999999999999
73.03643724696356, 3.783783783783783
70.36437246963563, 3.756756756756756
67.85425101214574, 3.745945945945945
64.85829959514169, 3.727027027027026
62.67206477732793, 3.7081081081081075
59.67611336032388, 3.7027027027027017
56.84210526315789, 3.6891891891891886
53.36032388663966, 3.6756756756756745
50.28340080971659, 3.6702702702702696
47.85425101214574, 3.6702702702702696
45.263157894736835, 3.6621621621621614
42.186234817813755, 3.648648648648648
39.19028340080971, 3.64054054054054
36.0323886639676, 3.621621621621621
33.76518218623481, 3.6054054054054046
30.607287449392707, 3.5810810810810803
27.044534412955464, 3.5459459459459453
24.534412955465577, 3.5162162162162156
20.890688259109304, 3.483783783783783
19.109311740890682, 3.4594594594594588
17.165991902834005, 3.418918918918918
14.979757085020239, 3.3972972972972966
12.793522267206473, 3.367567567567567
10.526315789473678, 3.345945945945945
8.825910931174082, 3.3243243243243237
6.63967611336032, 3.291891891891891
4.696356275303639, 3.267567567567567
3.400809716599184, 3.248648648648648
