1C_X,1C_Y,2C_X,2C_Y,3C_X,3C_Y,5C_X,5C_Y
0.0910746812386165,4.017551020408162,0.18214936247723124,3.919591836734693,0.27322404371584597,3.848571428571428,0.455373406193079,3.738367346938775
2.367941712204006,3.9465306122448975,2.9143897996356998,3.855918367346938,2.367941712204006,3.79469387755102,2.641165755919854,3.694285714285714
4.918032786885243,3.9097959183673465,5.191256830601093,3.8240816326530607,4.462659380692168,3.767755102040816,4.735883424408014,3.6428571428571423
8.014571948998176,3.875510204081632,7.74134790528233,3.7897959183673464,6.648451730418941,3.731020408163265,6.830601092896172,3.584081632653061
10.109289617486334,3.848571428571428,10.65573770491803,3.7530612244897954,9.01639344262295,3.7040816326530606,9.744990892531876,3.5326530612244893
12.11293260473588,3.828979591836734,13.20582877959927,3.731020408163265,11.384335154826955,3.672244897959183,13.023679417122038,3.5057142857142853
14.298724954462658,3.7995918367346935,15.755919854280508,3.708979591836734,14.389799635701271,3.647755102040816,17.03096539162113,3.471428571428571
16.75774134790528,3.782448979591836,19.307832422586515,3.684489795918367,17.12204007285974,3.6232653061224482,21.12932604735883,3.439591836734693
18.85245901639344,3.7604081632653057,22.404371584699447,3.655102040816326,19.94535519125683,3.608571428571428,24.31693989071038,3.4151020408163264
21.12932604735883,3.7432653061224483,25.77413479052823,3.6257142857142854,22.404371584699447,3.5914285714285707,27.959927140255004,3.3906122448979588
23.132969034608372,3.7261224489795914,28.779599271402546,3.611020408163265,24.772313296903455,3.564489795918367,31.238615664845163,3.375918367346938
25.13661202185792,3.7065306122448973,31.693989071038246,3.581632653061224,27.322404371584696,3.549795918367346,34.69945355191256,3.3538775510204077
28.41530054644808,3.6771428571428566,34.881602914389795,3.564489795918367,29.963570127504546,3.5326530612244893,38.979963570127495,3.334285714285714
31.32969034608378,3.657551020408163,38.4335154826958,3.5424489795918364,34.24408014571948,3.510612244897959,42.16757741347905,3.302448979591836
33.788706739526404,3.6330612244897953,41.98542805100181,3.5228571428571422,37.88706739526411,3.4861224489795912,44.99089253187613,3.2902040816326528
36.612021857923494,3.6159183673469384,44.444444444444436,3.5130612244897956,40.80145719489981,3.464081632653061,48.998178506375226,3.275510204081632
39.70856102003642,3.5914285714285707,47.81420765027321,3.4934693877551015,43.71584699453551,3.451836734693877,51.730418943533685,3.260816326530612
43.35154826958105,3.574285714285714,51.092896174863384,3.4763265306122446,46.63023679417121,3.4420408163265304,54.91803278688524,3.2461224489795915
47.54098360655737,3.544897959183673,54.644808743169385,3.464081632653061,49.18032786885245,3.4297959183673465,57.832422586520934,3.2314285714285713
51.366120218579226,3.5326530612244893,58.10564663023678,3.444489795918367,52.367941712204,3.4077551020408157,61.202185792349724,3.2069387755102037
54.46265938069216,3.525306122448979,60.5646630236794,3.437142857142857,55.37340619307832,3.400408163265306,65.1183970856102,3.1726530612244894
57.46812386156648,3.5057142857142853,64.48087431693989,3.4175510204081627,58.1967213114754,3.3808163265306117,68.21493624772312,3.1334693877551016
61.6575591985428,3.4812244897959177,68.21493624772312,3.4028571428571426,60.655737704918025,3.3710204081632646,71.49362477231328,3.104081632653061
65.02732240437157,3.4665306122448976,71.49362477231328,3.3832653061224485,63.84335154826957,3.3587755102040813,74.22586520947175,3.064897959183673
68.21493624772312,3.4567346938775505,75.50091074681238,3.3587755102040813,66.84881602914389,3.336734693877551,77.04918032786884,3.008571428571428
70.9471766848816,3.4420408163265304,78.96174863387978,3.324489795918367,69.39890710382512,3.3171428571428567,79.32604735883423,2.920408163265306
74.4990892531876,3.4199999999999995,81.60291438979961,3.2926530612244895,72.49544626593806,3.2951020408163263,81.14754098360655,2.7220408163265306
77.32240437158468,3.400408163265306,84.06193078324225,3.263265306122449,75.95628415300546,3.273061224489796,,
79.87249544626592,3.375918367346938,85.70127504553733,3.226530612244898,78.14207650273224,3.241224489795918,,
82.96903460837886,3.339183673469387,87.70491803278686,3.118775510204081,80.327868852459,3.199591836734694,,
85.33697632058286,3.2902040816326528,89.70856102003641,2.7024489795918365,82.60473588342438,3.140816326530612,,
86.52094717668487,3.228979591836734,,,83.69763205828778,3.045306122448979,,
89.6174863387978,2.7024489795918365,,,84.24408014571947,2.9130612244897955,,
,,,,85.42805100182147,2.7024489795918365,,
