0_2_A_X,0_2_A_Y,0_5_A_X,0_5_A_Y,1_0_A_X,1_0_A_Y,2_0_A_X,2_0_A_Y,3_0_A_X,3_0_A_Y,5_0_A_X,5_0_A_Y
0.0025252525252525415,4.14006968641115,0,4.117770034843205,0.0050505050505050275,4.084320557491289,0.0050505050505050275,4.062020905923345,0.0025252525252525415,4.022996515679442,0.0025252525252525415,3.9728222996515674
0.04040404040404039,4.112195121951219,0.06565656565656569,4.0787456445993024,0.09595959595959597,4.034146341463415,0.05050505050505055,4.006271777003484,0.08080808080808083,3.9449477351916373,0.055555555555555525,3.8891986062717767
0.10353535353535354,4.084320557491289,0.15404040404040403,4.053658536585366,0.23989898989898983,4.006271777003484,0.15656565656565657,3.9700348432055748,0.21969696969696967,3.908710801393728,0.16414141414141414,3.8390243902439023
0.17676767676767674,4.067595818815331,0.2702020202020202,4.036933797909407,0.41161616161616166,3.9811846689895467,0.2777777777777778,3.9449477351916373,0.3535353535353535,3.8864111498257836,0.31565656565656564,3.8083623693379787
0.2727272727272727,4.053658536585366,0.36616161616161624,4.025783972125435,0.5580808080808081,3.9533101045296166,0.41161616161616166,3.925435540069686,0.48989898989898994,3.8585365853658535,0.44191919191919193,3.7777003484320555
0.3787878787878788,4.04808362369338,0.48484848484848475,4.01184668989547,0.6742424242424242,3.9170731707317072,0.5303030303030304,3.9031358885017418,0.6161616161616161,3.82787456445993,0.5707070707070706,3.7470383275261323
0.48989898989898994,4.036933797909407,0.5808080808080808,3.98397212543554,0.7929292929292928,3.8752613240418117,0.6212121212121212,3.8752613240418117,0.7297979797979797,3.786062717770035,0.6969696969696969,3.7163763066202087
0.6035353535353535,4.006271777003484,0.6818181818181818,3.9533101045296166,0.8964646464646464,3.8390243902439023,0.7348484848484846,3.833449477351916,0.8661616161616161,3.7470383275261323,0.8156565656565655,3.677351916376306
0.702020202020202,3.9672473867595817,0.7853535353535352,3.911498257839721,1.0202020202020203,3.805574912891986,0.8661616161616161,3.7888501742160274,0.9949494949494948,3.7108013937282225,0.9242424242424243,3.646689895470383
0.8131313131313129,3.928222996515679,0.8838383838383836,3.8808362369337974,1.1616161616161618,3.7777003484320555,1.0075757575757576,3.755400696864111,1.106060606060606,3.677351916376306,1.0353535353535355,3.61602787456446
0.9065656565656566,3.9003484320557487,0.9772727272727273,3.8501742160278742,1.2954545454545452,3.741463414634146,1.1287878787878787,3.724738675958188,1.22979797979798,3.64390243902439,1.148989898989899,3.5825783972125436
1.0303030303030303,3.8696864111498255,1.1010101010101008,3.8250871080139373,1.4090909090909092,3.70801393728223,1.2474747474747474,3.6912891986062717,1.3484848484848486,3.6104529616724736,1.2752525252525253,3.55191637630662
1.1287878787878787,3.8445993031358885,1.202020202020202,3.8,1.5277777777777777,3.6689895470383274,1.3585858585858586,3.6606271777003485,1.4671717171717171,3.571428571428571,1.393939393939394,3.510104529616725
1.2424242424242422,3.813937282229965,1.2929292929292928,3.7777003484320555,1.659090909090909,3.627177700348432,1.4747474747474747,3.627177700348432,1.5833333333333333,3.5463414634146337,1.51010101010101,3.479442508710801
1.3636363636363638,3.7777003484320555,1.4166666666666667,3.738675958188153,1.7676767676767677,3.5937282229965155,1.6085858585858583,3.5797909407665505,1.6944444444444444,3.510104529616725,1.6262626262626263,3.437630662020906
1.5025252525252524,3.73588850174216,1.5328282828282827,3.7052264808362367,1.871212121212121,3.5630662020905923,1.7247474747474745,3.543554006968641,1.797979797979798,3.476655052264808,1.7348484848484844,3.40418118466899
1.6313131313131313,3.699651567944251,1.6565656565656566,3.6689895470383274,1.974747474747475,3.543554006968641,1.8282828282828283,3.510104529616725,1.914141414141414,3.443205574912892,1.8535353535353534,3.370731707317073
1.7803030303030303,3.6550522648083623,1.7474747474747474,3.64390243902439,2.0757575757575757,3.5156794425087106,1.9267676767676765,3.4850174216027874,2.0328282828282824,3.4097560975609755,1.9570707070707067,3.34006968641115
1.893939393939394,3.6243902439024387,1.8686868686868685,3.6104529616724736,2.25,3.4710801393728223,2.0303030303030303,3.45993031358885,2.143939393939394,3.3763066202090593,2.068181818181818,3.3121951219512193
2.0227272727272725,3.5965156794425086,2.005050505050505,3.5742160278745643,2.391414141414141,3.43205574912892,2.1540404040404035,3.4292682926829268,2.26010101010101,3.3484320557491287,2.202020202020202,3.2731707317073173
2.164141414141414,3.565853658536585,2.1414141414141414,3.535191637630662,2.515151515151515,3.3902439024390243,2.2803030303030303,3.3930313588850174,2.3838383838383836,3.3121951219512193,2.320707070707071,3.24808362369338
2.285353535353535,3.526829268292683,2.237373737373737,3.5073170731707317,2.618686868686869,3.354006968641115,2.4116161616161618,3.3651567944250873,2.494949494949495,3.278745644599303,2.4520202020202015,3.2090592334494774
2.444444444444444,3.4738675958188154,2.3383838383838382,3.4710801393728223,2.7348484848484844,3.3121951219512193,2.515151515151515,3.326132404181185,2.590909090909091,3.250871080139373,2.5858585858585856,3.170034843205575
2.5530303030303028,3.4404181184668987,2.4368686868686864,3.445993031358885,2.7979797979797976,3.2731707317073173,2.603535353535354,3.2982578397212543,2.7196969696969693,3.1951219512195124,2.6994949494949494,3.1310104529616725
2.6616161616161613,3.4153310104529617,2.535353535353535,3.418118466898955,2.886363636363636,3.197909407665505,2.7146464646464645,3.253658536585366,2.8030303030303028,3.1477351916376306,2.8005050505050506,3.078048780487805
2.7853535353535355,3.3428571428571425,2.646464646464646,3.387456445993031,2.984848484848485,3.097560975609756,2.79040404040404,3.2257839721254356,2.896464646464646,3.094773519163763,2.904040404040404,3.0195121951219512
