E_on_X,E_on_Y,E_rr_X,E_rr_Y,E_off_X,E_off_Y
111.96172248803828,10.5263157894737e-3,111.96172248803828,14.832535885167488e-3,110.52631578947364,13.875598086124398e-3
199.5215311004784,15.07177033492826e-3,198.08612440191388,22.727272727272748e-3,196.6507177033493,22.966507177033492e-3
300,22.966507177033492e-3,300,28.708133971291886e-3,298.56459330143537,33.49282296650719e-3
397.6076555023923,33.014354066985646e-3,399.0430622009569,33.25358851674642e-3,399.0430622009569,43.779904306220104e-3
499.52153110047846,44.97607655502394e-3,500.9569377990431,37.08133971291866e-3,499.52153110047846,53.34928229665071e-3
600,60.047846889952154e-3,600,39.95215311004786e-3,598.5645933014354,63.15789473684211e-3
700.4784688995215,77.99043062200957e-3,701.9138755980862,41.86602870813397e-3,699.0430622009569,72.00956937799043e-3
800.9569377990432,99.2822966507177e-3,799.5215311004785,44.019138755980876e-3,803.8277511961722,81.57894736842104e-3
895.6937799043063,120.33492822966505e-3,897.1291866028708,45.933014354066984e-3,895.6937799043063,90.43062200956938e-3
