,Thrust,Power,Efficiency,Solidity,Activity Factor,Aspect ratio,Rotational speed,Diameter,Number of blades,Blade twist between root and tip,Density,Pitch at 0.75R,Ref Pitch at 0.75R,Flight speed,Altitude
28,458.85532528052596,67470.96476772352,0.8922345076103785,0.08170586529974187,117.50103724157229,6.367614355844196,34.05926439072177,1.5832696864818314,2.0,0.6043738739371827,1.130784682446655,0.7842620004625978,0.087,131.19586874299245,825.7467792849475
29,3329.4675288060384,273130.52946369466,0.6491566881369312,0.07960269161996436,129.06370607939047,5.9799130407840195,48.6705226742881,1.8441382258633798,2.0,0.6569097416667138,1.0341454641479562,0.42989736419219005,0.087,53.25311281810898,1729.455654572065
30,1141.2075678450162,63150.54848936536,0.5347459725393683,0.0771486622793583,114.41933359442325,6.63075243191655,37.34069224866538,1.77727299863438,2.0,0.3085396632194756,0.6431611289806487,0.47793015882246803,0.087,29.59102482303758,6227.890825362152
31,639.832965405162,52351.54185403082,0.7698110255208285,0.05573042251550183,77.90336764137007,9.6867859301419,42.01371226105586,1.9635271387983881,2.0,0.15963020110218243,0.9582197762999062,0.31855143110801276,0.087,62.98642974221926,2485.956502622951
32,375.7136818760595,19715.98854468398,0.7661735279818191,0.07224303136832226,100.32232063556896,7.4420647087057885,31.293481466433306,1.833623874017997,2.0,0.6263570627474745,0.45102798060700966,0.3885751788576559,0.087,40.205798270377564,9276.155981154365
33,3196.210218414376,314693.8444538861,0.7801443385431908,0.11775025355084907,172.95973190014547,4.3377856871380995,33.2951678026432,2.6019665731783235,2.0,0.30684477754097067,1.2294139318643795,0.3705743365617704,0.087,76.81178782004062,0.0
34,667.0702435798092,37292.05223693104,0.5252631294723893,0.05189369626026175,76.413555089858,10.020732276829547,53.48681016555883,1.5695181802547418,2.0,0.501441029499335,0.439657760958934,0.4061388769433639,0.087,29.36443388225375,9485.833662506626
35,1315.8735603917044,103947.11755855737,0.5538575324762334,0.08047331815336146,122.47725060659573,6.194421668728557,55.80324074317579,1.5622405418887264,2.0,0.5069896564085348,0.5480497845504035,0.4806068972864882,0.087,43.751843468806946,7634.030598208153
36,813.2688051370066,86064.74342153332,0.8370179863419593,0.10466967859030032,154.01284250633964,4.87394606296041,43.80769512507591,1.678773744345653,2.0,0.7586281321629781,0.9013674008420409,0.4755512254269548,0.087,88.57801722960889,3083.0374073784496
37,393.3286461955894,18622.774545076423,0.6223733104728765,0.04305770092036232,69.21825094163547,11.277416332767295,41.37156302492317,1.508720961091413,2.0,0.7038009167945135,0.5729936230628478,0.4422733242425736,0.087,29.46726091759344,7248.237797329544
