ADVANCE_RATIO,CP,ETA
0.97,0.02,0.796
0.97,0.027,0.847
0.97,0.034,0.848
0.97,0.041,0.876
0.97,0.048,0.877
0.97,0.055,0.877
0.97,0.062,0.875
0.97,0.069,0.872
0.97,0.076,0.868
0.97,0.083,0.863
0.97,0.09,0.857
0.97,0.097,0.849
0.97,0.104,0.839
0.97,0.111,0.828
0.97,0.118,0.817
0.97,0.125,0.805
0.97,0.132,0.793
0.97,0.139,0.781
0.97,0.146,0.766
0.97,0.153,0.749
0.97,0.16,0.623
1.04,0.02,0.792
1.04,0.027,0.846
1.04,0.034,0.868
1.04,0.041,0.878
1.04,0.048,0.881
1.04,0.055,0.882
1.04,0.062,0.881
1.04,0.069,0.879
1.04,0.076,0.876
1.04,0.083,0.873
1.04,0.09,0.868
1.04,0.097,0.862
1.04,0.104,0.854
1.04,0.111,0.845
1.04,0.118,0.835
1.04,0.125,0.825
1.04,0.132,0.814
1.04,0.139,0.803
1.04,0.146,0.792
1.04,0.153,0.779
1.04,0.16,0.764
1.11,0.02,0.786
1.11,0.027,0.842
1.11,0.034,0.867
1.11,0.041,0.878
1.11,0.048,0.883
1.11,0.055,0.886
1.11,0.062,0.886
1.11,0.069,0.885
1.11,0.076,0.883
1.11,0.083,0.88
1.11,0.09,0.876
1.11,0.097,0.872
1.11,0.104,0.866
1.11,0.111,0.859
1.11,0.118,0.85
1.11,0.125,0.841
1.11,0.132,0.832
1.11,0.139,0.822
1.11,0.146,0.812
1.11,0.153,0.801
1.11,0.16,0.789
1.18,0.02,0.778
1.18,0.027,0.837
1.18,0.034,0.865
1.18,0.041,0.877
1.18,0.048,0.884
1.18,0.055,0.887
1.18,0.062,0.889
1.18,0.069,0.889
1.18,0.076,0.888
1.18,0.083,0.886
1.18,0.09,0.883
1.18,0.097,0.879
1.18,0.104,0.874
1.18,0.111,0.869
1.18,0.118,0.862
1.18,0.125,0.854
1.18,0.132,0.846
1.18,0.139,0.837
1.18,0.146,0.828
1.18,0.153,0.818
1.18,0.16,0.809
1.25,0.02,0.765
1.25,0.027,0.831
1.25,0.034,0.86
1.25,0.041,0.875
1.25,0.048,0.883
1.25,0.055,0.888
1.25,0.062,0.89
1.25,0.069,0.891
1.25,0.076,0.891
1.25,0.083,0.89
1.25,0.09,0.888
1.25,0.097,0.885
1.25,0.104,0.881
1.25,0.111,0.876
1.25,0.118,0.871
1.25,0.125,0.864
1.25,0.132,0.857
1.25,0.139,0.849
1.25,0.146,0.841
1.25,0.153,0.833
1.25,0.16,0.824
1.32,0.02,0.752
1.32,0.027,0.841
1.32,0.034,0.855
1.32,0.041,0.872
1.32,0.048,0.882
1.32,0.055,0.887
1.32,0.062,0.891
1.32,0.069,0.893
1.32,0.076,0.893
1.32,0.083,0.893
1.32,0.09,0.891
1.32,0.097,0.889
1.32,0.104,0.886
1.32,0.111,0.882
1.32,0.118,0.877
1.32,0.125,0.872
1.32,0.132,0.866
1.32,0.139,0.859
1.32,0.146,0.852
1.32,0.153,0.844
1.32,0.16,0.836
1.39,0.02,0.736
1.39,0.027,0.812
1.39,0.034,0.848
1.39,0.041,0.868
1.39,0.048,0.879
1.39,0.055,0.886
1.39,0.062,0.89
1.39,0.069,0.893
1.39,0.076,0.894
1.39,0.083,0.894
1.39,0.09,0.893
1.39,0.097,0.892
1.39,0.104,0.89
1.39,0.111,0.886
1.39,0.118,0.883
1.39,0.125,0.878
1.39,0.132,0.873
1.39,0.139,0.867
1.39,0.146,0.86
1.39,0.153,0.854
1.39,0.16,0.847
1.46,0.02,0.719
1.46,0.027,0.8
1.46,0.034,0.841
1.46,0.041,0.863
1.46,0.048,0.875
1.46,0.055,0.883
1.46,0.062,0.889
1.46,0.069,0.892
1.46,0.076,0.894
1.46,0.083,0.895
1.46,0.09,0.895
1.46,0.097,0.894
1.46,0.104,0.892
1.46,0.111,0.89
1.46,0.118,0.886
1.46,0.125,0.882
1.46,0.132,0.848
1.46,0.139,0.843
1.46,0.146,0.867
1.46,0.153,0.861
1.46,0.16,0.855
1.53,0.02,0.698
1.53,0.027,0.787
1.53,0.034,0.832
1.53,0.041,0.857
1.53,0.048,0.871
1.53,0.055,0.88
1.53,0.062,0.886
1.53,0.069,0.891
1.53,0.076,0.894
1.53,0.083,0.895
1.53,0.09,0.895
1.53,0.097,0.895
1.53,0.104,0.894
1.53,0.111,0.892
1.53,0.118,0.889
1.53,0.125,0.886
1.53,0.132,0.882
1.53,0.139,0.878
1.53,0.146,0.873
1.53,0.153,0.867
1.53,0.16,0.862
1.6,0.02,1.204
1.6,0.027,0.771
1.6,0.034,0.821
1.6,0.041,0.849
1.6,0.048,0.866
1.6,0.055,0.876
