,propeller_1 rpm [1/min],propeller_1 shaft_power_in [kW],propeller_1 torque_in [N*m],motor_1 efficiency [-],motor_1 torque_out [N*m],motor_1 ac_current_rms_in [A],motor_1 ac_voltage_rms_in [V],inverter_1 modulation_index [-],inverter_1 efficiency [-],inverter_1 dc_current_in [A],inverter_1 diode_temperature [degK],inverter_1 IGBT_temperature [degK],dc_bus_1 dc_voltage [V],harness_1 dc_current [A],harness_1 cable_temperature [degK],dc_bus_2 dc_voltage [V],dc_dc_converter_1 efficiency [-],dc_dc_converter_1 duty_cycle [-],dc_dc_converter_1 dc_current_in [A],dc_dc_converter_1 dc_current_out [A],battery_pack_1 c_rate [1/h],battery_pack_1 state_of_charge [percent],battery_pack_1 open_circuit_voltage [V],battery_pack_1 internal_resistance [ohm],battery_pack_1 voltage_out [V]
0,2000.0,8.976361074794706,42.85896708093768,0.9965006409423148,42.85896708093768,156.36801777220242,57.606939192028065,0.08301591562020533,0.873790863730425,12.129870494075556,295.3325978314844,295.92462726814097,849.8828544490731,12.129870494075556,288.2849581805891,850.0,0.9777793748774256,0.5129757030220264,13.066565783034662,12.129870494075556,0.032783472309549325,100.0,4.036936698125965,0.00296477143,806.9985576168747
1,2000.0,247.08807974206928,1179.758678101042,0.9823194414370392,1179.758678101042,4304.269059864094,58.43857853775386,0.08492559611510136,0.8049248631841855,370.797709939707,537.1849791975737,720.2848472654972,842.7653455446481,370.797709939707,542.933962567551,850.0,0.9870589437026996,0.5168263150201179,401.82347048447383,370.797709939707,1.008158443212256,99.72680439742042,4.033480652675289,0.002986393869801481,794.6530977566671
2,2000.0,244.7706109160295,1168.693579527274,0.9824804733859172,1168.693579527274,4263.8988025229255,58.42900025253954,0.08488643289082783,0.8058453597148802,366.7311782456802,533.8556688076578,713.2743818625314,843.0159680743038,366.7311782456802,530.8637974989131,850.0,0.9871152712435985,0.5171346782258666,397.8850380201172,366.7311782456802,0.9982770792959691,99.33774180476735,4.028595727841326,0.0030168831222180978,793.6724044809645
3,2000.0,242.46199859487996,1157.6707676494598,0.9826409243693817,1157.6707676494598,4223.682825307359,58.41945964587351,0.08484879737266637,0.8067627836605645,362.69828619080437,530.5611173939868,706.3514065225056,843.252182779913,362.69828619080437,519.505058679365,850.0,0.9871711550724486,0.5174413374768692,393.9708153177409,362.69828619080437,0.9884564566696804,98.9468354594728,4.023731135405563,0.0030471594070211935,792.6982895196251
4,2000.0,240.16223928803166,1146.6902258012647,0.9828007937253785,1146.6902258012647,4183.621067411409,58.40995672172967,0.08481255983374439,0.8076771404389138,358.6981129067224,527.3009493495377,699.5150356332558,843.4752479276133,358.6981129067224,508.79548872197756,850.0,0.9872266045608131,0.5177463318021648,390.0800433671903,358.6981129067224,0.9786946710083506,98.55400626655886,4.018886327881894,0.0030772257490256053,791.7306078081347
5,2000.0,237.87132946432237,1135.7519371226315,0.9829600807876334,1135.7519371226315,4143.713467322308,58.400491484438255,0.08477760569596758,0.8085884350748701,354.72982839496024,524.0747940416366,692.7643929258732,843.6862759349668,354.72982839496024,498.6800442587398,850.0,0.987281627548872,0.5180497010347248,386.21205632098713,354.72982839496024,0.9689900517282383,98.15917230952071,4.014060754119188,0.0031070851314181727,790.7692124949698
6,2000.0,235.5892655516575,1124.855884558064,0.9831187848853574,1124.855884558064,4103.959962814241,58.39106393870302,0.08474383333957819,0.8094966722035943,350.7926806619773,520.8822857501773,686.0986112921637,843.8862543243652,350.7926806619773,489.10985951718203,850.0,0.9873362305550801,0.5183514858571394,382.36626801306807,350.7926806619773,0.9593411281629698,97.76224858121421,4.009253857483821,0.0031367405042686865,789.8139548002856
7,2000.0,233.31604393682454,1114.0020508557438,0.9832769053429292,1114.0020508557438,4064.3604909451265,58.3816740896199,0.0847111522884134,0.8104018560723549,346.88598504494655,517.7230636027291,679.516832613641,844.0760631029351,346.88598504494655,480.0413866536277,850.0,0.9873904189493038,0.5186517278545134,378.5421607902421,346.88598504494655,0.9497466015421313,97.36314670782347,4.004465074136133,0.0031661947920865008,788.8646838528084
8,2000.0,231.05166096510843,1103.190418565692,0.9834344414795754,1103.190418565692,4024.914988049904,58.37232194269572,0.08467948169671181,0.8113039905416503,343.00911529751704,514.5967715069833,673.0182075992468,844.2564892707812,343.00911529751704,471.4356781282146,850.0,0.987444197096595,0.5189504695739965,374.7392762011364,343.00911529751704,0.9402053216302184,96.96177466279775,3.999693831369783,0.0031954509006031214,787.9212465069361
9,2000.0,228.79611294015058,1092.4209700390957,0.9835913926090172,1092.4209700390957,3985.6233897380866,58.3630075038689,0.08464874907979184,0.8122030790854969,339.16149610132794,511.50305808192394,666.6018956317536,844.428239004144,339.16149610132794,463.25778408597523,850.0,0.9874975684771461,0.5192477545907049,370.95720718976935,339.16149610132794,0.9307162671406338,96.55803646778746,3.994939545987027,0.0032245117229272122,786.9834871409494
10,2000.0,226.54939612354383,1081.6936874263763,0.9837477580391221,1081.6936874263763,3946.4856308867024,58.353730779529776,0.08461888924333502,0.813099124791177,335.3425967392344,508.4415765875973,660.2670646203051,844.5919479429208,335.3425967392344,455.47624350245127,850.0,0.9875505357868021,0.5195436275799978,367.19559151510344,335.3425967392344,0.9212785292256195,96.15183187765516,3.9902016226865684,0.003253380145192273,786.0512474366155
