x; y
147.9751373;4.245485975
264.7976563;14.4347145
373.8318648;24.62394303
486.7602732;45.00240009
591.9004601;68.77705936
704.8286901;92.55202958
802.1808339;112.9304866
922.8972854;136.7054569
1024.143451;160.4801161
1121.495416;201.2370303
1222.741582;248.7869707
1327.881768;286.1473717
1429.127756;323.5077726
1522.585699;364.2646867
1619.937843;405.0216008
1725.07803;445.778515
1830.218217;489.9319422
1931.464204;527.2924987
2024.922148;578.2386413
2106.697849;646.1668834
2180.685507;717.4914831
2258.567008;782.0232119
2340.342709;849.951454
2418.224566;924.6724113
2500.000267;995.9970111
2573.987569;1060.52874
2651.869426;1131.85334
2733.645127;1199.781582
2811.526628;1271.106181
2889.408129;1342.430781
2967.289987;1410.359023
3052.959531;1481.683623
3123.052989;1542.818994
3204.82869;1617.539951
3278.816348;1682.07168
3360.592049;1756.792793
3438.47355;1817.928164
3520.249251;1892.649122
3602.024952;1963.973721
3676.01261;2028.505528
3761.68251;2099.830128
3839.564011;2167.758292
3917.445513;2239.082892
3995.32737;2310.407491
4069.314671;2378.335733
4147.196529;2442.867501
4225.07803;2510.795704
4310.747931;2585.516701
4384.735232;2650.048468
4466.510933;2721.373068
4540.498591;2792.697687
4626.168492;2867.418703
4700.15606;2925.157639
4855.919063;3071.203273
4941.588963;3139.131438
4785.825605;2999.878674
