,0,1,2,3
mach,0.0,0.0,0.0,0.0
reynolds,1000100,1000000,999999,999990
cl_max_2d,4.0015,4.0015,4.0015,4.0015
cl_min_2d,-3.0795,-3.0795,-3.0795,-3.0795
alpha,"[-30.0, -29.5, -29.0, -28.5, -28.0, -27.5, -27.0, -26.5, -26.0, -25.5, -25.0, -24.5, -24.0, -23.5, -23.0, -22.5, -22.0, -21.5, -21.0, -20.5, -20.0, -19.5, -19.0, -18.5, -18.0, -17.5, -17.0, -16.5, -16.0, -15.5, -15.0, -14.5, -14.0, -13.5, -13.0, -12.5, -12.0, -11.5, -11.0, -10.5, -10.0, -9.5, -9.0, -8.5, -8.0, -7.5, -7.0, -6.5, -6.0, -5.5, -5.0, -4.5, -4.0, -3.5, -3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0, 4.5, 5.0, 5.5, 6.0, 6.5, 7.0, 7.5, 8.0, 8.5, 9.0, 9.5, 10.0, 10.5, 11.0, 11.5, 12.0, 12.5, 13.0, 13.5, 14.0, 14.5, 15.0, 15.5, 16.0, 16.5, 17.0, 17.5, 18.0, 18.5, 19.0, 19.5, 20.0, 20.5, 21.0, 21.5, 22.0, 22.5, 23.0, 23.5, 24.0, 24.5, 25.0, 25.5, 26.0, 26.5, 27.0, 27.5, 28.0, 28.5, 29.0, 29.5, 30.0]","[-30.0, -29.5, -29.0, -28.5, -28.0, -27.5, -27.0, -26.5, -26.0, -25.5, -25.0, -24.5, -24.0, -23.5, -23.0, -22.5, -22.0, -21.5, -21.0, -20.5, -20.0, -19.5, -19.0, -18.5, -18.0, -17.5, -17.0, -16.5, -16.0, -15.5, -15.0, -14.5, -14.0, -13.5, -13.0, -12.5, -12.0, -11.5, -11.0, -10.5, -10.0, -9.5, -9.0, -8.5, -8.0, -7.5, -7.0, -6.5, -6.0, -5.5, -5.0, -4.5, -4.0, -3.5, -3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0, 4.5, 5.0, 5.5, 6.0, 6.5, 7.0, 7.5, 8.0, 8.5, 9.0, 9.5, 10.0, 10.5, 11.0, 11.5, 12.0, 12.5, 13.0, 13.5, 14.0, 14.5, 15.0, 15.5, 16.0, 16.5, 17.0, 17.5, 18.0, 18.5, 19.0, 19.5, 20.0, 20.5, 21.0, 21.5, 22.0, 22.5, 23.0, 23.5, 24.0, 24.5, 25.0, 25.5, 26.0, 26.5, 27.0, 27.5, 28.0, 28.5, 29.0, 29.5, 30.0]","[-30.0, -29.5, -29.0, -28.5, -28.0, -27.5, -27.0, -26.5, -26.0, -25.5, -25.0, -24.5, -24.0, -23.5, -23.0, -22.5, -22.0, -21.5, -21.0, -20.5, -20.0, -19.5, -19.0, -18.5, -18.0, -17.5, -17.0, -16.5, -16.0, -15.5, -15.0, -14.5, -14.0, -13.5, -13.0, -12.5, -12.0, -11.5, -11.0, -10.5, -10.0, -9.5, -9.0, -8.5, -8.0, -7.5, -7.0, -6.5, -6.0, -5.5, -5.0, -4.5, -4.0, -3.5, -3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0, 4.5, 5.0, 5.5, 6.0, 6.5, 7.0, 7.5, 8.0, 8.5, 9.0, 9.5, 10.0, 10.5, 11.0, 11.5, 12.0, 12.5, 13.0, 13.5, 14.0, 14.5, 15.0, 15.5, 16.0, 16.5, 17.0, 17.5, 18.0, 18.5, 19.0, 19.5, 20.0, 20.5, 21.0, 21.5, 22.0, 22.5, 23.0, 23.5, 24.0, 24.5, 25.0, 25.5, 26.0, 26.5, 27.0, 27.5, 28.0, 28.5, 29.0, 29.5, 30.0]","[-30.0, -29.5, -29.0, -28.5, -28.0, -27.5, -27.0, -26.5, -26.0, -25.5, -25.0, -24.5, -24.0, -23.5, -23.0, -22.5, -22.0, -21.5, -21.0, -20.5, -20.0, -19.5, -19.0, -18.5, -18.0, -17.5, -17.0, -16.5, -16.0, -15.5, -15.0, -14.5, -14.0, -13.5, -13.0, -12.5, -12.0, -11.5, -11.0, -10.5, -10.0, -9.5, -9.0, -8.5, -8.0, -7.5, -7.0, -6.5, -6.0, -5.5, -5.0, -4.5, -4.0, -3.5, -3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0, 4.5, 5.0, 5.5, 6.0, 6.5, 7.0, 7.5, 8.0, 8.5, 9.0, 9.5, 10.0, 10.5, 11.0, 11.5, 12.0, 12.5, 13.0, 13.5, 14.0, 14.5, 15.0, 15.5, 16.0, 16.5, 17.0, 17.5, 18.0, 18.5, 19.0, 19.5, 20.0, 20.5, 21.0, 21.5, 22.0, 22.5, 23.0, 23.5, 24.0, 24.5, 25.0, 25.5, 26.0, 26.5, 27.0, 27.5, 28.0, 28.5, 29.0, 29.5, 30.0]"
cl,"[-3.0795, -3.0235, -2.9673, -2.9109, -2.8542, -2.7973, -2.7403, -2.683, -2.6255, -2.5678, -2.5099, -2.4518, -2.3935, -2.3351, -2.2765, -2.2177, -2.1587, -2.0996, -2.0403, -1.9808, -1.9212, -1.8615, -1.8016, -1.7416, -1.6814, -1.6212, -1.5608, -1.5002, -1.4396, -1.3789, -1.318, -1.2571, -1.196, -1.1349, -1.0737, -1.0124, -0.951, -0.8895, -0.828, -0.7665, -0.7048, -0.6431, -0.5814, -0.5196, -0.4578, -0.3959, -0.334, -0.2721, -0.2102, -0.1483, -0.0863, -0.0243, 0.0376, 0.0996, 0.1615, 0.2235, 0.2854, 0.3473, 0.4092, 0.471, 0.5328, 0.5946, 0.6563, 0.718, 0.7796, 0.8412, 0.9027, 0.9641, 1.0254, 1.0867, 1.1479, 1.209, 1.27, 1.3309, 1.3917, 1.4524, 1.513, 1.5735, 1.6338, 1.6941, 1.7542, 1.8141, 1.874, 1.9337, 1.9932, 2.0526, 2.1118, 2.1709, 2.2298, 2.2885, 2.3471, 2.4055, 2.4637, 2.5217, 2.5795, 2.6372, 2.6946, 2.7518, 2.8088, 2.8656, 2.9222, 2.9786, 3.0347, 3.0906, 3.1462, 3.2017, 3.2569, 3.3118, 3.3665, 3.4209, 3.4751, 3.529, 3.5826, 3.636, 3.689, 3.7418, 3.7944, 3.8466, 3.8985, 3.9502, 4.0015]","[-3.0795, -3.0235, -2.9673, -2.9109, -2.8542, -2.7973, -2.7403, -2.683, -2.6255, -2.5678, -2.5099, -2.4518, -2.3935, -2.3351, -2.2765, -2.2177, -2.1587, -2.0996, -2.0403, -1.9808, -1.9212, -1.8615, -1.8016, -1.7416, -1.6814, -1.6212, -1.5608, -1.5002, -1.4396, -1.3789, -1.318, -1.2571, -1.196, -1.1349, -1.0737, -1.0124, -0.951, -0.8895, -0.828, -0.7665, -0.7048, -0.6431, -0.5814, -0.5196, -0.4578, -0.3959, -0.334, -0.2721, -0.2102, -0.1483, -0.0863, -0.0243, 0.0376, 0.0996, 0.1615, 0.2235, 0.2854, 0.3473, 0.4092, 0.471, 0.5328, 0.5946, 0.6563, 0.718, 0.7796, 0.8412, 0.9027, 0.9641, 1.0254, 1.0867, 1.1479, 1.209, 1.27, 1.3309, 1.3917, 1.4524, 1.513, 1.5735, 1.6338, 1.6941, 1.7542, 1.8141, 1.874, 1.9337, 1.9932, 2.0526, 2.1118, 2.1709, 2.2298, 2.2885, 2.3471, 2.4055, 2.4637, 2.5217, 2.5795, 2.6372, 2.6946, 2.7518, 2.8088, 2.8656, 2.9222, 2.9786, 3.0347, 3.0906, 3.1462, 3.2017, 3.2569, 3.3118, 3.3665, 3.4209, 3.4751, 3.529, 3.5826, 3.636, 3.689, 3.7418, 3.7944, 3.8466, 3.8985, 3.9502, 4.0015]","[-3.0795, -3.0235, -2.9673, -2.9109, -2.8542, -2.7973, -2.7403, -2.683, -2.6255, -2.5678, -2.5099, -2.4518, -2.3935, -2.3351, -2.2765, -2.2177, -2.1587, -2.0996, -2.0403, -1.9808, -1.9212, -1.8615, -1.8016, -1.7416, -1.6814, -1.6212, -1.5608, -1.5002, -1.4396, -1.3789, -1.318, -1.2571, -1.196, -1.1349, -1.0737, -1.0124, -0.951, -0.8895, -0.828, -0.7665, -0.7048, -0.6431, -0.5814, -0.5196, -0.4578, -0.3959, -0.334, -0.2721, -0.2102, -0.1483, -0.0863, -0.0243, 0.0376, 0.0996, 0.1615, 0.2235, 0.2854, 0.3473, 0.4092, 0.471, 0.5328, 0.5946, 0.6563, 0.718, 0.7796, 0.8412, 0.9027, 0.9641, 1.0254, 1.0867, 1.1479, 1.209, 1.27, 1.3309, 1.3917, 1.4524, 1.513, 1.5735, 1.6338, 1.6941, 1.7542, 1.8141, 1.874, 1.9337, 1.9932, 2.0526, 2.1118, 2.1709, 2.2298, 2.2885, 2.3471, 2.4055, 2.4637, 2.5217, 2.5795, 2.6372, 2.6946, 2.7518, 2.8088, 2.8656, 2.9222, 2.9786, 3.0347, 3.0906, 3.1462, 3.2017, 3.2569, 3.3118, 3.3665, 3.4209, 3.4751, 3.529, 3.5826, 3.636, 3.689, 3.7418, 3.7944, 3.8466, 3.8985, 3.9502, 4.0015]","[-3.0795, -3.0235, -2.9673, -2.9109, -2.8542, -2.7973, -2.7403, -2.683, -2.6255, -2.5678, -2.5099, -2.4518, -2.3935, -2.3351, -2.2765, -2.2177, -2.1587, -2.0996, -2.0403, -1.9808, -1.9212, -1.8615, -1.8016, -1.7416, -1.6814, -1.6212, -1.5608, -1.5002, -1.4396, -1.3789, -1.318, -1.2571, -1.196, -1.1349, -1.0737, -1.0124, -0.951, -0.8895, -0.828, -0.7665, -0.7048, -0.6431, -0.5814, -0.5196, -0.4578, -0.3959, -0.334, -0.2721, -0.2102, -0.1483, -0.0863, -0.0243, 0.0376, 0.0996, 0.1615, 0.2235, 0.2854, 0.3473, 0.4092, 0.471, 0.5328, 0.5946, 0.6563, 0.718, 0.7796, 0.8412, 0.9027, 0.9641, 1.0254, 1.0867, 1.1479, 1.209, 1.27, 1.3309, 1.3917, 1.4524, 1.513, 1.5735, 1.6338, 1.6941, 1.7542, 1.8141, 1.874, 1.9337, 1.9932, 2.0526, 2.1118, 2.1709, 2.2298, 2.2885, 2.3471, 2.4055, 2.4637, 2.5217, 2.5795, 2.6372, 2.6946, 2.7518, 2.8088, 2.8656, 2.9222, 2.9786, 3.0347, 3.0906, 3.1462, 3.2017, 3.2569, 3.3118, 3.3665, 3.4209, 3.4751, 3.529, 3.5826, 3.636, 3.689, 3.7418, 3.7944, 3.8466, 3.8985, 3.9502, 4.0015]"
cd,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
cdp,"[-0.00066, -0.00065, -0.00064, -0.00064, -0.00063, -0.00062, -0.00062, -0.00061, -0.0006, -0.00059, -0.00058, -0.00057, -0.00056, -0.00055, -0.00054, -0.00053, -0.00052, -0.00051, -0.0005, -0.00049, -0.00048, -0.00047, -0.00046, -0.00045, -0.00044, -0.00043, -0.00042, -0.00041, -0.0004, -0.00039, -0.00037, -0.00036, -0.00035, -0.00034, -0.00033, -0.00032, -0.00031, -0.0003, -0.00029, -0.00028, -0.00027, -0.00026, -0.00025, -0.00024, -0.00023, -0.00023, -0.00022, -0.00021, -0.0002, -0.00019, -0.00019, -0.00018, -0.00017, -0.00017, -0.00016, -0.00015, -0.00015, -0.00014, -0.00014, -0.00013, -0.00013, -0.00013, -0.00012, -0.00012, -0.00012, -0.00012, -0.00012, -0.00012, -0.00012, -0.00012, -0.00012, -0.00012, -0.00012, -0.00012, -0.00012, -0.00013, -0.00013, -0.00014, -0.00014, -0.00014, -0.00015, -0.00016, -0.00016, -0.00017, -0.00018, -0.00019, -0.00019, -0.0002, -0.00021, -0.00022, -0.00023, -0.00024, -0.00026, -0.00027, -0.00028, -0.00029, -0.00031, -0.00032, -0.00034, -0.00035, -0.00037, -0.00038, -0.0004, -0.00041, -0.00043, -0.00045, -0.00047, -0.00049, -0.0005, -0.00052, -0.00054, -0.00056, -0.00058, -0.0006, -0.00062, -0.00064, -0.00067, -0.00069, -0.00071, -0.00073, -0.00076]","[-0.00066, -0.00065, -0.00064, -0.00064, -0.00063, -0.00062, -0.00062, -0.00061, -0.0006, -0.00059, -0.00058, -0.00057, -0.00056, -0.00055, -0.00054, -0.00053, -0.00052, -0.00051, -0.0005, -0.00049, -0.00048, -0.00047, -0.00046, -0.00045, -0.00044, -0.00043, -0.00042, -0.00041, -0.0004, -0.00039, -0.00037, -0.00036, -0.00035, -0.00034, -0.00033, -0.00032, -0.00031, -0.0003, -0.00029, -0.00028, -0.00027, -0.00026, -0.00025, -0.00024, -0.00023, -0.00023, -0.00022, -0.00021, -0.0002, -0.00019, -0.00019, -0.00018, -0.00017, -0.00017, -0.00016, -0.00015, -0.00015, -0.00014, -0.00014, -0.00013, -0.00013, -0.00013, -0.00012, -0.00012, -0.00012, -0.00012, -0.00012, -0.00012, -0.00012, -0.00012, -0.00012, -0.00012, -0.00012, -0.00012, -0.00012, -0.00013, -0.00013, -0.00014, -0.00014, -0.00014, -0.00015, -0.00016, -0.00016, -0.00017, -0.00018, -0.00019, -0.00019, -0.0002, -0.00021, -0.00022, -0.00023, -0.00024, -0.00026, -0.00027, -0.00028, -0.00029, -0.00031, -0.00032, -0.00034, -0.00035, -0.00037, -0.00038, -0.0004, -0.00041, -0.00043, -0.00045, -0.00047, -0.00049, -0.0005, -0.00052, -0.00054, -0.00056, -0.00058, -0.0006, -0.00062, -0.00064, -0.00067, -0.00069, -0.00071, -0.00073, -0.00076]","[-0.00066, -0.00065, -0.00064, -0.00064, -0.00063, -0.00062, -0.00062, -0.00061, -0.0006, -0.00059, -0.00058, -0.00057, -0.00056, -0.00055, -0.00054, -0.00053, -0.00052, -0.00051, -0.0005, -0.00049, -0.00048, -0.00047, -0.00046, -0.00045, -0.00044, -0.00043, -0.00042, -0.00041, -0.0004, -0.00039, -0.00037, -0.00036, -0.00035, -0.00034, -0.00033, -0.00032, -0.00031, -0.0003, -0.00029, -0.00028, -0.00027, -0.00026, -0.00025, -0.00024, -0.00023, -0.00023, -0.00022, -0.00021, -0.0002, -0.00019, -0.00019, -0.00018, -0.00017, -0.00017, -0.00016, -0.00015, -0.00015, -0.00014, -0.00014, -0.00013, -0.00013, -0.00013, -0.00012, -0.00012, -0.00012, -0.00012, -0.00012, -0.00012, -0.00012, -0.00012, -0.00012, -0.00012, -0.00012, -0.00012, -0.00012, -0.00013, -0.00013, -0.00014, -0.00014, -0.00014, -0.00015, -0.00016, -0.00016, -0.00017, -0.00018, -0.00019, -0.00019, -0.0002, -0.00021, -0.00022, -0.00023, -0.00024, -0.00026, -0.00027, -0.00028, -0.00029, -0.00031, -0.00032, -0.00034, -0.00035, -0.00037, -0.00038, -0.0004, -0.00041, -0.00043, -0.00045, -0.00047, -0.00049, -0.0005, -0.00052, -0.00054, -0.00056, -0.00058, -0.0006, -0.00062, -0.00064, -0.00067, -0.00069, -0.00071, -0.00073, -0.00076]","[-0.00066, -0.00065, -0.00064, -0.00064, -0.00063, -0.00062, -0.00062, -0.00061, -0.0006, -0.00059, -0.00058, -0.00057, -0.00056, -0.00055, -0.00054, -0.00053, -0.00052, -0.00051, -0.0005, -0.00049, -0.00048, -0.00047, -0.00046, -0.00045, -0.00044, -0.00043, -0.00042, -0.00041, -0.0004, -0.00039, -0.00037, -0.00036, -0.00035, -0.00034, -0.00033, -0.00032, -0.00031, -0.0003, -0.00029, -0.00028, -0.00027, -0.00026, -0.00025, -0.00024, -0.00023, -0.00023, -0.00022, -0.00021, -0.0002, -0.00019, -0.00019, -0.00018, -0.00017, -0.00017, -0.00016, -0.00015, -0.00015, -0.00014, -0.00014, -0.00013, -0.00013, -0.00013, -0.00012, -0.00012, -0.00012, -0.00012, -0.00012, -0.00012, -0.00012, -0.00012, -0.00012, -0.00012, -0.00012, -0.00012, -0.00012, -0.00013, -0.00013, -0.00014, -0.00014, -0.00014, -0.00015, -0.00016, -0.00016, -0.00017, -0.00018, -0.00019, -0.00019, -0.0002, -0.00021, -0.00022, -0.00023, -0.00024, -0.00026, -0.00027, -0.00028, -0.00029, -0.00031, -0.00032, -0.00034, -0.00035, -0.00037, -0.00038, -0.0004, -0.00041, -0.00043, -0.00045, -0.00047, -0.00049, -0.0005, -0.00052, -0.00054, -0.00056, -0.00058, -0.0006, -0.00062, -0.00064, -0.00067, -0.00069, -0.00071, -0.00073, -0.00076]"
cm,"[-0.0753, -0.0753, -0.0754, -0.0755, -0.0756, -0.0757, -0.0759, -0.076, -0.0762, -0.0764, -0.0767, -0.0769, -0.0772, -0.0775, -0.0778, -0.0782, -0.0785, -0.0789, -0.0793, -0.0797, -0.0802, -0.0806, -0.0811, -0.0816, -0.0821, -0.0827, -0.0832, -0.0838, -0.0844, -0.085, -0.0856, -0.0863, -0.087, -0.0876, -0.0883, -0.0891, -0.0898, -0.0906, -0.0913, -0.0921, -0.0929, -0.0937, -0.0946, -0.0954, -0.0963, -0.0971, -0.098, -0.0989, -0.0999, -0.1008, -0.1017, -0.1027, -0.1037, -0.1047, -0.1057, -0.1067, -0.1077, -0.1087, -0.1098, -0.1108, -0.1119, -0.113, -0.1141, -0.1152, -0.1163, -0.1174, -0.1185, -0.1196, -0.1208, -0.1219, -0.1231, -0.1242, -0.1254, -0.1265, -0.1277, -0.1289, -0.1301, -0.1313, -0.1325, -0.1337, -0.1349, -0.1361, -0.1373, -0.1385, -0.1397, -0.1409, -0.1421, -0.1433, -0.1446, -0.1458, -0.147, -0.1482, -0.1494, -0.1506, -0.1518, -0.153, -0.1542, -0.1554, -0.1566, -0.1578, -0.159, -0.1602, -0.1614, -0.1626, -0.1638, -0.1649, -0.1661, -0.1672, -0.1684, -0.1695, -0.1707, -0.1718, -0.1729, -0.174, -0.1751, -0.1762, -0.1773, -0.1783, -0.1794, -0.1805, -0.1815]","[-0.0753, -0.0753, -0.0754, -0.0755, -0.0756, -0.0757, -0.0759, -0.076, -0.0762, -0.0764, -0.0767, -0.0769, -0.0772, -0.0775, -0.0778, -0.0782, -0.0785, -0.0789, -0.0793, -0.0797, -0.0802, -0.0806, -0.0811, -0.0816, -0.0821, -0.0827, -0.0832, -0.0838, -0.0844, -0.085, -0.0856, -0.0863, -0.087, -0.0876, -0.0883, -0.0891, -0.0898, -0.0906, -0.0913, -0.0921, -0.0929, -0.0937, -0.0946, -0.0954, -0.0963, -0.0971, -0.098, -0.0989, -0.0999, -0.1008, -0.1017, -0.1027, -0.1037, -0.1047, -0.1057, -0.1067, -0.1077, -0.1087, -0.1098, -0.1108, -0.1119, -0.113, -0.1141, -0.1152, -0.1163, -0.1174, -0.1185, -0.1196, -0.1208, -0.1219, -0.1231, -0.1242, -0.1254, -0.1265, -0.1277, -0.1289, -0.1301, -0.1313, -0.1325, -0.1337, -0.1349, -0.1361, -0.1373, -0.1385, -0.1397, -0.1409, -0.1421, -0.1433, -0.1446, -0.1458, -0.147, -0.1482, -0.1494, -0.1506, -0.1518, -0.153, -0.1542, -0.1554, -0.1566, -0.1578, -0.159, -0.1602, -0.1614, -0.1626, -0.1638, -0.1649, -0.1661, -0.1672, -0.1684, -0.1695, -0.1707, -0.1718, -0.1729, -0.174, -0.1751, -0.1762, -0.1773, -0.1783, -0.1794, -0.1805, -0.1815]","[-0.0753, -0.0753, -0.0754, -0.0755, -0.0756, -0.0757, -0.0759, -0.076, -0.0762, -0.0764, -0.0767, -0.0769, -0.0772, -0.0775, -0.0778, -0.0782, -0.0785, -0.0789, -0.0793, -0.0797, -0.0802, -0.0806, -0.0811, -0.0816, -0.0821, -0.0827, -0.0832, -0.0838, -0.0844, -0.085, -0.0856, -0.0863, -0.087, -0.0876, -0.0883, -0.0891, -0.0898, -0.0906, -0.0913, -0.0921, -0.0929, -0.0937, -0.0946, -0.0954, -0.0963, -0.0971, -0.098, -0.0989, -0.0999, -0.1008, -0.1017, -0.1027, -0.1037, -0.1047, -0.1057, -0.1067, -0.1077, -0.1087, -0.1098, -0.1108, -0.1119, -0.113, -0.1141, -0.1152, -0.1163, -0.1174, -0.1185, -0.1196, -0.1208, -0.1219, -0.1231, -0.1242, -0.1254, -0.1265, -0.1277, -0.1289, -0.1301, -0.1313, -0.1325, -0.1337, -0.1349, -0.1361, -0.1373, -0.1385, -0.1397, -0.1409, -0.1421, -0.1433, -0.1446, -0.1458, -0.147, -0.1482, -0.1494, -0.1506, -0.1518, -0.153, -0.1542, -0.1554, -0.1566, -0.1578, -0.159, -0.1602, -0.1614, -0.1626, -0.1638, -0.1649, -0.1661, -0.1672, -0.1684, -0.1695, -0.1707, -0.1718, -0.1729, -0.174, -0.1751, -0.1762, -0.1773, -0.1783, -0.1794, -0.1805, -0.1815]","[-0.0753, -0.0753, -0.0754, -0.0755, -0.0756, -0.0757, -0.0759, -0.076, -0.0762, -0.0764, -0.0767, -0.0769, -0.0772, -0.0775, -0.0778, -0.0782, -0.0785, -0.0789, -0.0793, -0.0797, -0.0802, -0.0806, -0.0811, -0.0816, -0.0821, -0.0827, -0.0832, -0.0838, -0.0844, -0.085, -0.0856, -0.0863, -0.087, -0.0876, -0.0883, -0.0891, -0.0898, -0.0906, -0.0913, -0.0921, -0.0929, -0.0937, -0.0946, -0.0954, -0.0963, -0.0971, -0.098, -0.0989, -0.0999, -0.1008, -0.1017, -0.1027, -0.1037, -0.1047, -0.1057, -0.1067, -0.1077, -0.1087, -0.1098, -0.1108, -0.1119, -0.113, -0.1141, -0.1152, -0.1163, -0.1174, -0.1185, -0.1196, -0.1208, -0.1219, -0.1231, -0.1242, -0.1254, -0.1265, -0.1277, -0.1289, -0.1301, -0.1313, -0.1325, -0.1337, -0.1349, -0.1361, -0.1373, -0.1385, -0.1397, -0.1409, -0.1421, -0.1433, -0.1446, -0.1458, -0.147, -0.1482, -0.1494, -0.1506, -0.1518, -0.153, -0.1542, -0.1554, -0.1566, -0.1578, -0.159, -0.1602, -0.1614, -0.1626, -0.1638, -0.1649, -0.1661, -0.1672, -0.1684, -0.1695, -0.1707, -0.1718, -0.1729, -0.174, -0.1751, -0.1762, -0.1773, -0.1783, -0.1794, -0.1805, -0.1815]"
