,0,1,2,3
mach,0.0,0.0,0.0,0.0
reynolds,1000100,1000000,999999,999990
cl_max_2d,4.2876,4.2876,4.2876,4.2876
cl_min_2d,-3.2797,-3.2797,-3.2797,-3.2797
alpha,"[-30.0, -29.5, -29.0, -28.5, -28.0, -27.5, -27.0, -26.5, -26.0, -25.5, -25.0, -24.5, -24.0, -23.5, -23.0, -22.5, -22.0, -21.5, -21.0, -20.5, -20.0, -19.5, -19.0, -18.5, -18.0, -17.5, -17.0, -16.5, -16.0, -15.5, -15.0, -14.5, -14.0, -13.5, -13.0, -12.5, -12.0, -11.5, -11.0, -10.5, -10.0, -9.5, -9.0, -8.5, -8.0, -7.5, -7.0, -6.5, -6.0, -5.5, -5.0, -4.5, -4.0, -3.5, -3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0, 4.5, 5.0, 5.5, 6.0, 6.5, 7.0, 7.5, 8.0, 8.5, 9.0, 9.5, 10.0, 10.5, 11.0, 11.5, 12.0, 12.5, 13.0, 13.5, 14.0, 14.5, 15.0, 15.5, 16.0, 16.5, 17.0, 17.5, 18.0, 18.5, 19.0, 19.5, 20.0, 20.5, 21.0, 21.5, 22.0, 22.5, 23.0, 23.5, 24.0, 24.5, 25.0, 25.5, 26.0, 26.5, 27.0, 27.5, 28.0, 28.5, 29.0, 29.5, 30.0]","[-30.0, -29.5, -29.0, -28.5, -28.0, -27.5, -27.0, -26.5, -26.0, -25.5, -25.0, -24.5, -24.0, -23.5, -23.0, -22.5, -22.0, -21.5, -21.0, -20.5, -20.0, -19.5, -19.0, -18.5, -18.0, -17.5, -17.0, -16.5, -16.0, -15.5, -15.0, -14.5, -14.0, -13.5, -13.0, -12.5, -12.0, -11.5, -11.0, -10.5, -10.0, -9.5, -9.0, -8.5, -8.0, -7.5, -7.0, -6.5, -6.0, -5.5, -5.0, -4.5, -4.0, -3.5, -3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0, 4.5, 5.0, 5.5, 6.0, 6.5, 7.0, 7.5, 8.0, 8.5, 9.0, 9.5, 10.0, 10.5, 11.0, 11.5, 12.0, 12.5, 13.0, 13.5, 14.0, 14.5, 15.0, 15.5, 16.0, 16.5, 17.0, 17.5, 18.0, 18.5, 19.0, 19.5, 20.0, 20.5, 21.0, 21.5, 22.0, 22.5, 23.0, 23.5, 24.0, 24.5, 25.0, 25.5, 26.0, 26.5, 27.0, 27.5, 28.0, 28.5, 29.0, 29.5, 30.0]","[-30.0, -29.5, -29.0, -28.5, -28.0, -27.5, -27.0, -26.5, -26.0, -25.5, -25.0, -24.5, -24.0, -23.5, -23.0, -22.5, -22.0, -21.5, -21.0, -20.5, -20.0, -19.5, -19.0, -18.5, -18.0, -17.5, -17.0, -16.5, -16.0, -15.5, -15.0, -14.5, -14.0, -13.5, -13.0, -12.5, -12.0, -11.5, -11.0, -10.5, -10.0, -9.5, -9.0, -8.5, -8.0, -7.5, -7.0, -6.5, -6.0, -5.5, -5.0, -4.5, -4.0, -3.5, -3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0, 4.5, 5.0, 5.5, 6.0, 6.5, 7.0, 7.5, 8.0, 8.5, 9.0, 9.5, 10.0, 10.5, 11.0, 11.5, 12.0, 12.5, 13.0, 13.5, 14.0, 14.5, 15.0, 15.5, 16.0, 16.5, 17.0, 17.5, 18.0, 18.5, 19.0, 19.5, 20.0, 20.5, 21.0, 21.5, 22.0, 22.5, 23.0, 23.5, 24.0, 24.5, 25.0, 25.5, 26.0, 26.5, 27.0, 27.5, 28.0, 28.5, 29.0, 29.5, 30.0]","[-30.0, -29.5, -29.0, -28.5, -28.0, -27.5, -27.0, -26.5, -26.0, -25.5, -25.0, -24.5, -24.0, -23.5, -23.0, -22.5, -22.0, -21.5, -21.0, -20.5, -20.0, -19.5, -19.0, -18.5, -18.0, -17.5, -17.0, -16.5, -16.0, -15.5, -15.0, -14.5, -14.0, -13.5, -13.0, -12.5, -12.0, -11.5, -11.0, -10.5, -10.0, -9.5, -9.0, -8.5, -8.0, -7.5, -7.0, -6.5, -6.0, -5.5, -5.0, -4.5, -4.0, -3.5, -3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0, 4.5, 5.0, 5.5, 6.0, 6.5, 7.0, 7.5, 8.0, 8.5, 9.0, 9.5, 10.0, 10.5, 11.0, 11.5, 12.0, 12.5, 13.0, 13.5, 14.0, 14.5, 15.0, 15.5, 16.0, 16.5, 17.0, 17.5, 18.0, 18.5, 19.0, 19.5, 20.0, 20.5, 21.0, 21.5, 22.0, 22.5, 23.0, 23.5, 24.0, 24.5, 25.0, 25.5, 26.0, 26.5, 27.0, 27.5, 28.0, 28.5, 29.0, 29.5, 30.0]"
cl,"[-3.2797, -3.2198, -3.1597, -3.0994, -3.0388, -2.978, -2.9169, -2.8556, -2.7942, -2.7325, -2.6706, -2.6085, -2.5462, -2.4837, -2.421, -2.3581, -2.2951, -2.2319, -2.1685, -2.1049, -2.0412, -1.9773, -1.9133, -1.8491, -1.7848, -1.7204, -1.6558, -1.5911, -1.5263, -1.4614, -1.3963, -1.3312, -1.2659, -1.2006, -1.1352, -1.0696, -1.004, -0.9384, -0.8726, -0.8068, -0.7409, -0.675, -0.609, -0.543, -0.4769, -0.4108, -0.3446, -0.2785, -0.2123, -0.1461, -0.0799, -0.0136, 0.0526, 0.1188, 0.185, 0.2512, 0.3174, 0.3835, 0.4496, 0.5157, 0.5818, 0.6478, 0.7137, 0.7796, 0.8455, 0.9113, 0.977, 1.0426, 1.1081, 1.1736, 1.239, 1.3043, 1.3695, 1.4346, 1.4995, 1.5644, 1.6291, 1.6937, 1.7582, 1.8226, 1.8868, 1.9509, 2.0148, 2.0786, 2.1422, 2.2057, 2.2689, 2.3321, 2.395, 2.4577, 2.5203, 2.5827, 2.6449, 2.7068, 2.7686, 2.8302, 2.8915, 2.9527, 3.0136, 3.0742, 3.1347, 3.1949, 3.2548, 3.3146, 3.374, 3.4332, 3.4922, 3.5509, 3.6093, 3.6674, 3.7253, 3.7828, 3.8401, 3.8971, 3.9538, 4.0102, 4.0663, 4.1221, 4.1776, 4.2327, 4.2876]","[-3.2797, -3.2198, -3.1597, -3.0994, -3.0388, -2.978, -2.9169, -2.8556, -2.7942, -2.7325, -2.6706, -2.6085, -2.5462, -2.4837, -2.421, -2.3581, -2.2951, -2.2319, -2.1685, -2.1049, -2.0412, -1.9773, -1.9133, -1.8491, -1.7848, -1.7204, -1.6558, -1.5911, -1.5263, -1.4614, -1.3963, -1.3312, -1.2659, -1.2006, -1.1352, -1.0696, -1.004, -0.9384, -0.8726, -0.8068, -0.7409, -0.675, -0.609, -0.543, -0.4769, -0.4108, -0.3446, -0.2785, -0.2123, -0.1461, -0.0799, -0.0136, 0.0526, 0.1188, 0.185, 0.2512, 0.3174, 0.3835, 0.4496, 0.5157, 0.5818, 0.6478, 0.7137, 0.7796, 0.8455, 0.9113, 0.977, 1.0426, 1.1081, 1.1736, 1.239, 1.3043, 1.3695, 1.4346, 1.4995, 1.5644, 1.6291, 1.6937, 1.7582, 1.8226, 1.8868, 1.9509, 2.0148, 2.0786, 2.1422, 2.2057, 2.2689, 2.3321, 2.395, 2.4577, 2.5203, 2.5827, 2.6449, 2.7068, 2.7686, 2.8302, 2.8915, 2.9527, 3.0136, 3.0742, 3.1347, 3.1949, 3.2548, 3.3146, 3.374, 3.4332, 3.4922, 3.5509, 3.6093, 3.6674, 3.7253, 3.7828, 3.8401, 3.8971, 3.9538, 4.0102, 4.0663, 4.1221, 4.1776, 4.2327, 4.2876]","[-3.2797, -3.2198, -3.1597, -3.0994, -3.0388, -2.978, -2.9169, -2.8556, -2.7942, -2.7325, -2.6706, -2.6085, -2.5462, -2.4837, -2.421, -2.3581, -2.2951, -2.2319, -2.1685, -2.1049, -2.0412, -1.9773, -1.9133, -1.8491, -1.7848, -1.7204, -1.6558, -1.5911, -1.5263, -1.4614, -1.3963, -1.3312, -1.2659, -1.2006, -1.1352, -1.0696, -1.004, -0.9384, -0.8726, -0.8068, -0.7409, -0.675, -0.609, -0.543, -0.4769, -0.4108, -0.3446, -0.2785, -0.2123, -0.1461, -0.0799, -0.0136, 0.0526, 0.1188, 0.185, 0.2512, 0.3174, 0.3835, 0.4496, 0.5157, 0.5818, 0.6478, 0.7137, 0.7796, 0.8455, 0.9113, 0.977, 1.0426, 1.1081, 1.1736, 1.239, 1.3043, 1.3695, 1.4346, 1.4995, 1.5644, 1.6291, 1.6937, 1.7582, 1.8226, 1.8868, 1.9509, 2.0148, 2.0786, 2.1422, 2.2057, 2.2689, 2.3321, 2.395, 2.4577, 2.5203, 2.5827, 2.6449, 2.7068, 2.7686, 2.8302, 2.8915, 2.9527, 3.0136, 3.0742, 3.1347, 3.1949, 3.2548, 3.3146, 3.374, 3.4332, 3.4922, 3.5509, 3.6093, 3.6674, 3.7253, 3.7828, 3.8401, 3.8971, 3.9538, 4.0102, 4.0663, 4.1221, 4.1776, 4.2327, 4.2876]","[-3.2797, -3.2198, -3.1597, -3.0994, -3.0388, -2.978, -2.9169, -2.8556, -2.7942, -2.7325, -2.6706, -2.6085, -2.5462, -2.4837, -2.421, -2.3581, -2.2951, -2.2319, -2.1685, -2.1049, -2.0412, -1.9773, -1.9133, -1.8491, -1.7848, -1.7204, -1.6558, -1.5911, -1.5263, -1.4614, -1.3963, -1.3312, -1.2659, -1.2006, -1.1352, -1.0696, -1.004, -0.9384, -0.8726, -0.8068, -0.7409, -0.675, -0.609, -0.543, -0.4769, -0.4108, -0.3446, -0.2785, -0.2123, -0.1461, -0.0799, -0.0136, 0.0526, 0.1188, 0.185, 0.2512, 0.3174, 0.3835, 0.4496, 0.5157, 0.5818, 0.6478, 0.7137, 0.7796, 0.8455, 0.9113, 0.977, 1.0426, 1.1081, 1.1736, 1.239, 1.3043, 1.3695, 1.4346, 1.4995, 1.5644, 1.6291, 1.6937, 1.7582, 1.8226, 1.8868, 1.9509, 2.0148, 2.0786, 2.1422, 2.2057, 2.2689, 2.3321, 2.395, 2.4577, 2.5203, 2.5827, 2.6449, 2.7068, 2.7686, 2.8302, 2.8915, 2.9527, 3.0136, 3.0742, 3.1347, 3.1949, 3.2548, 3.3146, 3.374, 3.4332, 3.4922, 3.5509, 3.6093, 3.6674, 3.7253, 3.7828, 3.8401, 3.8971, 3.9538, 4.0102, 4.0663, 4.1221, 4.1776, 4.2327, 4.2876]"
cd,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
cdp,"[-0.00321, -0.0032, -0.00318, -0.00317, -0.00315, -0.00314, -0.00312, -0.00311, -0.00309, -0.00308, -0.00306, -0.00305, -0.00303, -0.00302, -0.003, -0.00299, -0.00297, -0.00296, -0.00294, -0.00293, -0.00292, -0.0029, -0.00289, -0.00288, -0.00286, -0.00285, -0.00284, -0.00283, -0.00281, -0.0028, -0.00279, -0.00278, -0.00277, -0.00276, -0.00275, -0.00274, -0.00273, -0.00273, -0.00272, -0.00271, -0.0027, -0.0027, -0.00269, -0.00269, -0.00268, -0.00268, -0.00267, -0.00267, -0.00266, -0.00266, -0.00266, -0.00266, -0.00266, -0.00266, -0.00266, -0.00266, -0.00266, -0.00266, -0.00266, -0.00267, -0.00267, -0.00267, -0.00268, -0.00268, -0.00269, -0.0027, -0.0027, -0.00271, -0.00272, -0.00272, -0.00273, -0.00274, -0.00275, -0.00276, -0.00277, -0.00278, -0.00279, -0.00281, -0.00282, -0.00283, -0.00284, -0.00286, -0.00287, -0.00288, -0.0029, -0.00291, -0.00293, -0.00294, -0.00296, -0.00298, -0.00299, -0.00301, -0.00302, -0.00304, -0.00306, -0.00308, -0.00309, -0.00311, -0.00313, -0.00315, -0.00316, -0.00318, -0.0032, -0.00322, -0.00324, -0.00325, -0.00327, -0.00329, -0.00331, -0.00332, -0.00334, -0.00336, -0.00338, -0.00339, -0.00341, -0.00343, -0.00344, -0.00346, -0.00348, -0.00349, -0.00351]","[-0.00321, -0.0032, -0.00318, -0.00317, -0.00315, -0.00314, -0.00312, -0.00311, -0.00309, -0.00308, -0.00306, -0.00305, -0.00303, -0.00302, -0.003, -0.00299, -0.00297, -0.00296, -0.00294, -0.00293, -0.00292, -0.0029, -0.00289, -0.00288, -0.00286, -0.00285, -0.00284, -0.00283, -0.00281, -0.0028, -0.00279, -0.00278, -0.00277, -0.00276, -0.00275, -0.00274, -0.00273, -0.00273, -0.00272, -0.00271, -0.0027, -0.0027, -0.00269, -0.00269, -0.00268, -0.00268, -0.00267, -0.00267, -0.00266, -0.00266, -0.00266, -0.00266, -0.00266, -0.00266, -0.00266, -0.00266, -0.00266, -0.00266, -0.00266, -0.00267, -0.00267, -0.00267, -0.00268, -0.00268, -0.00269, -0.0027, -0.0027, -0.00271, -0.00272, -0.00272, -0.00273, -0.00274, -0.00275, -0.00276, -0.00277, -0.00278, -0.00279, -0.00281, -0.00282, -0.00283, -0.00284, -0.00286, -0.00287, -0.00288, -0.0029, -0.00291, -0.00293, -0.00294, -0.00296, -0.00298, -0.00299, -0.00301, -0.00302, -0.00304, -0.00306, -0.00308, -0.00309, -0.00311, -0.00313, -0.00315, -0.00316, -0.00318, -0.0032, -0.00322, -0.00324, -0.00325, -0.00327, -0.00329, -0.00331, -0.00332, -0.00334, -0.00336, -0.00338, -0.00339, -0.00341, -0.00343, -0.00344, -0.00346, -0.00348, -0.00349, -0.00351]","[-0.00321, -0.0032, -0.00318, -0.00317, -0.00315, -0.00314, -0.00312, -0.00311, -0.00309, -0.00308, -0.00306, -0.00305, -0.00303, -0.00302, -0.003, -0.00299, -0.00297, -0.00296, -0.00294, -0.00293, -0.00292, -0.0029, -0.00289, -0.00288, -0.00286, -0.00285, -0.00284, -0.00283, -0.00281, -0.0028, -0.00279, -0.00278, -0.00277, -0.00276, -0.00275, -0.00274, -0.00273, -0.00273, -0.00272, -0.00271, -0.0027, -0.0027, -0.00269, -0.00269, -0.00268, -0.00268, -0.00267, -0.00267, -0.00266, -0.00266, -0.00266, -0.00266, -0.00266, -0.00266, -0.00266, -0.00266, -0.00266, -0.00266, -0.00266, -0.00267, -0.00267, -0.00267, -0.00268, -0.00268, -0.00269, -0.0027, -0.0027, -0.00271, -0.00272, -0.00272, -0.00273, -0.00274, -0.00275, -0.00276, -0.00277, -0.00278, -0.00279, -0.00281, -0.00282, -0.00283, -0.00284, -0.00286, -0.00287, -0.00288, -0.0029, -0.00291, -0.00293, -0.00294, -0.00296, -0.00298, -0.00299, -0.00301, -0.00302, -0.00304, -0.00306, -0.00308, -0.00309, -0.00311, -0.00313, -0.00315, -0.00316, -0.00318, -0.0032, -0.00322, -0.00324, -0.00325, -0.00327, -0.00329, -0.00331, -0.00332, -0.00334, -0.00336, -0.00338, -0.00339, -0.00341, -0.00343, -0.00344, -0.00346, -0.00348, -0.00349, -0.00351]","[-0.00321, -0.0032, -0.00318, -0.00317, -0.00315, -0.00314, -0.00312, -0.00311, -0.00309, -0.00308, -0.00306, -0.00305, -0.00303, -0.00302, -0.003, -0.00299, -0.00297, -0.00296, -0.00294, -0.00293, -0.00292, -0.0029, -0.00289, -0.00288, -0.00286, -0.00285, -0.00284, -0.00283, -0.00281, -0.0028, -0.00279, -0.00278, -0.00277, -0.00276, -0.00275, -0.00274, -0.00273, -0.00273, -0.00272, -0.00271, -0.0027, -0.0027, -0.00269, -0.00269, -0.00268, -0.00268, -0.00267, -0.00267, -0.00266, -0.00266, -0.00266, -0.00266, -0.00266, -0.00266, -0.00266, -0.00266, -0.00266, -0.00266, -0.00266, -0.00267, -0.00267, -0.00267, -0.00268, -0.00268, -0.00269, -0.0027, -0.0027, -0.00271, -0.00272, -0.00272, -0.00273, -0.00274, -0.00275, -0.00276, -0.00277, -0.00278, -0.00279, -0.00281, -0.00282, -0.00283, -0.00284, -0.00286, -0.00287, -0.00288, -0.0029, -0.00291, -0.00293, -0.00294, -0.00296, -0.00298, -0.00299, -0.00301, -0.00302, -0.00304, -0.00306, -0.00308, -0.00309, -0.00311, -0.00313, -0.00315, -0.00316, -0.00318, -0.0032, -0.00322, -0.00324, -0.00325, -0.00327, -0.00329, -0.00331, -0.00332, -0.00334, -0.00336, -0.00338, -0.00339, -0.00341, -0.00343, -0.00344, -0.00346, -0.00348, -0.00349, -0.00351]"
cm,"[-0.0423, -0.0425, -0.0428, -0.0431, -0.0434, -0.0438, -0.0442, -0.0447, -0.0451, -0.0457, -0.0462, -0.0468, -0.0474, -0.0481, -0.0488, -0.0495, -0.0503, -0.0511, -0.0519, -0.0528, -0.0537, -0.0546, -0.0556, -0.0566, -0.0576, -0.0587, -0.0597, -0.0609, -0.062, -0.0632, -0.0644, -0.0657, -0.067, -0.0683, -0.0696, -0.071, -0.0723, -0.0738, -0.0752, -0.0767, -0.0782, -0.0797, -0.0812, -0.0828, -0.0844, -0.086, -0.0877, -0.0893, -0.091, -0.0927, -0.0945, -0.0962, -0.098, -0.0998, -0.1016, -0.1034, -0.1053, -0.1071, -0.109, -0.1109, -0.1128, -0.1147, -0.1167, -0.1186, -0.1206, -0.1226, -0.1246, -0.1266, -0.1286, -0.1306, -0.1327, -0.1347, -0.1368, -0.1388, -0.1409, -0.143, -0.1451, -0.1472, -0.1492, -0.1513, -0.1534, -0.1555, -0.1577, -0.1598, -0.1619, -0.164, -0.1661, -0.1682, -0.1703, -0.1724, -0.1745, -0.1766, -0.1787, -0.1807, -0.1828, -0.1849, -0.187, -0.189, -0.1911, -0.1931, -0.1951, -0.1972, -0.1992, -0.2012, -0.2032, -0.2051, -0.2071, -0.2091, -0.211, -0.2129, -0.2148, -0.2167, -0.2186, -0.2204, -0.2223, -0.2241, -0.2259, -0.2277, -0.2294, -0.2312, -0.2329]","[-0.0423, -0.0425, -0.0428, -0.0431, -0.0434, -0.0438, -0.0442, -0.0447, -0.0451, -0.0457, -0.0462, -0.0468, -0.0474, -0.0481, -0.0488, -0.0495, -0.0503, -0.0511, -0.0519, -0.0528, -0.0537, -0.0546, -0.0556, -0.0566, -0.0576, -0.0587, -0.0597, -0.0609, -0.062, -0.0632, -0.0644, -0.0657, -0.067, -0.0683, -0.0696, -0.071, -0.0723, -0.0738, -0.0752, -0.0767, -0.0782, -0.0797, -0.0812, -0.0828, -0.0844, -0.086, -0.0877, -0.0893, -0.091, -0.0927, -0.0945, -0.0962, -0.098, -0.0998, -0.1016, -0.1034, -0.1053, -0.1071, -0.109, -0.1109, -0.1128, -0.1147, -0.1167, -0.1186, -0.1206, -0.1226, -0.1246, -0.1266, -0.1286, -0.1306, -0.1327, -0.1347, -0.1368, -0.1388, -0.1409, -0.143, -0.1451, -0.1472, -0.1492, -0.1513, -0.1534, -0.1555, -0.1577, -0.1598, -0.1619, -0.164, -0.1661, -0.1682, -0.1703, -0.1724, -0.1745, -0.1766, -0.1787, -0.1807, -0.1828, -0.1849, -0.187, -0.189, -0.1911, -0.1931, -0.1951, -0.1972, -0.1992, -0.2012, -0.2032, -0.2051, -0.2071, -0.2091, -0.211, -0.2129, -0.2148, -0.2167, -0.2186, -0.2204, -0.2223, -0.2241, -0.2259, -0.2277, -0.2294, -0.2312, -0.2329]","[-0.0423, -0.0425, -0.0428, -0.0431, -0.0434, -0.0438, -0.0442, -0.0447, -0.0451, -0.0457, -0.0462, -0.0468, -0.0474, -0.0481, -0.0488, -0.0495, -0.0503, -0.0511, -0.0519, -0.0528, -0.0537, -0.0546, -0.0556, -0.0566, -0.0576, -0.0587, -0.0597, -0.0609, -0.062, -0.0632, -0.0644, -0.0657, -0.067, -0.0683, -0.0696, -0.071, -0.0723, -0.0738, -0.0752, -0.0767, -0.0782, -0.0797, -0.0812, -0.0828, -0.0844, -0.086, -0.0877, -0.0893, -0.091, -0.0927, -0.0945, -0.0962, -0.098, -0.0998, -0.1016, -0.1034, -0.1053, -0.1071, -0.109, -0.1109, -0.1128, -0.1147, -0.1167, -0.1186, -0.1206, -0.1226, -0.1246, -0.1266, -0.1286, -0.1306, -0.1327, -0.1347, -0.1368, -0.1388, -0.1409, -0.143, -0.1451, -0.1472, -0.1492, -0.1513, -0.1534, -0.1555, -0.1577, -0.1598, -0.1619, -0.164, -0.1661, -0.1682, -0.1703, -0.1724, -0.1745, -0.1766, -0.1787, -0.1807, -0.1828, -0.1849, -0.187, -0.189, -0.1911, -0.1931, -0.1951, -0.1972, -0.1992, -0.2012, -0.2032, -0.2051, -0.2071, -0.2091, -0.211, -0.2129, -0.2148, -0.2167, -0.2186, -0.2204, -0.2223, -0.2241, -0.2259, -0.2277, -0.2294, -0.2312, -0.2329]","[-0.0423, -0.0425, -0.0428, -0.0431, -0.0434, -0.0438, -0.0442, -0.0447, -0.0451, -0.0457, -0.0462, -0.0468, -0.0474, -0.0481, -0.0488, -0.0495, -0.0503, -0.0511, -0.0519, -0.0528, -0.0537, -0.0546, -0.0556, -0.0566, -0.0576, -0.0587, -0.0597, -0.0609, -0.062, -0.0632, -0.0644, -0.0657, -0.067, -0.0683, -0.0696, -0.071, -0.0723, -0.0738, -0.0752, -0.0767, -0.0782, -0.0797, -0.0812, -0.0828, -0.0844, -0.086, -0.0877, -0.0893, -0.091, -0.0927, -0.0945, -0.0962, -0.098, -0.0998, -0.1016, -0.1034, -0.1053, -0.1071, -0.109, -0.1109, -0.1128, -0.1147, -0.1167, -0.1186, -0.1206, -0.1226, -0.1246, -0.1266, -0.1286, -0.1306, -0.1327, -0.1347, -0.1368, -0.1388, -0.1409, -0.143, -0.1451, -0.1472, -0.1492, -0.1513, -0.1534, -0.1555, -0.1577, -0.1598, -0.1619, -0.164, -0.1661, -0.1682, -0.1703, -0.1724, -0.1745, -0.1766, -0.1787, -0.1807, -0.1828, -0.1849, -0.187, -0.189, -0.1911, -0.1931, -0.1951, -0.1972, -0.1992, -0.2012, -0.2032, -0.2051, -0.2071, -0.2091, -0.211, -0.2129, -0.2148, -0.2167, -0.2186, -0.2204, -0.2223, -0.2241, -0.2259, -0.2277, -0.2294, -0.2312, -0.2329]"
