,0,1,2,3
mach,0.0,0.0,0.0,0.0
reynolds,1000000,1000100,999999,999990
cl_max_2d,1.5465,1.5465,1.5465,1.5465
cl_min_2d,-1.0018,-1.0018,-1.0018,-1.0018
alpha,"[-30.0, -29.5, -28.5, -28.0, -27.5, -27.0, -26.5, -26.0, -25.5, -25.0, -24.5, -24.0, -23.5, -23.0, -22.5, -22.0, -21.5, -21.0, -20.5, -20.0, -19.5, -19.0, -18.5, -18.0, -17.5, -17.0, -15.0, -14.5, -14.0, -13.5, -13.0, -12.5, -12.0, -11.5, -11.0, -10.5, -10.0, -9.5, -9.0, -8.5, -8.0, -7.5, -7.0, -6.5, -6.0, -5.5, -5.0, -4.5, -4.0, -3.5, -3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0, 4.5, 5.0, 5.5, 6.0, 6.5, 7.0, 7.5, 8.0, 8.5, 9.0, 9.5, 10.0, 10.5, 11.0, 11.5, 12.0, 12.5, 13.0, 13.5, 14.0, 14.5, 15.0, 15.5, 16.0, 16.5, 17.0, 17.5, 18.0, 18.5, 19.0, 19.5, 20.0, 20.5, 21.0, 21.5, 22.0, 22.5, 23.0, 23.5, 24.0, 24.5, 25.0]","[-30.0, -29.5, -29.0, -28.5, -28.0, -27.5, -27.0, -26.5, -26.0, -25.5, -25.0, -24.5, -24.0, -23.5, -23.0, -22.5, -22.0, -21.5, -21.0, -20.5, -20.0, -19.5, -19.0, -18.5, -18.0, -17.5, -17.0, -15.0, -14.5, -14.0, -13.5, -13.0, -12.5, -12.0, -11.5, -11.0, -10.5, -10.0, -9.5, -9.0, -8.5, -8.0, -7.5, -7.0, -6.5, -6.0, -5.5, -5.0, -4.5, -4.0, -3.5, -3.0, -2.5, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.5, 3.0, 3.5, 4.0, 4.5, 5.0, 5.5, 6.0, 6.5, 7.0, 7.5, 8.0, 8.5, 9.0, 9.5, 10.0, 10.5, 11.0, 11.5, 12.0, 12.5, 13.0, 13.5, 14.0, 14.5, 15.0, 15.5, 16.0, 16.5, 17.0, 17.5, 18.0, 18.5, 19.0, 19.5, 20.0, 20.5, 21.0, 21.5, 22.0, 22.5, 23.0, 23.5, 24.0, 24.5, 25.0, 26.5, 27.0, 27.5, 28.0, 28.5, 29.0, 29.5, 30.0]","[-15.0, -14.5, -14.0, -13.5, -13.0, -12.5, -12.0, -11.5, -11.0, -10.5, -10.0, -9.5, -9.0, -8.5, -8.0, -7.5, -7.0, -6.5, -6.0, -5.5, -5.0, -4.5, -4.0, -3.5, -3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0, 4.5, 5.0, 5.5, 6.0, 6.5, 7.0, 7.5, 8.0, 8.5, 9.0, 9.5, 10.0, 10.5, 11.0, 11.5, 12.0, 12.5, 13.0, 13.5, 14.0, 14.5, 15.0, 15.5, 16.0, 16.5, 17.0, 17.5, 18.0, 18.5, 19.0, 19.5, 20.0, 20.5, 21.0, 21.5, 22.0, 22.5, 23.0, 23.5, 24.0, 24.5, 25.0, 26.5, 27.0, 27.5, 28.0, 28.5, 29.0, 29.5, 30.0]","[-15.0, -14.5, -14.0, -13.5, -13.0, -12.5, -12.0, -11.0, -10.5, -10.0, -9.5, -9.0, -8.5, -8.0, -7.5, -7.0, -6.5, -6.0, -5.5, -5.0, -4.5, -4.0, -3.5, -3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0, 4.5, 5.0, 5.5, 6.0, 6.5, 7.0, 7.5, 8.0, 8.5, 9.0, 9.5, 10.0, 10.5, 11.0, 11.5, 12.0, 12.5, 13.0, 13.5, 14.0, 14.5, 15.0, 15.5, 16.0, 16.5, 17.0, 17.5, 18.0, 18.5, 19.0, 19.5, 20.0, 20.5, 21.0, 21.5, 22.0, 22.5, 23.0, 23.5, 24.0, 24.5, 25.0]"
cl,"[-0.5263, -0.5192, -0.5054, -0.4969, -0.4886, -0.4811, -0.4741, -0.4645, -0.4552, -0.4461, -0.4409, -0.4298, -0.4194, -0.4094, -0.4006, -0.3959, -0.3837, -0.3726, -0.3623, -0.3528, -0.3524, -0.3387, -0.3274, -0.3176, -0.3175, -0.3091, -0.7922, -0.8493, -0.9379, -1.0018, -0.9629, -0.918, -0.8661, -0.8068, -0.7442, -0.6817, -0.6217, -0.5609, -0.5083, -0.4556, -0.4034, -0.3505, -0.2963, -0.2418, -0.1866, -0.1311, -0.0754, -0.0195, 0.0365, 0.0925, 0.1483, 0.2043, 0.26, 0.3154, 0.3705, 0.4253, 0.4797, 0.5318, 0.5787, 0.6461, 0.6997, 0.7535, 0.8072, 0.86, 0.9122, 0.964, 1.0136, 1.0607, 1.1047, 1.1445, 1.1865, 1.2288, 1.2714, 1.3114, 1.3467, 1.3804, 1.4143, 1.4446, 1.4711, 1.4939, 1.5136, 1.5331, 1.5465, 1.5527, 1.5654, 1.5728, 1.5762, 1.5761, 1.5727, 1.5656, 1.5558, 1.5431, 1.5286, 1.5126, 1.4957, 1.4801, 1.4656, 1.4538, 1.4448, 1.4385, 1.4329, 1.4274, 1.4218, 1.4151, 1.4075, 1.3964, 1.3797]","[-0.9118, -0.8969, -0.8807, -0.866, -0.8508, -0.835, -0.8189, -0.8022, -0.7865, -0.77, -0.7531, -0.7361, -0.7204, -0.7028, -0.6852, -0.6675, -0.6499, -0.6353, -0.6175, -0.5993, -0.5814, -0.564, -0.5476, -0.5357, -0.5171, -0.4995, -0.483, -0.7922, -0.8493, -0.938, -1.0018, -0.9629, -0.918, -0.8661, -0.8068, -0.7442, -0.6817, -0.6217, -0.5609, -0.5083, -0.4556, -0.4034, -0.3505, -0.2963, -0.2418, -0.1866, -0.1311, -0.0754, -0.0195, 0.0365, 0.0925, 0.1483, 0.2043, 0.3154, 0.3705, 0.4254, 0.4797, 0.5318, 0.5787, 0.6461, 0.7535, 0.8072, 0.86, 0.9122, 0.964, 1.0136, 1.0607, 1.1047, 1.1445, 1.1865, 1.2288, 1.2714, 1.3114, 1.3467, 1.3804, 1.4143, 1.4446, 1.4711, 1.4939, 1.5136, 1.5331, 1.5465, 1.5528, 1.5655, 1.5729, 1.5762, 1.5761, 1.5727, 1.5656, 1.5558, 1.5431, 1.5287, 1.5126, 1.4957, 1.4801, 1.4656, 1.4538, 1.4448, 1.4385, 1.4329, 1.4274, 1.4218, 1.4151, 1.4075, 1.3964, 1.3797, 0.7853, 0.7914, 0.7905, 0.795, 0.7967, 0.7998, 0.8036, 0.8048]","[-0.7922, -0.8493, -0.9379, -1.0018, -0.9629, -0.918, -0.8661, -0.8068, -0.7442, -0.6817, -0.6217, -0.5609, -0.5083, -0.4556, -0.4034, -0.3505, -0.2963, -0.2418, -0.1866, -0.1311, -0.0754, -0.0195, 0.0365, 0.0925, 0.1483, 0.2043, 0.26, 0.3154, 0.3705, 0.4253, 0.4797, 0.5318, 0.5787, 0.6461, 0.6997, 0.7535, 0.8072, 0.86, 0.9122, 0.964, 1.0136, 1.0607, 1.1047, 1.1445, 1.1865, 1.2288, 1.2714, 1.3114, 1.3467, 1.3804, 1.4143, 1.4446, 1.4711, 1.4939, 1.5136, 1.5331, 1.5465, 1.5527, 1.5654, 1.5728, 1.5762, 1.5761, 1.5727, 1.5656, 1.5558, 1.5431, 1.5286, 1.5126, 1.4957, 1.4801, 1.4656, 1.4538, 1.4448, 1.4385, 1.4329, 1.4274, 1.4218, 1.4151, 1.4075, 1.3964, 1.3797, 0.7853, 0.7914, 0.7905, 0.795, 0.7967, 0.7998, 0.8036, 0.8048]","[-0.7922, -0.8493, -0.9379, -1.0018, -0.9629, -0.4079, -0.3943, -0.7442, -0.6817, -0.6217, -0.5609, -0.5083, -0.4556, -0.4034, -0.3505, -0.2963, -0.2418, -0.1866, -0.1311, -0.0754, -0.0195, 0.0365, 0.0925, 0.1483, 0.2043, 0.26, 0.3154, 0.3705, 0.4253, 0.4797, 0.5318, 0.5787, 0.6461, 0.6997, 0.7535, 0.8072, 0.86, 0.9122, 0.964, 1.0136, 1.0607, 1.1047, 1.1445, 1.1865, 1.2288, 1.2714, 1.3114, 1.3467, 1.3804, 1.4143, 1.4446, 1.4711, 1.4939, 1.5136, 1.5331, 1.5465, 1.5527, 1.5654, 1.5728, 1.5762, 1.5761, 1.5727, 1.5656, 1.5558, 1.5431, 1.5286, 1.5126, 1.4957, 1.4801, 1.4656, 1.4538, 1.4448, 1.4385, 1.4329, 1.4274, 1.4218, 1.4151, 1.4075, 1.3964, 1.3797]"
cd,"[0.28907, 0.28348, 0.27201, 0.26768, 0.26281, 0.25677, 0.25091, 0.24681, 0.24235, 0.23748, 0.23065, 0.22664, 0.22252, 0.21808, 0.21291, 0.20672, 0.20285, 0.19892, 0.19473, 0.19022, 0.18374, 0.18006, 0.17643, 0.17255, 0.1666, 0.16249, 0.07982, 0.06315, 0.03825, 0.03217, 0.02774, 0.02302, 0.02066, 0.01874, 0.01687, 0.01582, 0.01492, 0.01383, 0.01305, 0.01233, 0.01151, 0.01081, 0.01025, 0.00963, 0.00916, 0.00877, 0.00841, 0.00809, 0.00784, 0.00764, 0.00747, 0.00731, 0.0072, 0.00712, 0.00706, 0.00699, 0.00689, 0.00651, 0.00607, 0.00615, 0.00637, 0.00662, 0.0069, 0.00724, 0.00763, 0.00805, 0.00865, 0.00943, 0.01044, 0.01171, 0.01275, 0.01367, 0.01449, 0.01536, 0.01626, 0.01726, 0.01827, 0.01952, 0.02106, 0.02291, 0.02511, 0.02747, 0.03048, 0.03435, 0.03791, 0.04219, 0.04723, 0.05297, 0.05941, 0.0666, 0.07439, 0.0828, 0.09168, 0.10096, 0.11063, 0.12021, 0.12984, 0.13904, 0.14787, 0.15653, 0.16523, 0.17394, 0.18291, 0.19236, 0.20226, 0.21344, 0.22664]","[0.34399, 0.33888, 0.33155, 0.32607, 0.3218, 0.31702, 0.31175, 0.30391, 0.29844, 0.29385, 0.28884, 0.28339, 0.27462, 0.26981, 0.26489, 0.25955, 0.25369, 0.24466, 0.23895, 0.2339, 0.22847, 0.2226, 0.21563, 0.20659, 0.20155, 0.19609, 0.19008, 0.07982, 0.06316, 0.03823, 0.03217, 0.02774, 0.02302, 0.02066, 0.01874, 0.01687, 0.01582, 0.01492, 0.01383, 0.01305, 0.01233, 0.01151, 0.01081, 0.01025, 0.00963, 0.00916, 0.00877, 0.00841, 0.00809, 0.00784, 0.00764, 0.00747, 0.00731, 0.00712, 0.00706, 0.00699, 0.00689, 0.00651, 0.00607, 0.00615, 0.00662, 0.0069, 0.00724, 0.00763, 0.00805, 0.00865, 0.00943, 0.01044, 0.01171, 0.01275, 0.01367, 0.01449, 0.01536, 0.01626, 0.01726, 0.01827, 0.01952, 0.02106, 0.02291, 0.02511, 0.02747, 0.03048, 0.03435, 0.0379, 0.04219, 0.04723, 0.05297, 0.05941, 0.06659, 0.07439, 0.0828, 0.09167, 0.10096, 0.11063, 0.12021, 0.12984, 0.13904, 0.14787, 0.15653, 0.16523, 0.17394, 0.18291, 0.19237, 0.20226, 0.21344, 0.22664, 0.29029, 0.2945, 0.30462, 0.30957, 0.31749, 0.32387, 0.32877, 0.33717]","[0.07982, 0.06315, 0.03825, 0.03217, 0.02774, 0.02302, 0.02066, 0.01874, 0.01687, 0.01582, 0.01492, 0.01383, 0.01305, 0.01233, 0.01151, 0.01081, 0.01025, 0.00963, 0.00916, 0.00877, 0.00841, 0.00809, 0.00784, 0.00764, 0.00747, 0.00731, 0.0072, 0.00712, 0.00706, 0.00699, 0.00689, 0.00651, 0.00607, 0.00615, 0.00637, 0.00662, 0.0069, 0.00724, 0.00763, 0.00805, 0.00865, 0.00943, 0.01044, 0.01171, 0.01275, 0.01367, 0.01449, 0.01536, 0.01626, 0.01726, 0.01827, 0.01952, 0.02106, 0.02291, 0.02511, 0.02747, 0.03048, 0.03435, 0.03791, 0.04219, 0.04723, 0.05297, 0.05941, 0.0666, 0.07439, 0.0828, 0.09168, 0.10096, 0.11063, 0.12021, 0.12984, 0.13904, 0.14787, 0.15653, 0.16523, 0.17394, 0.18291, 0.19236, 0.20226, 0.21344, 0.22664, 0.2903, 0.2945, 0.30462, 0.30958, 0.31748, 0.32387, 0.32877, 0.33717]","[0.07982, 0.06315, 0.03825, 0.03217, 0.02774, 0.11863, 0.11391, 0.01687, 0.01582, 0.01492, 0.01383, 0.01305, 0.01233, 0.01151, 0.01081, 0.01025, 0.00963, 0.00916, 0.00877, 0.00841, 0.00809, 0.00784, 0.00764, 0.00747, 0.00731, 0.0072, 0.00712, 0.00706, 0.00699, 0.00689, 0.00651, 0.00607, 0.00615, 0.00637, 0.00662, 0.0069, 0.00724, 0.00763, 0.00805, 0.00865, 0.00943, 0.01044, 0.01171, 0.01275, 0.01367, 0.01449, 0.01536, 0.01626, 0.01726, 0.01827, 0.01952, 0.02106, 0.02291, 0.02511, 0.02747, 0.03048, 0.03435, 0.03791, 0.0422, 0.04723, 0.05297, 0.05941, 0.0666, 0.07439, 0.0828, 0.09168, 0.10096, 0.11063, 0.12021, 0.12984, 0.13904, 0.14787, 0.15653, 0.16523, 0.17394, 0.18291, 0.19236, 0.20226, 0.21344, 0.22664]"
cdp,"[0.2876, 0.28199, 0.27049, 0.26615, 0.26127, 0.25521, 0.24934, 0.24523, 0.24076, 0.23588, 0.22903, 0.22502, 0.22089, 0.21644, 0.21125, 0.20505, 0.20117, 0.19723, 0.19304, 0.18852, 0.18203, 0.17835, 0.17471, 0.17083, 0.16487, 0.16076, 0.07728, 0.06043, 0.03516, 0.02882, 0.02402, 0.01894, 0.01638, 0.01426, 0.01219, 0.01106, 0.01003, 0.00885, 0.00798, 0.00714, 0.0062, 0.00543, 0.00477, 0.00409, 0.00355, 0.00312, 0.00273, 0.0024, 0.00214, 0.0019, 0.00172, 0.00158, 0.00147, 0.00141, 0.00138, 0.0014, 0.00144, 0.00156, 0.00175, 0.00185, 0.00194, 0.0021, 0.00226, 0.00245, 0.00268, 0.00296, 0.00334, 0.00384, 0.0045, 0.00537, 0.00616, 0.00693, 0.00768, 0.00852, 0.00939, 0.01042, 0.01147, 0.01275, 0.01435, 0.01629, 0.0186, 0.02108, 0.02421, 0.02822, 0.03193, 0.03638, 0.04158, 0.04749, 0.05411, 0.06147, 0.06945, 0.07804, 0.08709, 0.09655, 0.1064, 0.11614, 0.12592, 0.13526, 0.14424, 0.15305, 0.1619, 0.17077, 0.1799, 0.18953, 0.1996, 0.21099, 0.22441]","[0.34221, 0.33708, 0.32975, 0.32426, 0.31998, 0.31519, 0.30991, 0.30206, 0.29658, 0.29199, 0.28697, 0.28151, 0.27274, 0.26792, 0.263, 0.25765, 0.25179, 0.24275, 0.23704, 0.23199, 0.22655, 0.22068, 0.21371, 0.20467, 0.19964, 0.19417, 0.18817, 0.07729, 0.06044, 0.03514, 0.02882, 0.02403, 0.01894, 0.01638, 0.01426, 0.01219, 0.01106, 0.01003, 0.00884, 0.00798, 0.00714, 0.0062, 0.00543, 0.00477, 0.00409, 0.00355, 0.00312, 0.00273, 0.0024, 0.00214, 0.0019, 0.00172, 0.00158, 0.00141, 0.00138, 0.0014, 0.00144, 0.00156, 0.00175, 0.00185, 0.0021, 0.00226, 0.00245, 0.00268, 0.00296, 0.00334, 0.00384, 0.0045, 0.00537, 0.00616, 0.00693, 0.00768, 0.00852, 0.00939, 0.01042, 0.01147, 0.01275, 0.01435, 0.01629, 0.0186, 0.02108, 0.02421, 0.02822, 0.03193, 0.03637, 0.04158, 0.04749, 0.0541, 0.06146, 0.06944, 0.07803, 0.08709, 0.09655, 0.1064, 0.11614, 0.12592, 0.13526, 0.14424, 0.15306, 0.1619, 0.17077, 0.1799, 0.18953, 0.1996, 0.21099, 0.22442, 0.28897, 0.29319, 0.30333, 0.3083, 0.31623, 0.32263, 0.32755, 0.33597]","[0.07728, 0.06043, 0.03516, 0.02882, 0.02402, 0.01894, 0.01638, 0.01426, 0.01219, 0.01106, 0.01003, 0.00885, 0.00798, 0.00714, 0.0062, 0.00543, 0.00477, 0.00409, 0.00355, 0.00312, 0.00273, 0.0024, 0.00214, 0.0019, 0.00172, 0.00158, 0.00147, 0.00141, 0.00138, 0.0014, 0.00144, 0.00156, 0.00175, 0.00185, 0.00196, 0.0021, 0.00226, 0.00245, 0.00268, 0.00296, 0.00334, 0.00384, 0.0045, 0.00537, 0.00616, 0.00693, 0.00768, 0.00852, 0.00939, 0.01042, 0.01147, 0.01275, 0.01435, 0.01629, 0.0186, 0.02108, 0.02421, 0.02822, 0.03193, 0.03638, 0.04158, 0.04749, 0.05411, 0.06147, 0.06945, 0.07804, 0.08709, 0.09655, 0.1064, 0.11614, 0.12592, 0.13526, 0.14424, 0.15305, 0.1619, 0.17077, 0.1799, 0.18953, 0.1996, 0.21099, 0.22441, 0.28898, 0.29319, 0.30333, 0.3083, 0.31623, 0.32263, 0.32755, 0.33596]","[0.07728, 0.06043, 0.03516, 0.02883, 0.02402, 0.11679, 0.11208, 0.01219, 0.01106, 0.01003, 0.00885, 0.00798, 0.00714, 0.0062, 0.00543, 0.00477, 0.00409, 0.00355, 0.00312, 0.00273, 0.0024, 0.00214, 0.0019, 0.00172, 0.00158, 0.00147, 0.00141, 0.00138, 0.0014, 0.00144, 0.00156, 0.00175, 0.00185, 0.00196, 0.0021, 0.00226, 0.00245, 0.00268, 0.00296, 0.00334, 0.00384, 0.0045, 0.00537, 0.00616, 0.00693, 0.00768, 0.00852, 0.00939, 0.01042, 0.01147, 0.01275, 0.01435, 0.01629, 0.0186, 0.02108, 0.02421, 0.02822, 0.03193, 0.03638, 0.04158, 0.04749, 0.05411, 0.06147, 0.06945, 0.07804, 0.08709, 0.09655, 0.1064, 0.11614, 0.12592, 0.13526, 0.14424, 0.15305, 0.1619, 0.17077, 0.1799, 0.18953, 0.1996, 0.21099, 0.22441]"
cm,"[0.039, 0.036, 0.0302, 0.0271, 0.0242, 0.0213, 0.0183, 0.0155, 0.0126, 0.0097, 0.0065, 0.0041, 0.0014, -0.0013, -0.0041, -0.0073, -0.0094, -0.0119, -0.0144, -0.0168, -0.0204, -0.022, -0.024, -0.0261, -0.0292, -0.0309, -0.0591, -0.07, -0.0917, -0.0856, -0.0898, -0.0941, -0.0961, -0.0988, -0.1019, -0.1041, -0.1055, -0.1072, -0.1068, -0.1062, -0.1055, -0.1049, -0.1046, -0.1043, -0.104, -0.1038, -0.1037, -0.1036, -0.1035, -0.1034, -0.1032, -0.1032, -0.103, -0.1029, -0.1027, -0.1025, -0.1023, -0.1018, -0.0997, -0.1019, -0.1015, -0.101, -0.1006, -0.1001, -0.0995, -0.0988, -0.0979, -0.0965, -0.0947, -0.0923, -0.0902, -0.0881, -0.0861, -0.0837, -0.0805, -0.0771, -0.0739, -0.0705, -0.0668, -0.063, -0.0592, -0.056, -0.0527, -0.0496, -0.0476, -0.0458, -0.0446, -0.0439, -0.0438, -0.0442, -0.0452, -0.0467, -0.0486, -0.051, -0.054, -0.0573, -0.0612, -0.0652, -0.0695, -0.0741, -0.0792, -0.0847, -0.0907, -0.0974, -0.1046, -0.1132, -0.1234]","[0.1071, 0.102, 0.0964, 0.0914, 0.0865, 0.0816, 0.0767, 0.0711, 0.0665, 0.062, 0.0574, 0.0528, 0.0468, 0.0432, 0.039, 0.0348, 0.0304, 0.0244, 0.021, 0.0175, 0.0137, 0.0099, 0.0058, 0.0006, -0.0021, -0.0052, -0.0086, -0.0591, -0.07, -0.0917, -0.0856, -0.0898, -0.0941, -0.0961, -0.0988, -0.1019, -0.1041, -0.1055, -0.1072, -0.1068, -0.1062, -0.1055, -0.1049, -0.1046, -0.1043, -0.104, -0.1038, -0.1037, -0.1036, -0.1035, -0.1034, -0.1032, -0.1032, -0.1029, -0.1027, -0.1025, -0.1023, -0.1018, -0.0997, -0.1019, -0.101, -0.1006, -0.1001, -0.0995, -0.0988, -0.0979, -0.0965, -0.0947, -0.0923, -0.0902, -0.0881, -0.0861, -0.0837, -0.0805, -0.0771, -0.0739, -0.0705, -0.0668, -0.063, -0.0592, -0.056, -0.0527, -0.0496, -0.0476, -0.0458, -0.0446, -0.0439, -0.0438, -0.0442, -0.0452, -0.0467, -0.0486, -0.051, -0.054, -0.0573, -0.0612, -0.0652, -0.0695, -0.0741, -0.0792, -0.0847, -0.0907, -0.0974, -0.1046, -0.1132, -0.1234, -0.1081, -0.1101, -0.1132, -0.1156, -0.1181, -0.1206, -0.1229, -0.1255]","[-0.0591, -0.07, -0.0917, -0.0856, -0.0898, -0.0941, -0.0961, -0.0988, -0.1019, -0.1041, -0.1055, -0.1072, -0.1068, -0.1062, -0.1055, -0.1049, -0.1046, -0.1043, -0.104, -0.1038, -0.1037, -0.1036, -0.1035, -0.1034, -0.1032, -0.1032, -0.103, -0.1029, -0.1027, -0.1025, -0.1023, -0.1018, -0.0997, -0.1019, -0.1015, -0.101, -0.1006, -0.1001, -0.0995, -0.0988, -0.0979, -0.0965, -0.0947, -0.0923, -0.0902, -0.0881, -0.0861, -0.0837, -0.0805, -0.0771, -0.0739, -0.0705, -0.0668, -0.063, -0.0592, -0.056, -0.0527, -0.0496, -0.0476, -0.0458, -0.0446, -0.0439, -0.0438, -0.0442, -0.0452, -0.0467, -0.0486, -0.051, -0.054, -0.0573, -0.0612, -0.0652, -0.0695, -0.0741, -0.0792, -0.0847, -0.0907, -0.0974, -0.1046, -0.1132, -0.1234, -0.1081, -0.1101, -0.1132, -0.1156, -0.1181, -0.1206, -0.1229, -0.1255]","[-0.0591, -0.07, -0.0917, -0.0856, -0.0898, -0.0392, -0.0408, -0.1019, -0.1041, -0.1055, -0.1072, -0.1068, -0.1062, -0.1055, -0.1049, -0.1046, -0.1043, -0.104, -0.1038, -0.1037, -0.1036, -0.1035, -0.1034, -0.1032, -0.1032, -0.103, -0.1029, -0.1027, -0.1025, -0.1023, -0.1018, -0.0997, -0.1019, -0.1015, -0.101, -0.1006, -0.1001, -0.0995, -0.0988, -0.0979, -0.0965, -0.0947, -0.0923, -0.0902, -0.0881, -0.0861, -0.0837, -0.0805, -0.0771, -0.0739, -0.0705, -0.0668, -0.063, -0.0592, -0.056, -0.0527, -0.0496, -0.0476, -0.0458, -0.0446, -0.0439, -0.0438, -0.0442, -0.0452, -0.0467, -0.0486, -0.051, -0.054, -0.0573, -0.0612, -0.0652, -0.0695, -0.0741, -0.0792, -0.0847, -0.0907, -0.0974, -0.1046, -0.1132, -0.1234]"
