,0,1,2,3
mach,0.0,0.0,0.0,0.0
reynolds,1000100,1000000,999999,999990
cl_max_2d,3.8092,3.8092,3.8092,3.8092
cl_min_2d,-2.9448,-2.9448,-2.9448,-2.9448
alpha,"[-30.0, -29.5, -29.0, -28.5, -28.0, -27.5, -27.0, -26.5, -26.0, -25.5, -25.0, -24.5, -24.0, -23.5, -23.0, -22.5, -22.0, -21.5, -21.0, -20.5, -20.0, -19.5, -19.0, -18.5, -18.0, -17.5, -17.0, -16.5, -16.0, -15.5, -15.0, -14.5, -14.0, -13.5, -13.0, -12.5, -12.0, -11.5, -11.0, -10.5, -10.0, -9.5, -9.0, -8.5, -8.0, -7.5, -7.0, -6.5, -6.0, -5.5, -5.0, -4.5, -4.0, -3.5, -3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0, 4.5, 5.0, 5.5, 6.0, 6.5, 7.0, 7.5, 8.0, 8.5, 9.0, 9.5, 10.0, 10.5, 11.0, 11.5, 12.0, 12.5, 13.0, 13.5, 14.0, 14.5, 15.0, 15.5, 16.0, 16.5, 17.0, 17.5, 18.0, 18.5, 19.0, 19.5, 20.0, 20.5, 21.0, 21.5, 22.0, 22.5, 23.0, 23.5, 24.0, 24.5, 25.0, 25.5, 26.0, 26.5, 27.0, 27.5, 28.0, 28.5, 29.0, 29.5, 30.0]","[-30.0, -29.5, -29.0, -28.5, -28.0, -27.5, -27.0, -26.5, -26.0, -25.5, -25.0, -24.5, -24.0, -23.5, -23.0, -22.5, -22.0, -21.5, -21.0, -20.5, -20.0, -19.5, -19.0, -18.5, -18.0, -17.5, -17.0, -16.5, -16.0, -15.5, -15.0, -14.5, -14.0, -13.5, -13.0, -12.5, -12.0, -11.5, -11.0, -10.5, -10.0, -9.5, -9.0, -8.5, -8.0, -7.5, -7.0, -6.5, -6.0, -5.5, -5.0, -4.5, -4.0, -3.5, -3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0, 4.5, 5.0, 5.5, 6.0, 6.5, 7.0, 7.5, 8.0, 8.5, 9.0, 9.5, 10.0, 10.5, 11.0, 11.5, 12.0, 12.5, 13.0, 13.5, 14.0, 14.5, 15.0, 15.5, 16.0, 16.5, 17.0, 17.5, 18.0, 18.5, 19.0, 19.5, 20.0, 20.5, 21.0, 21.5, 22.0, 22.5, 23.0, 23.5, 24.0, 24.5, 25.0, 25.5, 26.0, 26.5, 27.0, 27.5, 28.0, 28.5, 29.0, 29.5, 30.0]","[-30.0, -29.5, -29.0, -28.5, -28.0, -27.5, -27.0, -26.5, -26.0, -25.5, -25.0, -24.5, -24.0, -23.5, -23.0, -22.5, -22.0, -21.5, -21.0, -20.5, -20.0, -19.5, -19.0, -18.5, -18.0, -17.5, -17.0, -16.5, -16.0, -15.5, -15.0, -14.5, -14.0, -13.5, -13.0, -12.5, -12.0, -11.5, -11.0, -10.5, -10.0, -9.5, -9.0, -8.5, -8.0, -7.5, -7.0, -6.5, -6.0, -5.5, -5.0, -4.5, -4.0, -3.5, -3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0, 4.5, 5.0, 5.5, 6.0, 6.5, 7.0, 7.5, 8.0, 8.5, 9.0, 9.5, 10.0, 10.5, 11.0, 11.5, 12.0, 12.5, 13.0, 13.5, 14.0, 14.5, 15.0, 15.5, 16.0, 16.5, 17.0, 17.5, 18.0, 18.5, 19.0, 19.5, 20.0, 20.5, 21.0, 21.5, 22.0, 22.5, 23.0, 23.5, 24.0, 24.5, 25.0, 25.5, 26.0, 26.5, 27.0, 27.5, 28.0, 28.5, 29.0, 29.5, 30.0]","[-30.0, -29.5, -29.0, -28.5, -28.0, -27.5, -27.0, -26.5, -26.0, -25.5, -25.0, -24.5, -24.0, -23.5, -23.0, -22.5, -22.0, -21.5, -21.0, -20.5, -20.0, -19.5, -19.0, -18.5, -18.0, -17.5, -17.0, -16.5, -16.0, -15.5, -15.0, -14.5, -14.0, -13.5, -13.0, -12.5, -12.0, -11.5, -11.0, -10.5, -10.0, -9.5, -9.0, -8.5, -8.0, -7.5, -7.0, -6.5, -6.0, -5.5, -5.0, -4.5, -4.0, -3.5, -3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0, 4.5, 5.0, 5.5, 6.0, 6.5, 7.0, 7.5, 8.0, 8.5, 9.0, 9.5, 10.0, 10.5, 11.0, 11.5, 12.0, 12.5, 13.0, 13.5, 14.0, 14.5, 15.0, 15.5, 16.0, 16.5, 17.0, 17.5, 18.0, 18.5, 19.0, 19.5, 20.0, 20.5, 21.0, 21.5, 22.0, 22.5, 23.0, 23.5, 24.0, 24.5, 25.0, 25.5, 26.0, 26.5, 27.0, 27.5, 28.0, 28.5, 29.0, 29.5, 30.0]"
cl,"[-2.9448, -2.8914, -2.8378, -2.784, -2.73, -2.6758, -2.6213, -2.5667, -2.5119, -2.4569, -2.4017, -2.3464, -2.2908, -2.2351, -2.1792, -2.1231, -2.0669, -2.0105, -1.954, -1.8973, -1.8405, -1.7836, -1.7265, -1.6693, -1.6119, -1.5545, -1.4969, -1.4392, -1.3814, -1.3235, -1.2655, -1.2074, -1.1492, -1.0909, -1.0325, -0.9741, -0.9156, -0.857, -0.7983, -0.7396, -0.6808, -0.622, -0.5632, -0.5043, -0.4453, -0.3863, -0.3273, -0.2683, -0.2093, -0.1502, -0.0911, -0.032, 0.027, 0.0861, 0.1452, 0.2043, 0.2633, 0.3223, 0.3813, 0.4403, 0.4993, 0.5582, 0.617, 0.6758, 0.7346, 0.7933, 0.8519, 0.9105, 0.969, 1.0275, 1.0858, 1.1441, 1.2023, 1.2604, 1.3184, 1.3763, 1.4341, 1.4918, 1.5494, 1.6068, 1.6641, 1.7214, 1.7784, 1.8354, 1.8922, 1.9489, 2.0054, 2.0617, 2.1179, 2.174, 2.2299, 2.2856, 2.3411, 2.3965, 2.4517, 2.5067, 2.5615, 2.6161, 2.6705, 2.7247, 2.7787, 2.8325, 2.8861, 2.9394, 2.9926, 3.0455, 3.0981, 3.1506, 3.2028, 3.2548, 3.3065, 3.3579, 3.4092, 3.4601, 3.5108, 3.5612, 3.6114, 3.6613, 3.7109, 3.7602, 3.8092]","[-2.9448, -2.8914, -2.8378, -2.784, -2.73, -2.6758, -2.6213, -2.5667, -2.5119, -2.4569, -2.4017, -2.3464, -2.2908, -2.2351, -2.1792, -2.1231, -2.0669, -2.0105, -1.954, -1.8973, -1.8405, -1.7836, -1.7265, -1.6693, -1.6119, -1.5545, -1.4969, -1.4392, -1.3814, -1.3235, -1.2655, -1.2074, -1.1492, -1.0909, -1.0325, -0.9741, -0.9156, -0.857, -0.7983, -0.7396, -0.6808, -0.622, -0.5632, -0.5043, -0.4453, -0.3863, -0.3273, -0.2683, -0.2093, -0.1502, -0.0911, -0.032, 0.027, 0.0861, 0.1452, 0.2043, 0.2633, 0.3223, 0.3813, 0.4403, 0.4993, 0.5582, 0.617, 0.6758, 0.7346, 0.7933, 0.8519, 0.9105, 0.969, 1.0275, 1.0858, 1.1441, 1.2023, 1.2604, 1.3184, 1.3763, 1.4341, 1.4918, 1.5494, 1.6068, 1.6641, 1.7214, 1.7784, 1.8354, 1.8922, 1.9489, 2.0054, 2.0617, 2.1179, 2.174, 2.2299, 2.2856, 2.3411, 2.3965, 2.4517, 2.5067, 2.5615, 2.6161, 2.6705, 2.7247, 2.7787, 2.8325, 2.8861, 2.9394, 2.9926, 3.0455, 3.0981, 3.1506, 3.2028, 3.2548, 3.3065, 3.3579, 3.4092, 3.4601, 3.5108, 3.5612, 3.6114, 3.6613, 3.7109, 3.7602, 3.8092]","[-2.9448, -2.8914, -2.8378, -2.784, -2.73, -2.6758, -2.6213, -2.5667, -2.5119, -2.4569, -2.4017, -2.3464, -2.2908, -2.2351, -2.1792, -2.1231, -2.0669, -2.0105, -1.954, -1.8973, -1.8405, -1.7836, -1.7265, -1.6693, -1.6119, -1.5545, -1.4969, -1.4392, -1.3814, -1.3235, -1.2655, -1.2074, -1.1492, -1.0909, -1.0325, -0.9741, -0.9156, -0.857, -0.7983, -0.7396, -0.6808, -0.622, -0.5632, -0.5043, -0.4453, -0.3863, -0.3273, -0.2683, -0.2093, -0.1502, -0.0911, -0.032, 0.027, 0.0861, 0.1452, 0.2043, 0.2633, 0.3223, 0.3813, 0.4403, 0.4993, 0.5582, 0.617, 0.6758, 0.7346, 0.7933, 0.8519, 0.9105, 0.969, 1.0275, 1.0858, 1.1441, 1.2023, 1.2604, 1.3184, 1.3763, 1.4341, 1.4918, 1.5494, 1.6068, 1.6641, 1.7214, 1.7784, 1.8354, 1.8922, 1.9489, 2.0054, 2.0617, 2.1179, 2.174, 2.2299, 2.2856, 2.3411, 2.3965, 2.4517, 2.5067, 2.5615, 2.6161, 2.6705, 2.7247, 2.7787, 2.8325, 2.8861, 2.9394, 2.9926, 3.0455, 3.0981, 3.1506, 3.2028, 3.2548, 3.3065, 3.3579, 3.4092, 3.4601, 3.5108, 3.5612, 3.6114, 3.6613, 3.7109, 3.7602, 3.8092]","[-2.9448, -2.8914, -2.8378, -2.784, -2.73, -2.6758, -2.6213, -2.5667, -2.5119, -2.4569, -2.4017, -2.3464, -2.2908, -2.2351, -2.1792, -2.1231, -2.0669, -2.0105, -1.954, -1.8973, -1.8405, -1.7836, -1.7265, -1.6693, -1.6119, -1.5545, -1.4969, -1.4392, -1.3814, -1.3235, -1.2655, -1.2074, -1.1492, -1.0909, -1.0325, -0.9741, -0.9156, -0.857, -0.7983, -0.7396, -0.6808, -0.622, -0.5632, -0.5043, -0.4453, -0.3863, -0.3273, -0.2683, -0.2093, -0.1502, -0.0911, -0.032, 0.027, 0.0861, 0.1452, 0.2043, 0.2633, 0.3223, 0.3813, 0.4403, 0.4993, 0.5582, 0.617, 0.6758, 0.7346, 0.7933, 0.8519, 0.9105, 0.969, 1.0275, 1.0858, 1.1441, 1.2023, 1.2604, 1.3184, 1.3763, 1.4341, 1.4918, 1.5494, 1.6068, 1.6641, 1.7214, 1.7784, 1.8354, 1.8922, 1.9489, 2.0054, 2.0617, 2.1179, 2.174, 2.2299, 2.2856, 2.3411, 2.3965, 2.4517, 2.5067, 2.5615, 2.6161, 2.6705, 2.7247, 2.7787, 2.8325, 2.8861, 2.9394, 2.9926, 3.0455, 3.0981, 3.1506, 3.2028, 3.2548, 3.3065, 3.3579, 3.4092, 3.4601, 3.5108, 3.5612, 3.6114, 3.6613, 3.7109, 3.7602, 3.8092]"
cd,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
cdp,"[-0.00237, -0.00233, -0.00229, -0.00226, -0.00222, -0.00218, -0.00214, -0.00211, -0.00207, -0.00203, -0.002, -0.00196, -0.00192, -0.00188, -0.00185, -0.00181, -0.00178, -0.00174, -0.0017, -0.00167, -0.00163, -0.0016, -0.00157, -0.00153, -0.0015, -0.00147, -0.00144, -0.0014, -0.00137, -0.00134, -0.00132, -0.00129, -0.00126, -0.00123, -0.00121, -0.00118, -0.00116, -0.00113, -0.00111, -0.00109, -0.00107, -0.00105, -0.00103, -0.00101, -0.001, -0.00098, -0.00097, -0.00095, -0.00094, -0.00093, -0.00092, -0.00091, -0.0009, -0.0009, -0.00089, -0.00089, -0.00088, -0.00088, -0.00088, -0.00088, -0.00088, -0.00089, -0.00089, -0.00089, -0.0009, -0.00091, -0.00092, -0.00093, -0.00094, -0.00095, -0.00097, -0.00098, -0.001, -0.00101, -0.00103, -0.00105, -0.00107, -0.00109, -0.00112, -0.00114, -0.00117, -0.00119, -0.00122, -0.00125, -0.00128, -0.00131, -0.00134, -0.00137, -0.0014, -0.00144, -0.00147, -0.00151, -0.00154, -0.00158, -0.00162, -0.00166, -0.0017, -0.00174, -0.00178, -0.00182, -0.00186, -0.0019, -0.00195, -0.00199, -0.00204, -0.00208, -0.00213, -0.00217, -0.00222, -0.00226, -0.00231, -0.00236, -0.0024, -0.00245, -0.0025, -0.00255, -0.00259, -0.00264, -0.00269, -0.00274, -0.00278]","[-0.00237, -0.00233, -0.00229, -0.00226, -0.00222, -0.00218, -0.00214, -0.00211, -0.00207, -0.00203, -0.002, -0.00196, -0.00192, -0.00188, -0.00185, -0.00181, -0.00178, -0.00174, -0.0017, -0.00167, -0.00163, -0.0016, -0.00157, -0.00153, -0.0015, -0.00147, -0.00144, -0.0014, -0.00137, -0.00134, -0.00132, -0.00129, -0.00126, -0.00123, -0.00121, -0.00118, -0.00116, -0.00113, -0.00111, -0.00109, -0.00107, -0.00105, -0.00103, -0.00101, -0.001, -0.00098, -0.00097, -0.00095, -0.00094, -0.00093, -0.00092, -0.00091, -0.0009, -0.0009, -0.00089, -0.00089, -0.00088, -0.00088, -0.00088, -0.00088, -0.00088, -0.00089, -0.00089, -0.00089, -0.0009, -0.00091, -0.00092, -0.00093, -0.00094, -0.00095, -0.00097, -0.00098, -0.001, -0.00101, -0.00103, -0.00105, -0.00107, -0.00109, -0.00112, -0.00114, -0.00117, -0.00119, -0.00122, -0.00125, -0.00128, -0.00131, -0.00134, -0.00137, -0.0014, -0.00144, -0.00147, -0.00151, -0.00154, -0.00158, -0.00162, -0.00166, -0.0017, -0.00174, -0.00178, -0.00182, -0.00186, -0.0019, -0.00195, -0.00199, -0.00204, -0.00208, -0.00213, -0.00217, -0.00222, -0.00226, -0.00231, -0.00236, -0.0024, -0.00245, -0.0025, -0.00255, -0.00259, -0.00264, -0.00269, -0.00274, -0.00278]","[-0.00237, -0.00233, -0.00229, -0.00226, -0.00222, -0.00218, -0.00214, -0.00211, -0.00207, -0.00203, -0.002, -0.00196, -0.00192, -0.00188, -0.00185, -0.00181, -0.00178, -0.00174, -0.0017, -0.00167, -0.00163, -0.0016, -0.00157, -0.00153, -0.0015, -0.00147, -0.00144, -0.0014, -0.00137, -0.00134, -0.00132, -0.00129, -0.00126, -0.00123, -0.00121, -0.00118, -0.00116, -0.00113, -0.00111, -0.00109, -0.00107, -0.00105, -0.00103, -0.00101, -0.001, -0.00098, -0.00097, -0.00095, -0.00094, -0.00093, -0.00092, -0.00091, -0.0009, -0.0009, -0.00089, -0.00089, -0.00088, -0.00088, -0.00088, -0.00088, -0.00088, -0.00089, -0.00089, -0.00089, -0.0009, -0.00091, -0.00092, -0.00093, -0.00094, -0.00095, -0.00097, -0.00098, -0.001, -0.00101, -0.00103, -0.00105, -0.00107, -0.00109, -0.00112, -0.00114, -0.00117, -0.00119, -0.00122, -0.00125, -0.00128, -0.00131, -0.00134, -0.00137, -0.0014, -0.00144, -0.00147, -0.00151, -0.00154, -0.00158, -0.00162, -0.00166, -0.0017, -0.00174, -0.00178, -0.00182, -0.00186, -0.0019, -0.00195, -0.00199, -0.00204, -0.00208, -0.00213, -0.00217, -0.00222, -0.00226, -0.00231, -0.00236, -0.0024, -0.00245, -0.0025, -0.00255, -0.00259, -0.00264, -0.00269, -0.00274, -0.00278]","[-0.00237, -0.00233, -0.00229, -0.00226, -0.00222, -0.00218, -0.00214, -0.00211, -0.00207, -0.00203, -0.002, -0.00196, -0.00192, -0.00188, -0.00185, -0.00181, -0.00178, -0.00174, -0.0017, -0.00167, -0.00163, -0.0016, -0.00157, -0.00153, -0.0015, -0.00147, -0.00144, -0.0014, -0.00137, -0.00134, -0.00132, -0.00129, -0.00126, -0.00123, -0.00121, -0.00118, -0.00116, -0.00113, -0.00111, -0.00109, -0.00107, -0.00105, -0.00103, -0.00101, -0.001, -0.00098, -0.00097, -0.00095, -0.00094, -0.00093, -0.00092, -0.00091, -0.0009, -0.0009, -0.00089, -0.00089, -0.00088, -0.00088, -0.00088, -0.00088, -0.00088, -0.00089, -0.00089, -0.00089, -0.0009, -0.00091, -0.00092, -0.00093, -0.00094, -0.00095, -0.00097, -0.00098, -0.001, -0.00101, -0.00103, -0.00105, -0.00107, -0.00109, -0.00112, -0.00114, -0.00117, -0.00119, -0.00122, -0.00125, -0.00128, -0.00131, -0.00134, -0.00137, -0.0014, -0.00144, -0.00147, -0.00151, -0.00154, -0.00158, -0.00162, -0.00166, -0.0017, -0.00174, -0.00178, -0.00182, -0.00186, -0.0019, -0.00195, -0.00199, -0.00204, -0.00208, -0.00213, -0.00217, -0.00222, -0.00226, -0.00231, -0.00236, -0.0024, -0.00245, -0.0025, -0.00255, -0.00259, -0.00264, -0.00269, -0.00274, -0.00278]"
cm,"[-0.093, -0.093, -0.0929, -0.0928, -0.0928, -0.0927, -0.0927, -0.0927, -0.0927, -0.0927, -0.0928, -0.0928, -0.0929, -0.0929, -0.093, -0.0931, -0.0932, -0.0933, -0.0935, -0.0936, -0.0938, -0.0939, -0.0941, -0.0943, -0.0945, -0.0947, -0.0949, -0.0952, -0.0954, -0.0957, -0.096, -0.0963, -0.0966, -0.0969, -0.0972, -0.0975, -0.0979, -0.0982, -0.0986, -0.0989, -0.0993, -0.0997, -0.1001, -0.1006, -0.101, -0.1014, -0.1019, -0.1023, -0.1028, -0.1033, -0.1038, -0.1042, -0.1048, -0.1053, -0.1058, -0.1063, -0.1069, -0.1074, -0.108, -0.1085, -0.1091, -0.1097, -0.1103, -0.1108, -0.1114, -0.1121, -0.1127, -0.1133, -0.1139, -0.1145, -0.1152, -0.1158, -0.1165, -0.1171, -0.1178, -0.1185, -0.1191, -0.1198, -0.1205, -0.1212, -0.1218, -0.1225, -0.1232, -0.1239, -0.1246, -0.1253, -0.126, -0.1267, -0.1275, -0.1282, -0.1289, -0.1296, -0.1303, -0.131, -0.1318, -0.1325, -0.1332, -0.1339, -0.1346, -0.1353, -0.1361, -0.1368, -0.1375, -0.1382, -0.1389, -0.1397, -0.1404, -0.1411, -0.1418, -0.1425, -0.1432, -0.1439, -0.1446, -0.1453, -0.146, -0.1467, -0.1473, -0.148, -0.1487, -0.1494, -0.15]","[-0.093, -0.093, -0.0929, -0.0928, -0.0928, -0.0927, -0.0927, -0.0927, -0.0927, -0.0927, -0.0928, -0.0928, -0.0929, -0.0929, -0.093, -0.0931, -0.0932, -0.0933, -0.0935, -0.0936, -0.0938, -0.0939, -0.0941, -0.0943, -0.0945, -0.0947, -0.0949, -0.0952, -0.0954, -0.0957, -0.096, -0.0963, -0.0966, -0.0969, -0.0972, -0.0975, -0.0979, -0.0982, -0.0986, -0.0989, -0.0993, -0.0997, -0.1001, -0.1006, -0.101, -0.1014, -0.1019, -0.1023, -0.1028, -0.1033, -0.1038, -0.1042, -0.1048, -0.1053, -0.1058, -0.1063, -0.1069, -0.1074, -0.108, -0.1085, -0.1091, -0.1097, -0.1103, -0.1108, -0.1114, -0.1121, -0.1127, -0.1133, -0.1139, -0.1145, -0.1152, -0.1158, -0.1165, -0.1171, -0.1178, -0.1185, -0.1191, -0.1198, -0.1205, -0.1212, -0.1218, -0.1225, -0.1232, -0.1239, -0.1246, -0.1253, -0.126, -0.1267, -0.1275, -0.1282, -0.1289, -0.1296, -0.1303, -0.131, -0.1318, -0.1325, -0.1332, -0.1339, -0.1346, -0.1353, -0.1361, -0.1368, -0.1375, -0.1382, -0.1389, -0.1397, -0.1404, -0.1411, -0.1418, -0.1425, -0.1432, -0.1439, -0.1446, -0.1453, -0.146, -0.1467, -0.1473, -0.148, -0.1487, -0.1494, -0.15]","[-0.093, -0.093, -0.0929, -0.0928, -0.0928, -0.0927, -0.0927, -0.0927, -0.0927, -0.0927, -0.0928, -0.0928, -0.0929, -0.0929, -0.093, -0.0931, -0.0932, -0.0933, -0.0935, -0.0936, -0.0938, -0.0939, -0.0941, -0.0943, -0.0945, -0.0947, -0.0949, -0.0952, -0.0954, -0.0957, -0.096, -0.0963, -0.0966, -0.0969, -0.0972, -0.0975, -0.0979, -0.0982, -0.0986, -0.0989, -0.0993, -0.0997, -0.1001, -0.1006, -0.101, -0.1014, -0.1019, -0.1023, -0.1028, -0.1033, -0.1038, -0.1042, -0.1048, -0.1053, -0.1058, -0.1063, -0.1069, -0.1074, -0.108, -0.1085, -0.1091, -0.1097, -0.1103, -0.1108, -0.1114, -0.1121, -0.1127, -0.1133, -0.1139, -0.1145, -0.1152, -0.1158, -0.1165, -0.1171, -0.1178, -0.1185, -0.1191, -0.1198, -0.1205, -0.1212, -0.1218, -0.1225, -0.1232, -0.1239, -0.1246, -0.1253, -0.126, -0.1267, -0.1275, -0.1282, -0.1289, -0.1296, -0.1303, -0.131, -0.1318, -0.1325, -0.1332, -0.1339, -0.1346, -0.1353, -0.1361, -0.1368, -0.1375, -0.1382, -0.1389, -0.1397, -0.1404, -0.1411, -0.1418, -0.1425, -0.1432, -0.1439, -0.1446, -0.1453, -0.146, -0.1467, -0.1473, -0.148, -0.1487, -0.1494, -0.15]","[-0.093, -0.093, -0.0929, -0.0928, -0.0928, -0.0927, -0.0927, -0.0927, -0.0927, -0.0927, -0.0928, -0.0928, -0.0929, -0.0929, -0.093, -0.0931, -0.0932, -0.0933, -0.0935, -0.0936, -0.0938, -0.0939, -0.0941, -0.0943, -0.0945, -0.0947, -0.0949, -0.0952, -0.0954, -0.0957, -0.096, -0.0963, -0.0966, -0.0969, -0.0972, -0.0975, -0.0979, -0.0982, -0.0986, -0.0989, -0.0993, -0.0997, -0.1001, -0.1006, -0.101, -0.1014, -0.1019, -0.1023, -0.1028, -0.1033, -0.1038, -0.1042, -0.1048, -0.1053, -0.1058, -0.1063, -0.1069, -0.1074, -0.108, -0.1085, -0.1091, -0.1097, -0.1103, -0.1108, -0.1114, -0.1121, -0.1127, -0.1133, -0.1139, -0.1145, -0.1152, -0.1158, -0.1165, -0.1171, -0.1178, -0.1185, -0.1191, -0.1198, -0.1205, -0.1212, -0.1218, -0.1225, -0.1232, -0.1239, -0.1246, -0.1253, -0.126, -0.1267, -0.1275, -0.1282, -0.1289, -0.1296, -0.1303, -0.131, -0.1318, -0.1325, -0.1332, -0.1339, -0.1346, -0.1353, -0.1361, -0.1368, -0.1375, -0.1382, -0.1389, -0.1397, -0.1404, -0.1411, -0.1418, -0.1425, -0.1432, -0.1439, -0.1446, -0.1453, -0.146, -0.1467, -0.1473, -0.148, -0.1487, -0.1494, -0.15]"
