,propeller_1 rpm [1/min],propeller_1 shaft_power_in [kW],propeller_1 torque_in [N*m],propeller_1 efficiency [-],propeller_1 advance_ratio [-],motor_1 efficiency [-],motor_1 torque_out [N*m],motor_1 ac_current_rms_in [A],motor_1 ac_voltage_rms_in [V],inverter_1 modulation_index [-],inverter_1 efficiency [-],inverter_1 dc_current_in [A],inverter_1 diode_temperature [degK],inverter_1 IGBT_temperature [degK],inverter_1 casing_temperature [degK],inverter_1 losses_inverter [W],inverter_1 switching_losses_IGBT [W],inverter_1 switching_losses_diode [W],inverter_1 conduction_losses_IGBT [W],inverter_1 conduction_losses_diode [W],dc_sspc_1 dc_current_in [A],dc_sspc_1 efficiency [-],dc_sspc_1 power_losses [W],dc_sspc_1 dc_voltage_out [V],dc_bus_1 dc_voltage [V],dc_sspc_2 dc_current_in [A],dc_sspc_2 efficiency [-],dc_sspc_2 power_losses [W],dc_sspc_2 dc_voltage_out [V],harness_1 dc_current [A],harness_1 cable_temperature [degK],harness_1 conduction_losses [W],dc_sspc_412 dc_current_in [A],dc_sspc_412 efficiency [-],dc_sspc_412 power_losses [W],dc_sspc_412 dc_voltage_out [V],dc_bus_2 dc_voltage [V],dc_sspc_1337 dc_current_in [A],dc_sspc_1337 efficiency [-],dc_sspc_1337 power_losses [W],dc_sspc_1337 dc_voltage_out [V],dc_sspc_1338 dc_current_in [A],dc_sspc_1338 efficiency [-],dc_sspc_1338 power_losses [W],dc_sspc_1338 dc_voltage_out [V],dc_dc_converter_1 efficiency [-],dc_dc_converter_1 duty_cycle [-],dc_dc_converter_1 dc_current_in [A],dc_dc_converter_1 dc_current_out [A],dc_dc_converter_2 efficiency [-],dc_dc_converter_2 duty_cycle [-],dc_dc_converter_2 dc_current_in [A],dc_dc_converter_2 dc_current_out [A],battery_pack_1 c_rate [1/h],battery_pack_1 state_of_charge [percent],battery_pack_1 open_circuit_voltage [V],battery_pack_1 internal_resistance [ohm],battery_pack_1 voltage_out [V],battery_pack_1 efficiency [-],battery_pack_1 relative_capacity [-],battery_pack_2 c_rate [1/h],battery_pack_2 state_of_charge [percent],battery_pack_2 open_circuit_voltage [V],battery_pack_2 internal_resistance [ohm],battery_pack_2 voltage_out [V],battery_pack_2 efficiency [-],battery_pack_2 relative_capacity [-],thrust [N],altitude [m],time_step [s],true_airspeed [m/s],exterior_temperature [degK]
0,2000.0,163.2605993735505,779.5119420733845,0.7766111387959351,1.238643246517262,0.9094215722063128,779.5119420733845,533.9122890913593,336.23755395153125,0.7413620191889204,0.9736237476513618,200.19381349947366,346.0626388526764,365.19174230342605,304.3612614870434,4863.378446113037,475.6506149517182,263.33877484045115,53.51715344793932,18.05653111206427,200.19381349947366,0.9985092152145705,152.39493316856442,509.8671134553275,510.6283504311593,-367.99909959289454,1.0,514.9472400877412,509.2290338549573,814.4060047293639,678.4044942903747,5552.647534235184,814.4060047293639,0.9939827215265695,2522.035276900478,511.5509720825455,514.647750915529,5122.978074796497,0.9635291003530295,99796.24880930048,534.1278750449426,-4510.89753944758,1.0,77374.01761482657,497.4950630217795,0.8092027305602385,0.5588369497990187,8280.791505677706,5122.978074796497,1.1249668428093158,0.41221985731497945,-2611.31164749583,-4510.89753944758,12.35939030698165,100.0,4.12,0.04658934449820123,390.0,0.25342863812346705,0.85,-3.8974800708892983,100.0,4.12,0.04658934449820123,709.2444734530114,1.1260906948172875,1.0,1550.0,0.0,500.0,81.8,288.15
1,2000.0,164.01031093249833,783.091551088375,0.7765896118331534,1.253280839895013,0.9090930789822625,783.091551088375,536.3640760879281,336.3590505954921,0.7414718384989868,0.9736693037187939,200.89361097265095,346.2812019122028,365.40913033896885,304.41269102495716,4878.80730748715,476.76174611303617,264.3716681077091,53.849704576465626,18.151432450647405,200.89361097265095,0.9985039068572968,153.4622187399212,509.8312875440692,510.5951854997927,-360.07129756386973,1.0,492.9992177997729,509.2260143908061,813.5798274954145,676.3814425407528,5523.863001389266,813.5798274954145,0.9939888102369525,2516.920896027649,511.5527831315309,514.6464204255822,5123.327973532996,0.963526609395325,99809.8814164767,534.1278750449413,-4510.547640710906,1.0,77362.01467271417,497.49506302177895,0.7954699809267612,0.5779804824294107,6166.342199154358,5123.327973532996,1.1253941421120053,0.41306653621218126,-2608.6073909538063,-4510.547640710906,9.20349581963337,0.0,3.2350538105639797,0.03727277551543269,390.0,0.5186628104991925,0.85,-3.893443867095233,100.0,4.12,0.04658934449820123,709.1499812982756,1.125974248965961,1.0,1538.888888888889,0.0,500.0,82.76666666666667,288.15
2,2000.0,164.74696465568542,786.6088135301432,0.7764994407835433,1.2679184332727638,0.9087703189438211,786.6088135301432,538.7731599521528,336.47851230967586,0.7415795095812547,0.9737136650584655,201.58170796005476,346.49599572037266,365.622981144535,304.4632617758817,4893.978532764504,477.8544812676348,265.3864441877851,54.17735178576295,18.24481155290106,201.58170796005476,0.9984986872159686,154.5152909020129,509.7962761152362,510.5627905597543,-352.18260946699985,1.0,471.63392503777175,509.223616187256,812.73453639312,674.3268920580845,5494.630295966375,812.73453639312,0.9939950404628601,2511.6935648219464,511.5546891065519,514.6451121811867,5123.672022027194,0.9635241600859739,99823.28699682934,534.1278750449451,-4510.2035922176965,1.0,77350.21332547111,497.49506302177895,0.8175788256485759,0.5461604142803679,-95398.26848880993,5123.672022027194,1.1258864040346954,0.41403306590283,-2605.548689785109,-4510.2035922176965,-142.38547535643275,0.0,3.2350538105639797,0.03727277551543269,750.0,4.535299595944389,1.0,-3.8888786414703125,100.0,4.12,0.04658934449820123,709.0431041364266,1.1258425032496449,1.0,1527.7777777777778,0.0,500.0,83.73333333333333,288.15
3,2000.0,165.47046769506284,790.063286081911,0.776341956701314,1.2825560266505147,0.9084533351860816,790.063286081911,541.1392370424048,336.59591869600234,0.7416850501941077,0.9737568523366077,202.25799691250847,346.7069912043736,365.8332548805401,304.5129654468949,4908.88963406848,478.9286320801599,266.3829819028554,54.5000089849978,18.336649376733476,202.25799691250847,0.9984935570728899,155.55380054051673,509.76205950118856,510.5311455344484,-344.335980957045,1.0,450.852035739726,509.2218079668592,811.8710421173114,672.243905934078,5464.993000471952,811.8710421173114,0.9940014054781826,2506.3592747814387,511.5566867491654,514.6438263868165,5124.0101665037,0.963521752807807,99836.46340891253,534.1278750449468,-4509.865447741751,1.0,77338.61537148448,497.4950630217785,0.8400262681623278,0.5078667666200225,1315452.5152660832,5124.0101665037,1.1264345991325355,0.4151002111205683,-2601.79223777128,-4509.865447741751,1963.361963083706,100.0,4.12,0.04658934449820123,390.0,-116.86248243222472,0.85,-3.883271996673552,100.0,4.12,0.04658934449820123,708.911846158704,1.1256806493522158,1.0,1516.6666666666667,0.0,500.0,84.7,288.15
4,2000.0,166.18072712801768,793.4545250708833,0.7761184353620565,1.2971936200282657,0.9081421704605371,793.4545250708833,543.4620034732077,336.7112495110083,0.7417884717061889,0.9737988854085465,202.92236884802145,346.91415931004195,366.03991175637094,304.5617937535068,4923.538126052031,479.98401053725695,267.3611599148939,54.8175901139905,18.426927109197184,202.92236884802145,0.9984885172325375,156.5773972792386,509.72862239908267,510.5002347066273,-336.53496302701234,1.0,430.65510854380074,509.2205605097171,810.990289091953,670.1355626846216,5434.994916870883,810.990289091953,0.9940078983075233,2500.924209328012,511.5587726759445,514.6425632502167,5124.342352613965,0.9635193879478106,99849.40848918125,534.1278750460312,-4509.533261916502,1.0,77327.22263885972,497.4950630217792,0.7954390357665357,0.5779804824299084,133215049.97200862,5124.342352613965,1.1269834271702182,0.4161615946609119,-2595.8398841498397,-4509.533261916502,198828.4327940427,0.0,3.2350538105639797,0.03727277551543269,390.0,-9547.682906795815,0.85,-3.8743878867908053,100.0,4.12,0.04658934449820123,708.7038589686208,1.1254240580797465,1.0,1505.5555555555557,0.0,500.0,85.66666666666667,288.15
5,2000.0,166.87764990399762,796.7820862133992,0.7758300993463488,1.3118312134060164,0.9078368672208497,796.7820862133992,545.7411549406844,336.8244846516229,0.7418897800530346,0.9738397833419734,203.57471353547479,347.11747098297286,366.2429120233781,304.6097384167799,4937.921525033981,481.0204288891208,268.32085664939126,55.13000916575439,18.515626134730553,203.57471353547479,0.9984835685185773,157.58572982597,509.69595324475847,510.4700460929771,-328.78343634680095,1.0,411.0447288308815,509.21984707626837,810.0932371840064,668.0049076388254,5404.679374937514,810.0932371840064,0.9940145118704852,2495.3946287711274,511.56094423711994,514.6413237715121,5124.66873314501,0.9635170645262758,99862.12814706271,534.127876629296,-4509.207297760091,1.0,77316.04410199232,497.4950630217794,0.880298901681646,0.4159460177995099,-73449449753.39354,5124.66873314501,1.1276844401614177,0.4175015025321218,-2590.399880151203,-4509.207297760091,-109626044.40805006,0.0,3.2350538105639797,0.03727277551543269,750.0,2737665.8319316404,1.0,-3.8662684778376164,100.0,4.12,0.04658934449820123,708.5137743033476,1.1251894211803593,1.0,1494.4444444444443,0.0,500.0,86.63333333333333,288.15
6,2000.0,167.56114279343893,800.0455243710817,0.7754781200089065,1.326468806783767,0.9075374676667212,800.0455243710817,547.9763865555354,336.9356041415802,0.7419890101919974,0.9738795644482311,204.21492843526624,347.3168969613438,366.44221607059364,304.65679115469175,4952.037346407533,482.03769959427063,269.26195022227193,55.43718114951504,18.60272676853114,204.21492843526624,0.9984787116418419,158.57845992660904,509.6640221615977,510.4405494269728,-321.08534000606943,1.0,392.02176264280723,509.2196224215997,809.1808277755213,665.8548699836339,5374.08805194373,809.1808277755213,0.9940212389869311,2489.7766597801146,511.56317852452366,514.6400886221401,5124.984122437496,0.9635148167931328,99874.42022553652,534.1278407477087,-4508.882472152788,1.0,77304.90541407844,497.4950630217791,0.7954194601813959,0.5779804667669656,201252869897530.66,5124.984122437496,1.1284428963035158,0.41893762297049014,-2583.2622168264156,-4508.882472152788,300377417757.5084,100.0,4.12,0.04658934449820123,390.0,-18031229396.90413,0.85,-3.85561524899465,100.0,4.12,0.04658934449820123,708.2643700116847,1.1248813702293474,1.0,1483.3333333333333,0.0,500.0,87.6,288.15
7,2000.0,168.23111233877015,803.2443933168965,0.7750636193396044,1.341106400161518,0.9072440137860056,803.2443933168965,550.1673926828058,337.0445881184201,0.7419618000188517,0.9739182125143093,204.81033749518258,347.51311230418156,366.6374035581179,304.7029656981776,4965.889709453287,483.03563526725344,270.18431836969023,55.73551744415822,18.69281382777925,204.81033749518258,0.998474427341921,159.5045106964465,509.71233751544753,510.49112882377295,-313.8808374942701,1.0,374.626787505562,509.297596939201,808.3437252112437,663.8972811438434,5346.234943258656,808.3437252112437,0.9940283266990361,2484.627945681106,511.64415191165233,514.7178789267681,5146.037205298321,0.9633757613054891,100696.6601368911,534.285685399915,-4529.340145953698,1.0,78007.99150483627,497.4950630217792,0.8798914617181514,0.41601778441806986,-2.4481178654869776e+17,5146.037205298321,1.1299188775625337,0.4203546876951226,-2585.676892959981,-4529.340145953698,-365390726192086.2,0.0,3.2350538105639797,0.03727277551543269,750.0,9124814763562.615,1.0,-3.8592192432238526,100.0,4.12,0.04658934449820123,708.3487436453634,1.1249856083456087,1.0,1472.2222222222222,0.0,500.0,88.56666666666666,288.15
8,2000.0,168.88746480728065,806.3782455101169,0.7745876717222686,1.355743993539269,0.9069565473951982,806.3782455101169,552.3138667877513,337.15141682103643,-163.03733609736437,9.523281412854533e-111,-42797.68453206761,5.822486482952902e+113,3.8714960498422726e+112,6.517830519567361e+112,1.9553491558702082e+115,484.0140486290086,271.0878383804105,-2.3020612150189972e+113,3.48912138128558e+114,-42797.68453206761,1.0,6964817.949467506,105209.64223030877,105046.90403487558,-760.8884696309789,1.0,2201.462178384061,105044.01075646981,-1152.760772841111,39191.613626239734,553529.1061035605,-1152.760772841111,1.0,5052.980261223199,104565.32394070194,104560.94056786322,27324726.760990936,0.5015798160411971,2839101233470.1016,208463.21407653127,-27367112.558801137,1.0,2847916026387.6606,497.4950630218809,0.00017514273411098038,0.99,-1.7577894567154706e+22,27324726.760990936,-0.0007657286478382489,0.5605609357734707,-27355900.981490396,-27367112.558801137,-2.6235663533066723e+19,100.0,4.12,0.04658934449820123,750.0,8.189425855422304e+17,1.0,-40829.70295744835,100.0,4.12,0.04658934449820123,750.0,1275.4910744253373,1.0,1461.111111111111,0.0,500.0,89.53333333333333,288.15
9,2000.0,169.53010614566284,809.4466318792784,0.7740513055967148,1.37038158691702,0.9066751101784248,809.4466318792784,554.415501287177,337.2560705777306,-4969.443895866595,,-1308282.5358267084,,,,,484.9727524596451,271.9723870305011,,,-1308282.5358267084,1.0,6508371143.470692,3177269.876489882,3172295.1321474006,-31.783503268507864,1.0,3.8412515817731987,3172295.0112906294,-64.93789547783402,68176.89874860145,965939.6595206135,-64.93789547783402,1.0,16.03487734821509,3157420.3150024298,3157420.068076082,828915028.2366436,0.5004335356518883,2612698221649002.5,6309369.4629459195,-830222898.8857492,1.0,2620949410124762.5,497.4950630203821,0.00017474094804672752,0.99,-1.5573906669044546e+26,828915028.2366436,-2.5222282330907304e-05,0.5605609357727286,-829169238.2492447,-830222898.8857492,-2.3244636819469472e+23,100.0,4.12,0.04658934449820123,750.0,7.2557810298695e+21,1.0,-1237566.0272376786,100.0,4.12,0.04658934449820123,750.0,38631.44886764516,1.0,1450.0,0.0,500.0,90.5,288.15
