,propeller_1 rpm [1/min],propeller_1 shaft_power_in [kW],propeller_1 torque_in [N*m],propeller_1 efficiency [-],propeller_1 advance_ratio [-],propeller_1 thrust_coefficient [-],propeller_1 power_coefficient [-],motor_1 efficiency [-],motor_1 torque_out [N*m],motor_1 ac_current_rms_in [A],motor_1 ac_voltage_rms_in [V],inverter_1 modulation_index [-],inverter_1 efficiency [-],inverter_1 dc_current_in [A],inverter_1 diode_temperature [degK],inverter_1 IGBT_temperature [degK],inverter_1 casing_temperature [degK],inverter_1 losses_inverter [W],inverter_1 switching_losses_IGBT [W],inverter_1 switching_losses_diode [W],inverter_1 conduction_losses_IGBT [W],inverter_1 conduction_losses_diode [W],dc_sspc_1 dc_current_in [A],dc_sspc_1 efficiency [-],dc_sspc_1 power_losses [W],dc_sspc_1 dc_voltage_out [V],dc_bus_1 dc_voltage [V],dc_sspc_2 dc_current_in [A],dc_sspc_2 efficiency [-],dc_sspc_2 power_losses [W],dc_sspc_2 dc_voltage_out [V],harness_1 dc_current [A],harness_1 cable_temperature [degK],harness_1 conduction_losses [W],dc_sspc_3 dc_current_in [A],dc_sspc_3 efficiency [-],dc_sspc_3 power_losses [W],dc_sspc_3 dc_voltage_out [V],dc_splitter_1 dc_voltage [V],dc_splitter_1 power_split [percent],dc_dc_converter_1 efficiency [-],dc_dc_converter_1 duty_cycle [-],dc_dc_converter_1 dc_current_in [A],dc_dc_converter_1 dc_current_out [A],rectifier_1 efficiency [-],rectifier_1 modulation_index [-],rectifier_1 ac_current_rms_in_one_phase [A],rectifier_1 dc_current_out [A],battery_pack_1 c_rate [1/h],battery_pack_1 state_of_charge [percent],battery_pack_1 open_circuit_voltage [V],battery_pack_1 internal_resistance [ohm],battery_pack_1 voltage_out [V],battery_pack_1 efficiency [-],battery_pack_1 relative_capacity [-],generator_1 rpm [1/min],generator_1 shaft_power_in [kW],generator_1 power_losses [W],generator_1 torque_in [N*m],generator_1 efficiency [-],generator_1 ac_voltage_rms_out [V],generator_1 ac_voltage_peak_out [V],ice_1 torque_out [N*m],ice_1 specific_fuel_consumption [kg/kW/h],ice_1 mean_effective_pressure [bar],ice_1 fuel_consumption [kg/h],ice_1 fuel_consumed_t [kg],thrust [N],altitude [m],time_step [s],true_airspeed [m/s],exterior_temperature [degK]
0,2000.0,163.2605993735505,779.5119420733845,0.7766111387959351,1.238643246517262,0.07391423599711422,0.1178883029945383,0.9094215722063128,779.5119420733845,533.9122890913593,336.23755395153125,0.49976133003510387,0.9735580404980355,223.78196780742707,347.3792976783178,364.48249290490105,304.40274299410197,4875.8228982305955,475.6506149517182,263.33877484045115,46.986503144920256,26.661256768009732,223.78196780742707,0.99,1862.5978283402724,824.0037694385092,832.3270398368779,223.7261718053059,0.99,1880.9428516439045,840.734383673614,223.7261718053059,300.1885944402179,171.28840977394535,223.7261718053059,0.99,1901.6724603451003,841.5,850.0,50.0,0.9870948042160598,0.5834284130468996,158.75746575034512,111.89098390371353,0.98,3.493617543269231,162.8428713931688,111.89098390371352,0.4739028828368511,100.0,4.12,0.04658934449820123,606.9053906047437,0.9787282258567643,0.9827535113945752,2500.0,102.31719369164931,5268.891326194586,390.8228913436051,0.9485043409021429,198.65428461841339,243.3008162663668,390.8228913436051,0.2789224313627516,9.179860368596575,28.53856043468841,3.9636889492622793,1550.0,0.0,500.0,81.8,288.15
1,2000.0,164.01031093249833,783.091551088375,0.7765896118331534,1.253280839895013,0.07338438484301305,0.11842965971966908,0.9090930789822625,783.091551088375,536.3640760879281,336.3590505954921,0.4999443658235806,0.973603676992702,224.8813946611835,347.60487987080705,364.6955693751938,304.4543231520914,4891.296945627419,476.76174611303617,264.3716681077091,47.28023747273616,26.802505911088414,224.8813946611835,0.99,1871.739478290358,823.9997294126077,832.3229590026341,224.8239202035482,0.99,1890.1627325089755,840.7302616188223,224.8239202035482,300.3127971876385,173.05560038750744,224.8239202035482,0.99,1911.0033217301598,841.5,850.0,50.0,0.9869773327528085,0.5877514626072077,162.42427867263757,112.44069733059175,0.98,3.494048323295008,163.66308623220962,112.44069733059173,0.4848485930526495,93.30250728434946,4.069897419014573,0.0586739144956452,596.1895104939032,0.9754529397140997,0.9822510048570865,2500.0,102.83254987418853,5307.455250727646,392.79140695730314,0.9483874001255331,198.62979259943324,243.27081979173084,392.79140695730314,0.27829837087817066,9.226097932637476,28.6181311032349,3.9747404310048475,1538.888888888889,0.0,500.0,82.76666666666667,288.15
2,2000.0,164.74696465568542,786.6088135301432,0.7764994407835433,1.2679184332727638,0.07285453368891187,0.11896158755562189,0.9087703189438211,786.6088135301432,538.7731599521528,336.47851230967586,0.5001243410581858,0.973648117522274,225.96245601621808,347.8265784816352,364.9051742271529,304.505041456084,4906.512436825199,477.8544812676348,265.3864441877851,47.56966532076001,26.941482028019887,225.96245601621808,0.99,1880.7283208939518,823.9957515558968,832.3189409655524,225.90329151677597,0.99,1899.2281652108604,840.7262029955075,225.90329151677597,300.43562937376794,174.80329028067897,225.90329151677597,0.99,1920.1779778925957,841.5,850.0,50.0,0.9868811889652122,0.5911752116935463,165.5466569103692,112.98122800810906,0.98,3.4944747292868774,164.46992490001813,112.98122800810903,0.49416912510557964,86.4468174417902,4.023549612135199,0.06329911278203286,587.8140070605929,0.9752563111595615,0.9818335925727013,2500.0,103.33950156047239,5345.579308553139,394.72781976004353,0.9482716751306856,198.6055552131899,243.24113517723336,394.72781976004353,0.27769128721511643,9.271581448416217,28.69647920849611,3.985622112291127,1527.7777777777778,0.0,500.0,83.73333333333333,288.15
3,2000.0,165.47046769506284,790.063286081911,0.776341956701314,1.2825560266505147,0.0723246825348107,0.11948401945805807,0.9084533351860816,790.063286081911,541.1392370424048,336.59591869600234,0.5003012247927622,0.973691382728233,227.02497424548588,348.04436324459044,365.11126859859553,304.554889620027,4921.466886008106,478.9286320801599,266.3829819028554,47.854709040874795,27.078157977460787,227.02497424548588,0.99,1889.5628840330985,823.9918367615321,832.3149866278102,226.9641097164851,0.99,1908.1376761986896,840.7222087149598,226.9641097164851,300.55703667725277,176.53070655440803,226.9641097164851,0.99,1929.1949325901232,841.5,850.0,50.0,0.9867844790100809,0.5945252853992133,168.6661309718247,113.51248712274294,0.98,3.4948965169164707,165.26323869088426,113.51248712274294,0.5034809879755962,79.45636598155193,3.971696403880647,0.06340870328632534,579.7121096022296,0.9768660910365062,0.9814260666092686,2500.0,103.83795531594771,5383.247097254631,396.6317728581223,0.9481572313237965,198.58158615832517,243.2117792002157,396.6317728581223,0.27710092427079025,9.31630253301961,28.773593392438126,3.996332415616407,1516.6666666666667,0.0,500.0,84.7,288.15
4,2000.0,166.18072712801768,793.4545250708833,0.7761184353620565,1.2971936200282657,0.07179483138070952,0.11999688832879722,0.9081421704605371,793.4545250708833,543.4620034732077,336.7112495110083,0.5004749863104271,0.9737334924430787,228.0687719597946,348.2582038830483,365.31381369032067,304.6038593651654,4936.15780954964,479.98401053725695,267.3611599148939,48.13529114736119,27.21250665876135,228.0687719597946,0.99,1898.2416975680007,823.9879859236496,832.3110968925754,228.00619906623626,0.99,1916.88979437502,840.7182796894701,228.00619906623626,300.6769648067608,178.237076736792,228.00619906623626,0.99,1938.0526920630082,841.5,850.0,50.0,0.9866726676053751,0.5982996765340454,172.13901649105344,114.0343859798973,0.98,3.4953134463725593,166.04287911295103,114.03438597989731,0.513847810421055,72.3312327315044,3.9104716018181107,0.061492979940525265,570.6927286406175,0.9790718439206962,0.9809833873010262,2500.0,104.327817840429,5420.442245633205,398.50290987108247,0.9480441328321095,198.55789886561743,243.18276830995475,398.50290987108247,0.2765270296561383,9.360252815589893,28.849461577920504,4.00686966360007,1505.5555555555557,0.0,500.0,85.66666666666667,288.15
5,2000.0,166.87764990399762,796.7820862133992,0.7758300993463488,1.3118312134060164,0.07126498022660833,0.1205001269772756,0.9078368672208497,796.7820862133992,545.7411549406844,336.8244846516229,0.5006455951024924,0.973774465713316,229.09367194663287,348.46807009517954,365.5127707568608,304.6519424172877,4950.58272518633,481.0204288891208,268.32085664939126,48.41133431885673,27.344501007019755,229.09367194663287,0.99,1906.763292824836,823.9841999373639,832.3072726640039,229.02938405869367,0.99,1925.4830505637171,840.7144168323272,229.02938405869367,300.7953595175613,179.92162901898473,229.02938405869367,0.99,1946.7497644988962,841.5,850.0,50.0,0.9865394301279632,0.6026721974416561,176.11682655024393,114.54683597331645,0.98,3.4957252822166107,166.80869785294098,114.54683597331642,0.5257218702992356,65.05610938372556,3.8405797663577173,0.059436600577866476,560.3852867415952,0.980858898056143,0.9804903933416201,2500.0,104.80899594593578,5457.148418072904,400.34087484705833,0.9479324425463641,198.53450650687242,243.15411863855203,400.34087484705833,0.27596935486183843,9.403423935336294,28.924070994916935,4.017232082627352,1494.4444444444443,0.0,500.0,86.63333333333333,288.15
6,2000.0,167.56114279343893,800.0455243710817,0.7754781200089065,1.326468806783767,0.07073512907250716,0.12099366808366778,0.9075374676667212,800.0455243710817,547.9763865555354,336.9356041415802,0.5008130208483434,0.9738143208213568,230.0994971122285,348.6739315398463,365.708101097856,304.69913050412504,4964.73915123752,482.03769959427063,269.26195022227193,48.68276140117083,27.47411398853986,230.0994971122285,0.99,1915.126202110849,823.9804796987464,832.3035148472186,230.0334893559252,0.99,1933.9159770051092,840.7106210577965,230.0334893559252,300.912166628669,181.58359249913056,230.0334893559252,0.99,1955.2846595253643,841.5,850.0,50.0,0.9863860263956651,0.6075462173554028,180.5633337382436,115.04974855611427,0.98,3.496131793246196,167.56054674330588,115.04974855611422,0.5389950260843093,57.609129084245055,3.766009271040952,0.058449941135245397,549.0705163138667,0.981423495119585,0.9799567603405471,2500.0,105.28139653605179,5493.34931902805,402.14531218393415,0.9478222221610924,198.5114220033627,243.12584601126989,402.14531218393415,0.27542765541917724,9.445807539683154,28.997408207181433,4.027417806552977,1483.3333333333333,0.0,500.0,87.6,288.15
7,2000.0,168.23111233877015,803.2443933168965,0.7750636193396044,1.341106400161518,0.07020527791840599,0.12147744416350689,0.9072440137860056,803.2443933168965,550.1673926828058,337.0445881184201,0.5009772333961978,0.9738530753063646,231.08607042653676,348.87575782311785,365.89976604999663,304.74541535288995,4978.624605866983,483.03563526725344,270.18431836969023,48.94949541089596,27.6013185966575,231.08607042653676,0.99,1923.328958253395,823.9768261047947,832.2998243482774,231.01833973231157,0.99,1942.1871068730807,840.7068932810884,231.01833973231157,301.02733204049736,183.22219743353554,231.01833973231157,0.99,1963.6558877246484,841.5,850.0,50.0,0.9862199486931243,0.6126363356771453,185.29080151228627,115.5430352132684,0.98,3.4965327523659266,168.2982777315859,115.54303521326837,0.5531068701859292,49.96997363176647,3.6922910251292738,0.058996926919110605,537.4462719559854,0.9802050619901708,0.979409222278082,2500.0,105.74492658667299,5529.028697628398,403.91586655580613,0.947713532212852,198.48865803383532,243.09796595633873,403.91586655580613,0.2749016910563378,9.487395282542625,29.0694591393047,4.037424880458986,1472.2222222222222,0.0,500.0,88.56666666666666,288.15
8,2000.0,168.88746480728065,806.3782455101169,0.7745876717222686,1.355743993539269,0.0696754267643048,0.12195138753365181,0.9069565473951982,806.3782455101169,552.3138667877513,337.15141682103643,0.5011382027446878,0.9738907459840717,232.05321487088383,349.07351848534637,366.08772697948245,304.7907886879416,4992.23660638249,484.0140486290086,271.0878383804105,49.21145953976041,27.72608784790222,232.05321487088383,0.99,1931.3700941612667,823.9732400533842,832.2962020741254,231.98376002011028,0.99,1950.2949738142793,840.7032344183085,231.98376002011028,301.1408017530429,184.83667549540186,231.98376002011028,0.99,1971.8619601709374,841.5,850.0,50.0,0.9860516976733773,0.6176010484913933,190.04184606866266,116.02660743544192,0.98,3.4969279364656116,169.02174285178413,116.02660743544195,0.5672890927422766,42.126429085774525,3.623941507469935,0.0606821644990999,526.2930002732134,0.9769963468712267,0.97887909877999,2500.0,106.19949312802164,5564.170352398471,405.6521828442819,0.9476064321164795,198.4662270421045,243.07049371425614,405.6521828442819,0.27439122585058867,9.528178822701006,29.140209104109026,4.047251264459587,1461.111111111111,0.0,500.0,89.53333333333333,288.15
9,2000.0,169.53010614566284,809.4466318792784,0.7740513055967148,1.37038158691702,0.06914557561020362,0.12241543027946258,0.9066751101784248,809.4466318792784,554.415501287177,337.2560705777306,0.5012958990252011,0.973927348965595,233.0007533880162,349.26718298874545,366.27194527495436,304.8352422285657,5005.572668569704,484.9727524596451,271.9723870305011,49.46857715967255,27.848394778465117,233.0007533880162,0.99,1939.2481424058876,823.969722443212,832.2926489325374,232.92957505721466,0.99,1958.2381115060646,840.6996453864015,232.92957505721466,301.25252188456363,186.42626004058656,232.92957505721466,0.99,1979.9013879863246,841.5,850.0,50.0,0.9858872154757535,0.6222746766512239,194.67317896756683,116.5003766940081,0.98,3.4973171263053406,169.7307941975765,116.5003766940081,0.5811139670673636,34.077411401367996,3.560620683204021,0.06211034146136778,515.9562760520349,0.9720977475386714,0.9783813526828148,2500.0,106.64500322781349,5598.758136087573,407.3539060741836,0.9475009801994418,198.44414124424634,243.0434442465988,407.3539060741836,0.27389602837680127,9.5681498223085,29.209642830329265,4.056894837545731,1450.0,0.0,500.0,90.5,288.15
