,propeller_1 rpm [1/min],propeller_1 shaft_power_in [kW],propeller_1 torque_in [N*m],propeller_1 efficiency [-],propeller_1 advance_ratio [-],motor_1 efficiency [-],motor_1 torque_out [N*m],motor_1 ac_current_rms_in [A],motor_1 ac_voltage_rms_in [V],inverter_1 modulation_index [-],inverter_1 efficiency [-],inverter_1 dc_current_in [A],inverter_1 diode_temperature [degK],inverter_1 IGBT_temperature [degK],inverter_1 casing_temperature [degK],inverter_1 losses_inverter [W],inverter_1 switching_losses_IGBT [W],inverter_1 switching_losses_diode [W],inverter_1 conduction_losses_IGBT [W],inverter_1 conduction_losses_diode [W],dc_sspc_1 dc_current_in [A],dc_sspc_1 efficiency [-],dc_sspc_1 power_losses [W],dc_sspc_1 dc_voltage_out [V],dc_bus_1 dc_voltage [V],dc_sspc_2 dc_current_in [A],dc_sspc_2 efficiency [-],dc_sspc_2 power_losses [W],dc_sspc_2 dc_voltage_out [V],harness_1 dc_current [A],harness_1 cable_temperature [degK],harness_1 conduction_losses [W],dc_sspc_412 dc_current_in [A],dc_sspc_412 efficiency [-],dc_sspc_412 power_losses [W],dc_sspc_412 dc_voltage_out [V],dc_bus_2 dc_voltage [V],dc_sspc_1337 dc_current_in [A],dc_sspc_1337 efficiency [-],dc_sspc_1337 power_losses [W],dc_sspc_1337 dc_voltage_out [V],dc_dc_converter_1 efficiency [-],dc_dc_converter_1 duty_cycle [-],dc_dc_converter_1 dc_current_in [A],dc_dc_converter_1 dc_current_out [A],battery_pack_1 c_rate [1/h],battery_pack_1 state_of_charge [percent],battery_pack_1 open_circuit_voltage [V],battery_pack_1 internal_resistance [ohm],battery_pack_1 voltage_out [V],battery_pack_1 efficiency [-],battery_pack_1 relative_capacity [-],thrust [N],altitude [m],time_step [s],true_airspeed [m/s],exterior_temperature [degK]
0,2000.0,163.2605993735505,779.5119420733845,0.7766111387959351,1.238643246517262,0.9094215722063128,779.5119420733845,533.9122890913593,336.23755395153125,0.4868036380598633,0.9735545338684175,217.9805881388556,347.4498102636234,364.44445257274765,304.4049569177804,4876.487075334134,475.6506149517182,263.33877484045115,46.636329113065706,27.122126983787304,217.9805881388556,0.9990211330032222,180.67782870238673,845.9370215512383,846.7658927376364,217.9805881388556,0.9990220902468054,180.67782870238673,847.5947639240344,218.88198323759494,299.6491399683049,163.6129042073877,218.88198323759494,0.9990198692430537,182.17519913335167,848.3388300723411,849.1711288136021,217.9805881388556,0.999024857427767,180.67782870238673,850.0000000000001,0.9854653608366841,0.5833184494401514,309.654857960168,217.9805881388556,0.4621714297912955,100.0,4.12,0.04658934449820123,607.1800373602141,0.9791901794157803,0.983307074694465,1550.0,0.0,500.0,81.8,288.15
1,2000.0,164.01031093249833,783.091551088375,0.7765896118331534,1.253280839895013,0.9090930789822625,783.091551088375,536.3640760879281,336.3590505954921,0.48699140012591585,0.9736001748557487,219.05577278795653,347.6757639680961,364.65730038201025,304.4565449871875,4891.963496156249,476.76174611303617,264.3716681077091,46.92800548387332,27.26582965475625,219.05577278795653,0.999016285579168,182.4646036275489,845.9164205151371,846.7493800911633,219.05577278795653,0.9990172523222307,182.4646036275489,847.5823396671894,220.01994954315575,299.77460512043234,165.39805665991634,220.01994954315575,0.9990147688048276,184.0743790939891,848.3304145658359,849.1670404239737,219.05577278795653,0.9990200475576162,182.4646036275489,849.9999999999999,0.9852624680701585,0.5875157735606281,316.6758527159068,219.05577278795653,0.4726505264416519,93.47198062417607,4.07105356543918,0.05847564519019258,596.7696662130892,0.9760951549947993,0.982811862124711,1538.888888888889,0.0,500.0,82.76666666666667,288.15
2,2000.0,164.74696465568542,786.6088135301432,0.7764994407835433,1.2679184332727638,0.9087703189438211,786.6088135301432,538.7731599521528,336.47851230967586,0.48717603576872304,0.9736446198061188,220.11304032657767,347.89782801712954,364.8666800717428,304.5072710414175,4907.181312425257,477.8544812676348,265.3864441877851,47.21540721329523,27.407219402160976,220.11304032657767,0.9990115187321261,184.23017635918106,845.8961480888188,846.7331279246606,220.11304032657767,0.9990124948624565,184.23017635918106,847.5701077605024,221.1413231783383,299.89899629595465,167.16792827997432,221.1413231783383,0.9990097426979061,185.9555010168945,848.3221302827726,849.1630201641582,220.11304032657767,0.9990153178401862,184.23017635918106,850.0,0.9850918496531803,0.5908535856081957,322.67860633156295,220.11304032657767,0.4816098601963626,86.79258358186611,4.025941329212238,0.06319820417942373,588.5966680463803,0.9758818642156127,0.9823982983912016,1527.7777777777778,0.0,500.0,83.73333333333333,288.15
3,2000.0,165.47046769506284,790.063286081911,0.776341956701314,1.2825560266505147,0.9084533351860816,790.063286081911,541.1392370424048,336.59591869600234,0.48735751281322626,0.9736878893601469,221.15221494135093,348.11597207545947,365.0725528345041,304.5571267945742,4922.138038372261,478.9286320801599,266.3829819028554,47.49845712805167,27.546268617643143,221.15221494135093,0.9990068332643872,185.97381901460253,845.8762080917661,846.7171393890806,221.15221494135093,0.999007818665884,185.97381901460253,847.558070686395,222.24585695115928,300.0222544737482,168.9216792988942,222.24585695115928,0.9990047920322539,187.8177225937595,848.3139788316288,849.1590687026855,221.15221494135093,0.999010669061983,185.97381901460253,850.0,0.9849214098102245,0.5941020545024857,328.65021178183946,221.15221494135093,0.49052270415199917,79.9837099844518,3.9758806797840456,0.0634980490094567,580.7306165265882,0.9773990358997308,0.9819957549761802,1516.6666666666667,0.0,500.0,84.7,288.15
4,2000.0,166.18072712801768,793.4545250708833,0.7761184353620565,1.2971936200282657,0.9081421704605371,793.4545250708833,543.4620034732077,336.7112495110083,0.4875357993001392,0.9737300033494708,222.17312105325172,348.33016579771,365.2748799255868,304.60610396805714,4936.831190417147,479.98401053725695,267.3611599148939,47.77707821512124,27.68294973558578,222.17312105325172,0.999002229977189,187.6948059697592,845.8566043594345,846.7014176522396,222.17312105325172,0.9990032245298726,187.6948059697592,847.5462309450446,223.33329964715128,300.14431986881954,170.6584590794592,223.33329964715128,0.9989999179358471,189.6601927857084,848.3059618352868,849.1551867071951,222.17312105325172,0.9990061020084647,187.6948059697592,850.0000000000001,0.9847292414630502,0.5977368484567681,335.2543790343423,222.17312105325172,0.500379670200511,73.04598616953604,3.916988405941369,0.06171558336548854,572.0304462077511,0.9795412523429121,0.9815607464868836,1505.5555555555557,0.0,500.0,85.66666666666667,288.15
5,2000.0,166.87764990399762,796.7820862133992,0.7758300993463488,1.3118312134060164,0.9078368672208497,796.7820862133992,545.7411549406844,336.8244846516229,0.4877108634653068,0.9737709808197337,223.1755832589786,348.5403788135848,365.4736226537734,304.6541942878064,4951.258286341913,481.0204288891208,268.32085664939126,48.05119362374971,27.81723522805715,223.1755832589786,0.9989977096709746,189.39241401175158,845.8373407438143,846.6859658991565,223.1755832589786,0.9989987132509996,189.39241401175158,847.5345910544987,224.40339608560947,300.2651319512446,172.37740638537855,224.40339608560947,0.9989951215544206,191.48205207450565,848.2980809310423,849.1513748446578,223.1755832589786,0.9990016174643033,189.39241401175158,850.0,0.9845050527216415,0.6019392325947731,342.79304625412203,223.1755832589786,0.5116314123195851,65.96571358676663,3.8495908997742143,0.0596510215975799,562.1026684119286,0.9813711438396459,0.9810770635451342,1494.4444444444443,0.0,500.0,86.63333333333333,288.15
6,2000.0,167.56114279343893,800.0455243710817,0.7754781200089065,1.326468806783767,0.9075374676667212,800.0455243710817,547.9763865555354,336.9356041415802,0.487882673720018,0.9738108400524864,224.15942627549313,348.74658071374614,365.6687423727152,304.7013894817003,4965.416844510097,482.03769959427063,269.26195022227193,48.32072666830979,27.94909760016371,224.15942627549313,0.9989932731456365,191.06592249597173,845.8184211139338,846.6707873323464,224.15942627549313,0.9989942856253053,191.06592249597173,847.523153550759,225.4558871738219,300.3846294663587,174.07764966855277,225.4558871738219,0.9989904040512242,193.28243272572678,848.290337770609,849.1476337815874,224.15942627549313,0.9989972162136322,191.06592249597173,850.0,0.9842494858191423,0.6066410128333733,351.2323428884127,224.15942627549313,0.524227377445392,58.72266194300031,3.7771257240667566,0.058501488966355236,551.1581473359283,0.982133820491864,0.9805516257230035,1483.3333333333333,0.0,500.0,87.6,288.15
7,2000.0,168.23111233877015,803.2443933168965,0.7750636193396044,1.341106400161518,0.9072440137860056,803.2443933168965,550.1673926828058,337.0445881184201,0.4880511986321966,0.9738495985860313,225.1244748874318,348.9487410363148,365.86020047287775,304.7476812770934,4979.30438312804,483.03563526725344,270.18431836969023,48.585600831953315,28.07850938577637,225.1244748874318,0.998988921200748,192.71461350768266,845.799849356321,846.6558851720805,225.1244748874318,0.9989899424485242,192.71461350768266,847.51192098784,226.49050995840824,300.5027504561095,175.7583073728891,226.49050995840824,0.9989857666067918,195.0604590623884,848.2827340201237,849.1439641842405,225.1244748874318,0.998992899040283,192.71461350768266,850.0,0.9839725048133802,0.6115930289972517,360.25934892264064,225.1244748874318,0.5377005207800606,51.29731522300062,3.7046684192681,0.05879900107588237,539.8130955065408,0.9812788453200064,0.9800080033903927,1472.2222222222222,0.0,500.0,88.56666666666666,288.15
8,2000.0,168.88746480728065,806.3782455101169,0.7745876717222686,1.355743993539269,0.9069565473951982,806.3782455101169,552.3138667877513,337.15141682103643,0.48821640690841145,0.9738872732352388,226.0705538971212,349.14682925393055,366.04795837400343,304.7930613984803,4992.918419544101,484.0140486290086,271.0878383804105,48.84573977100099,28.205443143596685,226.0705538971212,0.9989846546357823,194.33777202788286,845.7816293754126,846.6412626566065,226.0705538971212,0.9989856845163065,194.33777202788286,847.5008959378004,227.50699767477366,300.61943228169764,177.41848825644382,227.50699767477366,0.9989812104187189,196.81524775073748,848.2752713601478,849.1403667188061,226.0705538971212,0.9989886667280072,194.33777202788286,850.0,0.9836894955553456,0.61647392052308,369.4075533074088,226.0705538971212,0.5513545571752371,43.67690522351514,3.636797450467257,0.06031376110368922,528.8093483800275,0.9785471435721856,0.9794761156882871,1461.111111111111,0.0,500.0,89.53333333333333,288.15
9,2000.0,169.53010614566284,809.4466318792784,0.7740513055967148,1.37038158691702,0.9066751101784248,809.4466318792784,554.415501287177,337.2560705777306,0.48837826737664614,0.9739238801103636,226.99748807695522,349.34081476131536,366.2319775180454,304.83752156527396,5006.2564695821975,484.9727524596451,271.9723870305011,49.101067320020675,28.329871453532753,226.99748807695522,0.9989804742503217,195.93468610332337,845.7637650939209,846.6269230423336,226.99748807695522,0.9989815126244268,195.93468610332337,847.4900809907463,228.50507979552782,300.7346116476178,179.05729173347757,228.50507979552782,0.9989767367014447,198.54590809970094,848.2679514856649,849.1368420515873,226.99748807695522,0.998984520060691,195.93468610332337,850.0,0.9834117953675079,0.621078928655855,378.34123457648246,226.99748807695522,0.5646884098156454,35.85874400412874,3.5743924194978454,0.06192906927406033,518.5861225306865,0.9741060185101568,0.9789748185848288,1450.0,0.0,500.0,90.5,288.15
