,Design Power (kW),Design T41t (degK),Design OPR (-),Design altitude (ft),Design Mach (-),Design Fuel Consumed (kg/h),Limit Shaft (kW),Altitude (ft),Mach (-),Shaft Power (kW),Fuel mass flow (kg/h),Exhaust mass flow (kg/s),Exhaust velocity (m/s),Total temperature 3 (degK),Total pressure 3 (bar)
0,2265.773675529735,1516.9665406643912,18.161511697035035,0.0,0.0,788.2928687728029,1219.0973375584051,20035.43964905972,0.0171557158156579,733.2048423925814,262.509873288306,3.9511951135523766,182.0846661743096,621.5445615466335,5.829701187301398
0,2034.7211136895176,1487.545713860774,17.60442525476131,0.0,0.0,723.1441653637239,1220.1616949124,17755.834551922144,0.0306903608975586,907.8781862984792,313.7925775189744,4.402321354871551,203.4845333090797,648.2440273086277,6.904706934303119
0,1152.0988877433126,973.6524369452668,8.513546984421739,0.0,0.0,973.5093796072384,547.4893102428397,1059.923554085469,0.1545500214660621,439.3559633116646,684.6658294580607,19.70537205160077,167.88432072407394,552.1627881129724,5.644800584750707
0,1736.4805869007994,1490.8018705482964,11.877177449500667,0.0,0.0,636.0020736934114,959.346242187911,25080.91938965332,0.5905527256886345,515.2633392590584,173.45620189220742,2.669549925882079,194.4336613363077,527.4383099443969,3.3501410273498013
0,1150.9837698512438,1451.836802794188,9.936289520089804,0.0,0.0,446.7201890829504,792.7841675557368,10575.339809619389,0.1140038461493583,558.8028365389133,230.5554283524692,2.978592342164699,197.972846454232,548.7072654378937,4.73214997000448
0,1321.411598115625,999.5511130519686,7.906819908228256,0.0,0.0,954.631879362374,666.7108314948545,694.9592923888605,0.5941159424647401,332.85111010883656,489.470017218626,17.628240309070886,151.16620478999658,520.5424586992532,4.914798617231705
0,477.6602956154312,1094.262140994913,6.0,0.0,0.0,293.9372929368331,428.1084097218862,6965.2817900317,0.5796058875463381,218.6457153921589,145.86870238593758,3.622357082394557,176.24745636764447,472.6036738903802,3.3172618222985246
0,2109.715695738604,1194.478491645314,10.498914818830247,0.0,0.0,1015.0020358434556,948.508532440638,11380.903473032888,0.298481080447103,832.5639890149728,463.2512860459236,9.818508154677206,174.13687403426215,550.4954954757459,4.751401391801721
0,1879.0638180870603,1444.8441426187687,13.1688234552033,0.0,0.0,695.1467525234392,1242.8378906518883,34394.84988256255,0.3164766363365581,553.883459703249,173.55010626374713,2.456698490454233,232.6014817479892,545.3060340480677,3.0040087238711903
0,2037.87843781774,1418.6726535140774,17.999291643014107,0.0,0.0,766.9076717876701,1146.7125516469928,25827.918424843232,0.2200041230649062,551.0671496420211,207.48459945705167,3.694552964782112,182.8405854019031,602.4195836311615,4.782399364972916
0,2622.090508279065,1424.375571167031,12.662047301076612,0.0,0.0,984.836730882094,1113.2027366194136,6006.431491463905,0.5017674591895894,472.09017924381874,283.0547092814106,6.571578174620837,122.58615763239104,531.9581215436824,4.765123504835043
0,2194.644378461549,1443.3897789205955,20.855760221573167,0.0,0.0,825.312459831499,1305.786303292736,21689.30204414219,0.4849294183322666,859.0484829368822,298.23047759064053,5.120157324213877,198.7315771426776,667.7343873767468,7.209452407453734
0,1983.3578661657984,1387.3967840622768,14.902640901091944,0.0,0.0,757.4837514938852,969.209110425232,7615.469860030623,0.0512055493629294,598.5346490794552,309.6796095191962,5.751306077396275,149.6273795202177,594.6891489821822,6.334020084236501
0,1383.8426361795982,1195.3942173254968,11.562079679836035,0.0,0.0,671.8931696151319,880.371043573624,29141.164762898577,0.2007689935336802,552.2476399032167,223.42916730644703,4.230213367503652,222.81757502528487,548.6152193104372,3.379512947005232
0,1823.353453681776,1256.4336466663262,12.930632858172672,0.0,0.0,805.0647400252444,1037.2390165800364,32040.063329772747,0.4932906559784293,489.2763373330431,188.44991668429623,3.996067273821383,198.97926658772195,535.2493792291243,3.023570270676533
0,1101.4032290088608,1403.6542241594657,13.931208252807163,0.0,0.0,417.2896505639882,901.8391513809056,17850.110201867396,0.1698840270710307,361.6950478810317,146.77102694744028,2.411672726614676,177.15936011682092,573.8699113238035,4.778248921149272
0,727.0112311455542,1288.9995693690955,6.0,0.0,0.0,369.9174547104892,562.777591352499,9436.44867138942,0.0091529911032792,244.61977176748343,162.07460772001727,2.6471735980050424,173.49349424808818,449.8134609283276,2.6531384160463984
0,1748.4374796378113,1408.0425832862893,9.678393592873531,0.0,0.0,696.3702135708917,896.4929111979353,16761.530201353144,0.2506207113280892,626.7986327585065,262.2368129706285,3.861086528919021,187.050715145788,515.3282752284289,3.536536397478121
0,1011.3569015431964,1156.617644469262,10.32404797694092,0.0,0.0,522.4112772653232,730.885244122398,32629.67270538561,0.1363740246815886,595.3564500720898,216.2731257893405,3.503874515948901,282.8082323125837,557.0485288296996,3.2936765468138844
