,Design Power (kW),Design T41t (degK),Design OPR (-),Design altitude (ft),Design Mach (-),Limit OPR (-),Limit ITT (degK),Altitude (ft),Mach (-),Max Power OPR Limit (kW),Max Power ITT Limit (kW)
0,1969.687182223593,1352.345584940691,11.212547942181084,0.0,0.0,13.634157865425802,1273.15,8687.65910552381,0.11297155215007185,2115.705723636972,3456.928911403081
1,1311.8942533651355,1294.0234021685237,16.28237111616235,0.0,0.0,17.168231309251016,1273.15,9743.885330323128,0.566811552841755,1561.0138958468578,4569.651217394468
2,717.0296925579664,1401.7838439743282,7.0,0.0,0.0,7.696615964474595,1265.8830737220915,22502.72997609948,0.32964532943603636,392.4826689540014,635.2908813357134
3,751.5687839964155,1053.6642359985262,7.0,0.0,0.0,8.164945474634978,958.15,25159.982418672796,0.2589236557530986,438.8558289687929,1045.313258094824
4,1331.147633128777,970.5093569396408,8.745045639150963,0.0,0.0,11.218404596805458,958.15,627.0532512927492,0.19231519920372192,3353.672453845349,6714.3270258052435
5,999.8453811312658,1002.4991988952125,8.095907893326837,0.0,0.0,10.52331609559382,958.15,29004.95496938353,0.5612540018014729,974.5409660462345,2247.7715459091646
6,765.8541691706921,1006.0174770470139,7.0,0.0,0.0,8.25330452022205,958.15,5311.7618024813055,0.12634863742724436,1076.373627974231,1896.7625833112138
7,1294.0539916243554,1388.1211859529408,16.14522254849676,0.0,0.0,20.092553804031464,1273.15,34982.58017990967,0.4656316198452669,550.5507466497087,1639.8012929168515
8,1286.9910564829022,1405.8072072139894,16.933873732045704,0.0,0.0,20.72553248102293,1273.15,25514.99982205694,0.09324179747428453,660.2600021553832,1927.4223220219503
9,665.0798116924154,975.1538507077175,9.124740055477567,0.0,0.0,9.564379776021687,958.15,16405.228015387856,0.3662940715864902,557.7242790648376,2842.871843920391
10,2478.464508451578,1298.9112524690204,11.24429782927036,0.0,0.0,12.658781921290203,1273.15,4825.145473380979,0.08763163113183342,2678.9469884365512,5687.11570510169
11,1319.2599669727847,972.7175514600814,9.319131922895247,0.0,0.0,11.487311692941171,958.15,3167.6430706408755,0.5652132154861754,4448.320679203921,8259.991716920644
12,1077.15222860074,1122.2482369224126,7.0,0.0,0.0,8.77976580607139,1075.9052459588936,28534.277079437747,0.5327728000324758,818.821279653007,1573.4026061212403
13,1560.311597280125,1332.1988324964836,20.576829118629956,0.0,0.0,21.077533191870987,1273.15,8277.636699008557,0.40243592385869636,1514.5077186008125,6003.30615394266
14,867.7707837958923,984.2233365591735,7.0,0.0,0.0,8.353750258039515,958.15,4641.180488511994,0.5295805542384111,2050.571526669382,2946.971422031717
15,1324.6477896195452,1149.719308674412,9.0937464023768,0.0,0.0,9.233800192275,1141.7462860183336,14463.932047735974,0.2985925120330346,883.0931638708647,3078.6195925447323
16,1635.515113700402,1135.0104223177905,7.103380012126239,0.0,0.0,7.908704454696416,1107.3442087933308,3031.6771435999926,0.18171736458574456,2033.7974721252335,3584.427410366332
17,2028.8891110209709,1299.0805062870527,12.645241730006807,0.0,0.0,15.41350915750366,1273.15,7814.7837504171675,0.5481878477858192,3244.6647126496373,5462.69024087003
18,1028.0106806593055,969.3306907399358,7.0,0.0,0.0,8.941749925664915,958.15,7141.6988293443355,0.3194367073856111,2032.7910060070185,3383.9176525713656
19,2343.344805931909,1363.376402560555,13.47707962789798,0.0,0.0,15.81857872496335,1273.15,903.1839051974077,0.3567850175734069,3700.752480668383,5450.631158360264
20,1593.1091893631249,1417.0968685295034,15.388247992742514,0.0,0.0,17.169659911760423,1273.15,16972.223196604515,0.43901656374560477,1260.1167133801798,2653.653455706855
21,2279.5051403606008,1393.4718766247174,13.099343554801576,0.0,0.0,14.490942182690894,1273.15,19157.019085573356,0.12205123018365416,1301.7523637927723,3242.3973445933507
22,1880.3768212004636,1398.7395702719177,19.896837499008537,0.0,0.0,21.607321238193734,1273.15,33798.86556654826,0.48153606458520004,669.0692428640438,2898.6746045333007
23,1930.235647359461,1345.297492039149,13.440825686641722,0.0,0.0,14.465375083870581,1273.15,32836.95200569344,0.1417867551537496,545.1573350672211,2443.016410275916
24,853.8951658319306,1257.5767170253425,10.930788510578589,0.0,0.0,12.852678786822242,1244.3000988056542,31369.40758080939,0.21116731546662043,329.23846578890283,1246.5827005097233
