,Design Power (kW),Design T41t (degK),Design OPR (-),Design altitude (ft),Design Mach (-),Design Fuel Consumed (kg/h),Limit OPR (-),Limit ITT (degK),Altitude (ft),Mach (-),Max Power OPR Limit (kW),Max Power ITT Limit (kW)
0,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,0.0,0.05,1519.306698072131,3499.0758271281875
1,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,3888.8888888888887,0.05,1294.7722422968286,3335.4585775596533
2,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,7777.777777777777,0.05,1097.7046842376124,3163.615769220201
3,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,11666.666666666666,0.05,926.0339645932936,2985.1628931509813
4,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,15555.555555555557,0.05,777.4900698287653,2801.515739307405
5,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,19444.444444444445,0.05,649.6766237126269,2614.002560863424
6,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,23333.33333333333,0.05,540.2152589721685,2423.862905927021
7,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,27222.22222222222,0.05,446.86009489806446,2232.245317013486
8,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,31111.11111111111,0.05,367.5603780542806,2040.2035085611096
9,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,35000.0,0.05,300.4807674819755,1848.690349380946
10,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,0.0,0.1111111111111111,1551.1089071628364,3521.097394675643
11,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,3888.8888888888887,0.1111111111111111,1322.056681737478,3355.232953670222
12,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,7777.777777777777,0.1111111111111111,1120.863080667213,3181.2622819578387
13,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,11666.666666666666,0.1111111111111111,945.563541304966,3000.8115398929785
14,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,15555.555555555557,0.1111111111111111,793.8634048332383,2815.291509569079
15,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,19444.444444444445,0.1111111111111111,663.3310078264764,2626.02546489319
16,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,23333.33333333333,0.1111111111111111,551.5448180905347,2434.248000362269
17,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,27222.22222222222,0.1111111111111111,456.2130309858144,2241.102716741498
18,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,31111.11111111111,0.1111111111111111,375.24035551216895,2047.63839458655
19,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,35000.0,0.1111111111111111,306.75058229005384,1854.8029798663008
20,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,0.0,0.1722222222222222,1607.8746489428306,3559.955179481601
21,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,3888.8888888888887,0.1722222222222222,1370.5814353277574,3390.09221557458
22,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,7777.777777777777,0.1722222222222222,1162.058059789714,3212.360381552402
23,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,11666.666666666666,0.1722222222222222,980.3068987972592,3028.379146758841
24,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,15555.555555555557,0.1722222222222222,822.9918086279965,2839.5503087291327
25,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,19444.444444444445,0.1722222222222222,687.6207048157228,2647.188235578475
26,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,23333.33333333333,0.1722222222222222,571.6967974001079,2452.5186657225854
27,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,27222.22222222222,0.1722222222222222,472.8472718879594,2256.6763724397388
28,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,31111.11111111111,0.1722222222222222,388.897755388916,2060.701328369196
29,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,35000.0,0.1722222222222222,317.8992334873035,1865.532695314284
30,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,0.0,0.2333333333333332,1690.496792419572,3615.8060376128337
31,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,3888.8888888888887,0.2333333333333332,1441.2398989014732,3440.1725246114147
32,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,7777.777777777777,0.2333333333333332,1222.0634082412391,3257.0147913995547
33,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,11666.666666666666,0.2333333333333332,1030.923621715635,3067.9423651098814
34,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,15555.555555555557,0.2333333333333332,865.4290719241652,2874.3438251042785
35,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,19444.444444444445,0.2333333333333332,723.0050660653262,2677.52045455287
36,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,23333.33333333333,0.2333333333333332,601.048851473117,2478.684995138874
37,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,27222.22222222222,0.2333333333333332,497.07132188025264,2278.959279646233
38,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,31111.11111111111,0.2333333333333332,408.78332777960713,2079.3703809013573
39,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,35000.0,0.2333333333333332,334.12960144022736,1880.8446048031867
40,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,0.0,0.2944444444444444,1800.4249198402665,3688.891262827386
41,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,3888.8888888888887,0.2944444444444444,1535.3081571886855,3505.6648578837967
42,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,7777.777777777777,0.2944444444444444,1301.988213262871,3315.3714095545006
43,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,11666.666666666666,0.2944444444444444,1098.3621949968103,3119.606878986662
44,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,15555.555555555557,0.2944444444444444,921.9733437213022,2919.7420062919223
45,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,19444.444444444445,0.2944444444444444,770.1468351444342,2717.060443697077
46,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,23333.33333333333,0.2944444444444444,640.1459195603248,2512.757449228287
47,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,27222.22222222222,0.2944444444444444,529.3301365773691,2307.9374728244466
48,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,31111.11111111111,0.2944444444444444,435.2584669162839,2103.610280313526
49,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,35000.0,0.2944444444444444,355.73385579423484,1900.6849460751885
50,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,0.0,0.3555555555555555,1939.529287335916,3779.517917779444
51,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,3888.8888888888887,0.3555555555555555,1654.4379723679626,3586.8106233537155
52,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,7777.777777777777,0.3555555555555555,1403.2748598256435,3387.612876225417
53,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,11666.666666666666,0.3555555555555555,1183.8620071358985,3183.5029520012536
54,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,15555.555555555557,0.3555555555555555,993.671245413651,2975.828613269846
55,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,19444.444444444445,0.3555555555555555,829.9166795891084,2765.8508491787525
56,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,23333.33333333333,0.3555555555555555,689.7042087573927,2554.742487431196
57,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,27222.22222222222,0.3555555555555555,570.2082284852703,2343.585716841613
58,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,31111.11111111111,0.3555555555555555,468.7974658002453,2133.368173032604
59,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,35000.0,0.3555555555555555,383.09502167688487,1924.97692326078
60,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,0.0,0.4166666666666666,2110.0803540011416,3888.052968387598
61,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,3888.8888888888887,0.4166666666666666,1800.6415566419346,3683.8956821709658
62,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,7777.777777777777,0.4166666666666666,1527.6906931982664,3473.9525406332377
63,1057.5694051644723,988.2925364421296,7.579224845116404,0.0,0.0,354.1218256639086,8.375651299408867,958.15,11666.666666666666,0.4166666666666666,1288.9514868123474,3259.779383997124
