x; y
147.1962661;13.75552071
268.6917002;30.05803759
362.1496441;54.51243482
469.626244;91.19340877
563.0841879;131.9503229
675.2336137;176.7831772
768.6915576;221.6157205
871.4953316;270.5238931
969.6261014;311.2808072
1049.065568;364.2649199
1123.831851;437.6271788
1207.944144;515.0655333
1278.037602;580.2765337
1352.803885;653.638948
1432.242995;722.9257331
1507.009279;796.2881474
1591.121571;865.5749325
1665.887855;943.0131315
1745.327321;1012.299761
1820.093605;1077.510917
1890.187063;1150.873331
1974.298999;1224.235823
